observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,11076,7809.2284057,1,VSM.PageOccupancy,61184,1
0,11076,7809.2284057,1,VSM.LayoutRemap,0,1
0,11076,7809.2284057,1,VSM.ResetFeedback,0,1
0,11076,7809.2284057,1,VSM.MarkReceiverPages,651264,1
0,11076,7809.2284057,1,VSM.Allocate,222208,1
0,11076,7809.2284057,1,VSM.InvalidateStatic,0,0
0,11076,7809.2284057,1,VSM.ClearPhysicalPages,90112,1
0,11076,7809.2284057,1,VSM.StaticCasterCull,67584,1
0,11076,7809.2284057,1,VSM.DynamicCasterCull,0,1
0,11076,7809.2284057,1,VSM.PageCull,49152,1
0,11076,7809.2284057,1,VSM.StaticRaster,3328,1
0,11076,7809.2284057,1,VSM.FinalizePages,1792,1
0,11076,7809.2284057,1,VSM.DynamicRaster,13824,1
0,11076,7809.2284057,1,VSM.UnityCompatibilityRaster,0,0
0,11076,7809.2284057,1,VSM.Resolve,6957056,1
0,11076,7809.2284057,1,VSM.ResolveTrace,6735104,1
0,11076,7809.2284057,1,VSM.FilterHorizontal,65280,1
0,11076,7809.2284057,1,VSM.FilterVertical,0,0
0,11076,7809.2284057,1,VSM.FilterTemporalVertical,155392,1
1,11077,7809.2451117,1,VSM.PageOccupancy,60928,1
1,11077,7809.2451117,1,VSM.LayoutRemap,0,1
1,11077,7809.2451117,1,VSM.ResetFeedback,0,1
1,11077,7809.2451117,1,VSM.MarkReceiverPages,646144,1
1,11077,7809.2451117,1,VSM.Allocate,221952,1
1,11077,7809.2451117,1,VSM.InvalidateStatic,0,0
1,11077,7809.2451117,1,VSM.ClearPhysicalPages,89600,1
1,11077,7809.2451117,1,VSM.StaticCasterCull,67328,1
1,11077,7809.2451117,1,VSM.DynamicCasterCull,0,1
1,11077,7809.2451117,1,VSM.PageCull,49152,1
1,11077,7809.2451117,1,VSM.StaticRaster,3584,1
1,11077,7809.2451117,1,VSM.FinalizePages,2304,1
1,11077,7809.2451117,1,VSM.DynamicRaster,12800,1
1,11077,7809.2451117,1,VSM.UnityCompatibilityRaster,0,0
1,11077,7809.2451117,1,VSM.Resolve,6833920,1
1,11077,7809.2451117,1,VSM.ResolveTrace,6610944,1
1,11077,7809.2451117,1,VSM.FilterHorizontal,65536,1
1,11077,7809.2451117,1,VSM.FilterVertical,0,0
1,11077,7809.2451117,1,VSM.FilterTemporalVertical,156416,1
2,11078,7809.2622168,1,VSM.PageOccupancy,60416,1
2,11078,7809.2622168,1,VSM.LayoutRemap,0,1
2,11078,7809.2622168,1,VSM.ResetFeedback,0,1
