observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,8953,7763.6764803,1,VSM.PageOccupancy,54784,1
0,8953,7763.6764803,1,VSM.LayoutRemap,0,1
0,8953,7763.6764803,1,VSM.ResetFeedback,0,1
0,8953,7763.6764803,1,VSM.MarkReceiverPages,698880,1
0,8953,7763.6764803,1,VSM.Allocate,228608,1
0,8953,7763.6764803,1,VSM.InvalidateStatic,0,0
0,8953,7763.6764803,1,VSM.ClearPhysicalPages,89344,1
0,8953,7763.6764803,1,VSM.StaticCasterCull,66048,1
0,8953,7763.6764803,1,VSM.DynamicCasterCull,36096,1
0,8953,7763.6764803,1,VSM.PageCull,68608,2
0,8953,7763.6764803,1,VSM.StaticRaster,7424,1
0,8953,7763.6764803,1,VSM.FinalizePages,1792,1
0,8953,7763.6764803,1,VSM.DynamicRaster,63744,1
0,8953,7763.6764803,1,VSM.UnityCompatibilityRaster,0,0
0,8953,7763.6764803,1,VSM.Resolve,7169024,1
0,8953,7763.6764803,1,VSM.ResolveTrace,6604544,1
0,8953,7763.6764803,1,VSM.FilterHorizontal,64256,1
0,8953,7763.6764803,1,VSM.FilterVertical,0,0
0,8953,7763.6764803,1,VSM.FilterTemporalVertical,499200,1
1,8954,7763.706096,1,VSM.PageOccupancy,54016,1
1,8954,7763.706096,1,VSM.LayoutRemap,0,1
1,8954,7763.706096,1,VSM.ResetFeedback,0,1
1,8954,7763.706096,1,VSM.MarkReceiverPages,694528,1
1,8954,7763.706096,1,VSM.Allocate,229888,1
1,8954,7763.706096,1,VSM.InvalidateStatic,0,0
1,8954,7763.706096,1,VSM.ClearPhysicalPages,89344,1
1,8954,7763.706096,1,VSM.StaticCasterCull,67072,1
1,8954,7763.706096,1,VSM.DynamicCasterCull,35584,1
1,8954,7763.706096,1,VSM.PageCull,69120,2
1,8954,7763.706096,1,VSM.StaticRaster,7168,1
1,8954,7763.706096,1,VSM.FinalizePages,1792,1
1,8954,7763.706096,1,VSM.DynamicRaster,63744,1
1,8954,7763.706096,1,VSM.UnityCompatibilityRaster,0,0
1,8954,7763.706096,1,VSM.Resolve,7030784,1
1,8954,7763.706096,1,VSM.ResolveTrace,6806528,1
1,8954,7763.706096,1,VSM.FilterHorizontal,65024,1
1,8954,7763.706096,1,VSM.FilterVertical,0,0
1,8954,7763.706096,1,VSM.FilterTemporalVertical,157952,1
2,8955,7763.7353801,1,VSM.PageOccupancy,57856,1
2,8955,7763.7353801,1,VSM.LayoutRemap,0,1
2,8955,7763.7353801,1,VSM.ResetFeedback,0,1
2,8955,7763.7353801,1,VSM.MarkReceiverPages,696576,1
2,8955,7763.7353801,1,VSM.Allocate,231424,1
2,8955,7763.7353801,1,VSM.InvalidateStatic,0,0
2,8955,7763.7353801,1,VSM.ClearPhysicalPages,89344,1
2,8955,7763.7353801,1,VSM.StaticCasterCull,69376,1
2,8955,7763.7353801,1,VSM.DynamicCasterCull,39168,1
2,8955,7763.7353801,1,VSM.PageCull,75776,2
2,8955,7763.7353801,1,VSM.StaticRaster,7424,1
2,8955,7763.7353801,1,VSM.FinalizePages,2304,1
2,8955,7763.7353801,1,VSM.DynamicRaster,62464,1
2,8955,7763.7353801,1,VSM.UnityCompatibilityRaster,0,0
2,8955,7763.7353801,1,VSM.Resolve,7743232,1
2,8955,7763.7353801,1,VSM.ResolveTrace,7519488,1
2,8955,7763.7353801,1,VSM.FilterHorizontal,65792,1
2,8955,7763.7353801,1,VSM.FilterVertical,0,0
2,8955,7763.7353801,1,VSM.FilterTemporalVertical,156928,1
3,8956,7763.7646563,1,VSM.PageOccupancy,55040,1
3,8956,7763.7646563,1,VSM.LayoutRemap,0,1
3,8956,7763.7646563,1,VSM.ResetFeedback,256,1
3,8956,7763.7646563,1,VSM.MarkReceiverPages,698880,1
3,8956,7763.7646563,1,VSM.Allocate,227840,1
3,8956,7763.7646563,1,VSM.InvalidateStatic,0,0
3,8956,7763.7646563,1,VSM.ClearPhysicalPages,89600,1
3,8956,7763.7646563,1,VSM.StaticCasterCull,67328,1
3,8956,7763.7646563,1,VSM.DynamicCasterCull,37120,1
3,8956,7763.7646563,1,VSM.PageCull,71424,2
3,8956,7763.7646563,1,VSM.StaticRaster,7680,1
3,8956,7763.7646563,1,VSM.FinalizePages,2048,1
3,8956,7763.7646563,1,VSM.DynamicRaster,62720,1
3,8956,7763.7646563,1,VSM.UnityCompatibilityRaster,0,0
3,8956,7763.7646563,1,VSM.Resolve,7890176,1
3,8956,7763.7646563,1,VSM.ResolveTrace,7664128,1
3,8956,7763.7646563,1,VSM.FilterHorizontal,67584,1
3,8956,7763.7646563,1,VSM.FilterVertical,0,0
3,8956,7763.7646563,1,VSM.FilterTemporalVertical,157440,1
4,8957,7763.7931587999992,1,VSM.PageOccupancy,56320,1
4,8957,7763.7931587999992,1,VSM.LayoutRemap,0,1
4,8957,7763.7931587999992,1,VSM.ResetFeedback,0,1
4,8957,7763.7931587999992,1,VSM.MarkReceiverPages,699904,1
4,8957,7763.7931587999992,1,VSM.Allocate,227584,1
4,8957,7763.7931587999992,1,VSM.InvalidateStatic,0,0
4,8957,7763.7931587999992,1,VSM.ClearPhysicalPages,90112,1
4,8957,7763.7931587999992,1,VSM.StaticCasterCull,67072,1
4,8957,7763.7931587999992,1,VSM.DynamicCasterCull,37888,1
4,8957,7763.7931587999992,1,VSM.PageCull,71680,2
4,8957,7763.7931587999992,1,VSM.StaticRaster,7168,1
4,8957,7763.7931587999992,1,VSM.FinalizePages,2048,1
4,8957,7763.7931587999992,1,VSM.DynamicRaster,295936,1
4,8957,7763.7931587999992,1,VSM.UnityCompatibilityRaster,0,0
4,8957,7763.7931587999992,1,VSM.Resolve,6736896,1
4,8957,7763.7931587999992,1,VSM.ResolveTrace,6511104,1
4,8957,7763.7931587999992,1,VSM.FilterHorizontal,67072,1
4,8957,7763.7931587999992,1,VSM.FilterVertical,0,0
4,8957,7763.7931587999992,1,VSM.FilterTemporalVertical,157440,1
5,8958,7763.8220869,1,VSM.PageOccupancy,55808,1
5,8958,7763.8220869,1,VSM.LayoutRemap,0,1
5,8958,7763.8220869,1,VSM.ResetFeedback,0,1
5,8958,7763.8220869,1,VSM.MarkReceiverPages,701184,1
5,8958,7763.8220869,1,VSM.Allocate,230400,1
5,8958,7763.8220869,1,VSM.InvalidateStatic,0,0
5,8958,7763.8220869,1,VSM.ClearPhysicalPages,89600,1
5,8958,7763.8220869,1,VSM.StaticCasterCull,67840,1
5,8958,7763.8220869,1,VSM.DynamicCasterCull,36864,1
5,8958,7763.8220869,1,VSM.PageCull,71168,2
5,8958,7763.8220869,1,VSM.StaticRaster,7168,1
5,8958,7763.8220869,1,VSM.FinalizePages,1792,1
5,8958,7763.8220869,1,VSM.DynamicRaster,63232,1
5,8958,7763.8220869,1,VSM.UnityCompatibilityRaster,0,0
5,8958,7763.8220869,1,VSM.Resolve,7689984,1
5,8958,7763.8220869,1,VSM.ResolveTrace,7264000,1
5,8958,7763.8220869,1,VSM.FilterHorizontal,64768,1
5,8958,7763.8220869,1,VSM.FilterVertical,0,0
5,8958,7763.8220869,1,VSM.FilterTemporalVertical,360192,1
6,8959,7763.8467814,1,VSM.PageOccupancy,55808,1
6,8959,7763.8467814,1,VSM.LayoutRemap,0,1
6,8959,7763.8467814,1,VSM.ResetFeedback,0,1
6,8959,7763.8467814,1,VSM.MarkReceiverPages,699648,1
6,8959,7763.8467814,1,VSM.Allocate,229376,1
6,8959,7763.8467814,1,VSM.InvalidateStatic,0,0
6,8959,7763.8467814,1,VSM.ClearPhysicalPages,89600,1
6,8959,7763.8467814,1,VSM.StaticCasterCull,66816,1
6,8959,7763.8467814,1,VSM.DynamicCasterCull,38400,1
6,8959,7763.8467814,1,VSM.PageCull,72192,2
6,8959,7763.8467814,1,VSM.StaticRaster,7680,1
6,8959,7763.8467814,1,VSM.FinalizePages,1536,1
6,8959,7763.8467814,1,VSM.DynamicRaster,64256,1
6,8959,7763.8467814,1,VSM.UnityCompatibilityRaster,0,0
6,8959,7763.8467814,1,VSM.Resolve,6997504,1
6,8959,7763.8467814,1,VSM.ResolveTrace,6773760,1
6,8959,7763.8467814,1,VSM.FilterHorizontal,66048,1
6,8959,7763.8467814,1,VSM.FilterVertical,0,0
6,8959,7763.8467814,1,VSM.FilterTemporalVertical,156928,1
7,8960,7763.8753756999995,1,VSM.PageOccupancy,55040,1
7,8960,7763.8753756999995,1,VSM.LayoutRemap,0,1
7,8960,7763.8753756999995,1,VSM.ResetFeedback,0,1
7,8960,7763.8753756999995,1,VSM.MarkReceiverPages,697088,1
7,8960,7763.8753756999995,1,VSM.Allocate,229632,1
7,8960,7763.8753756999995,1,VSM.InvalidateStatic,0,0
7,8960,7763.8753756999995,1,VSM.ClearPhysicalPages,90112,1
7,8960,7763.8753756999995,1,VSM.StaticCasterCull,65024,1
7,8960,7763.8753756999995,1,VSM.DynamicCasterCull,35072,1
7,8960,7763.8753756999995,1,VSM.PageCull,66304,2
7,8960,7763.8753756999995,1,VSM.StaticRaster,6912,1
7,8960,7763.8753756999995,1,VSM.FinalizePages,2304,1
7,8960,7763.8753756999995,1,VSM.DynamicRaster,62720,1
7,8960,7763.8753756999995,1,VSM.UnityCompatibilityRaster,0,0
7,8960,7763.8753756999995,1,VSM.Resolve,6801152,1
7,8960,7763.8753756999995,1,VSM.ResolveTrace,6573824,1
7,8960,7763.8753756999995,1,VSM.FilterHorizontal,67328,1
7,8960,7763.8753756999995,1,VSM.FilterVertical,0,0
7,8960,7763.8753756999995,1,VSM.FilterTemporalVertical,158976,1
8,8961,7763.8994472999993,1,VSM.PageOccupancy,55808,1
8,8961,7763.8994472999993,1,VSM.LayoutRemap,0,1
8,8961,7763.8994472999993,1,VSM.ResetFeedback,0,1
8,8961,7763.8994472999993,1,VSM.MarkReceiverPages,699392,1
8,8961,7763.8994472999993,1,VSM.Allocate,228608,1
8,8961,7763.8994472999993,1,VSM.InvalidateStatic,0,0
8,8961,7763.8994472999993,1,VSM.ClearPhysicalPages,89344,1
8,8961,7763.8994472999993,1,VSM.StaticCasterCull,68608,1
8,8961,7763.8994472999993,1,VSM.DynamicCasterCull,37376,1
8,8961,7763.8994472999993,1,VSM.PageCull,72704,2
8,8961,7763.8994472999993,1,VSM.StaticRaster,7424,1
8,8961,7763.8994472999993,1,VSM.FinalizePages,1792,1
8,8961,7763.8994472999993,1,VSM.DynamicRaster,50176,1
8,8961,7763.8994472999993,1,VSM.UnityCompatibilityRaster,0,0
8,8961,7763.8994472999993,1,VSM.Resolve,6930432,1
8,8961,7763.8994472999993,1,VSM.ResolveTrace,6708480,1
8,8961,7763.8994472999993,1,VSM.FilterHorizontal,65792,1
8,8961,7763.8994472999993,1,VSM.FilterVertical,0,0
8,8961,7763.8994472999993,1,VSM.FilterTemporalVertical,155136,1
9,8962,7763.9287816999995,1,VSM.PageOccupancy,55040,1
9,8962,7763.9287816999995,1,VSM.LayoutRemap,0,1
9,8962,7763.9287816999995,1,VSM.ResetFeedback,0,1
9,8962,7763.9287816999995,1,VSM.MarkReceiverPages,705792,1
9,8962,7763.9287816999995,1,VSM.Allocate,232192,1
9,8962,7763.9287816999995,1,VSM.InvalidateStatic,0,0
9,8962,7763.9287816999995,1,VSM.ClearPhysicalPages,89856,1
9,8962,7763.9287816999995,1,VSM.StaticCasterCull,69120,1
9,8962,7763.9287816999995,1,VSM.DynamicCasterCull,35072,1
9,8962,7763.9287816999995,1,VSM.PageCull,70656,2
9,8962,7763.9287816999995,1,VSM.StaticRaster,6912,1
9,8962,7763.9287816999995,1,VSM.FinalizePages,1792,1
9,8962,7763.9287816999995,1,VSM.DynamicRaster,46080,1
9,8962,7763.9287816999995,1,VSM.UnityCompatibilityRaster,0,0
9,8962,7763.9287816999995,1,VSM.Resolve,6897920,1
9,8962,7763.9287816999995,1,VSM.ResolveTrace,6676992,1
9,8962,7763.9287816999995,1,VSM.FilterHorizontal,64768,1
9,8962,7763.9287816999995,1,VSM.FilterVertical,0,0
9,8962,7763.9287816999995,1,VSM.FilterTemporalVertical,155392,1
10,8963,7763.9581161999995,1,VSM.PageOccupancy,54784,1
10,8963,7763.9581161999995,1,VSM.LayoutRemap,0,1
10,8963,7763.9581161999995,1,VSM.ResetFeedback,0,1
10,8963,7763.9581161999995,1,VSM.MarkReceiverPages,701184,1
10,8963,7763.9581161999995,1,VSM.Allocate,229888,1
10,8963,7763.9581161999995,1,VSM.InvalidateStatic,0,0
10,8963,7763.9581161999995,1,VSM.ClearPhysicalPages,89600,1
10,8963,7763.9581161999995,1,VSM.StaticCasterCull,67840,1
10,8963,7763.9581161999995,1,VSM.DynamicCasterCull,35584,1
10,8963,7763.9581161999995,1,VSM.PageCull,70656,2
10,8963,7763.9581161999995,1,VSM.StaticRaster,7424,1
10,8963,7763.9581161999995,1,VSM.FinalizePages,1792,1
10,8963,7763.9581161999995,1,VSM.DynamicRaster,45824,1
10,8963,7763.9581161999995,1,VSM.UnityCompatibilityRaster,0,0
10,8963,7763.9581161999995,1,VSM.Resolve,7245312,1
10,8963,7763.9581161999995,1,VSM.ResolveTrace,7023360,1
10,8963,7763.9581161999995,1,VSM.FilterHorizontal,64512,1
10,8963,7763.9581161999995,1,VSM.FilterVertical,0,0
10,8963,7763.9581161999995,1,VSM.FilterTemporalVertical,156160,1
11,8964,7763.9833879,1,VSM.PageOccupancy,55808,1
11,8964,7763.9833879,1,VSM.LayoutRemap,0,1
11,8964,7763.9833879,1,VSM.ResetFeedback,0,1
11,8964,7763.9833879,1,VSM.MarkReceiverPages,704256,1
11,8964,7763.9833879,1,VSM.Allocate,230656,1
11,8964,7763.9833879,1,VSM.InvalidateStatic,0,0
11,8964,7763.9833879,1,VSM.ClearPhysicalPages,89344,1
11,8964,7763.9833879,1,VSM.StaticCasterCull,66048,1
11,8964,7763.9833879,1,VSM.DynamicCasterCull,35584,1
11,8964,7763.9833879,1,VSM.PageCull,68096,2
11,8964,7763.9833879,1,VSM.StaticRaster,6912,1
11,8964,7763.9833879,1,VSM.FinalizePages,1792,1
11,8964,7763.9833879,1,VSM.DynamicRaster,46592,1
11,8964,7763.9833879,1,VSM.UnityCompatibilityRaster,0,0
11,8964,7763.9833879,1,VSM.Resolve,6948352,1
11,8964,7763.9833879,1,VSM.ResolveTrace,6727680,1
11,8964,7763.9833879,1,VSM.FilterHorizontal,64000,1
11,8964,7763.9833879,1,VSM.FilterVertical,0,0
11,8964,7763.9833879,1,VSM.FilterTemporalVertical,155136,1
12,8965,7764.0123767999994,1,VSM.PageOccupancy,54272,1
12,8965,7764.0123767999994,1,VSM.LayoutRemap,0,1
12,8965,7764.0123767999994,1,VSM.ResetFeedback,0,1
12,8965,7764.0123767999994,1,VSM.MarkReceiverPages,705280,1
12,8965,7764.0123767999994,1,VSM.Allocate,267520,1
12,8965,7764.0123767999994,1,VSM.InvalidateStatic,0,0
12,8965,7764.0123767999994,1,VSM.ClearPhysicalPages,89856,1
12,8965,7764.0123767999994,1,VSM.StaticCasterCull,67584,1
12,8965,7764.0123767999994,1,VSM.DynamicCasterCull,40192,1
12,8965,7764.0123767999994,1,VSM.PageCull,74240,2
12,8965,7764.0123767999994,1,VSM.StaticRaster,30464,1
12,8965,7764.0123767999994,1,VSM.FinalizePages,2560,1
12,8965,7764.0123767999994,1,VSM.DynamicRaster,49920,1
12,8965,7764.0123767999994,1,VSM.UnityCompatibilityRaster,0,0
12,8965,7764.0123767999994,1,VSM.Resolve,7738624,1
12,8965,7764.0123767999994,1,VSM.ResolveTrace,7515648,1
12,8965,7764.0123767999994,1,VSM.FilterHorizontal,65792,1
12,8965,7764.0123767999994,1,VSM.FilterVertical,0,0
12,8965,7764.0123767999994,1,VSM.FilterTemporalVertical,155904,1
13,8966,7764.0439043,1,VSM.PageOccupancy,53760,1
13,8966,7764.0439043,1,VSM.LayoutRemap,0,1
13,8966,7764.0439043,1,VSM.ResetFeedback,0,1
13,8966,7764.0439043,1,VSM.MarkReceiverPages,905216,1
13,8966,7764.0439043,1,VSM.Allocate,265216,1
13,8966,7764.0439043,1,VSM.InvalidateStatic,0,0
13,8966,7764.0439043,1,VSM.ClearPhysicalPages,89600,1
13,8966,7764.0439043,1,VSM.StaticCasterCull,66816,1
13,8966,7764.0439043,1,VSM.DynamicCasterCull,38400,1
13,8966,7764.0439043,1,VSM.PageCull,72448,2
13,8966,7764.0439043,1,VSM.StaticRaster,23552,1
13,8966,7764.0439043,1,VSM.FinalizePages,2048,1
13,8966,7764.0439043,1,VSM.DynamicRaster,61952,1
13,8966,7764.0439043,1,VSM.UnityCompatibilityRaster,0,0
13,8966,7764.0439043,1,VSM.Resolve,8432640,1
13,8966,7764.0439043,1,VSM.ResolveTrace,8208384,1
13,8966,7764.0439043,1,VSM.FilterHorizontal,67072,1
13,8966,7764.0439043,1,VSM.FilterVertical,0,0
13,8966,7764.0439043,1,VSM.FilterTemporalVertical,156416,1
14,8967,7764.0679934,1,VSM.PageOccupancy,54528,1
14,8967,7764.0679934,1,VSM.LayoutRemap,0,1
14,8967,7764.0679934,1,VSM.ResetFeedback,0,1
14,8967,7764.0679934,1,VSM.MarkReceiverPages,703232,1
14,8967,7764.0679934,1,VSM.Allocate,227840,1
14,8967,7764.0679934,1,VSM.InvalidateStatic,0,0
14,8967,7764.0679934,1,VSM.ClearPhysicalPages,89088,1
14,8967,7764.0679934,1,VSM.StaticCasterCull,68096,1
14,8967,7764.0679934,1,VSM.DynamicCasterCull,36608,1
14,8967,7764.0679934,1,VSM.PageCull,71424,2
14,8967,7764.0679934,1,VSM.StaticRaster,7168,1
14,8967,7764.0679934,1,VSM.FinalizePages,1792,1
14,8967,7764.0679934,1,VSM.DynamicRaster,62464,1
14,8967,7764.0679934,1,VSM.UnityCompatibilityRaster,0,0
14,8967,7764.0679934,1,VSM.Resolve,7206912,1
14,8967,7764.0679934,1,VSM.ResolveTrace,6813184,1
14,8967,7764.0679934,1,VSM.FilterHorizontal,65280,1
14,8967,7764.0679934,1,VSM.FilterVertical,0,0
14,8967,7764.0679934,1,VSM.FilterTemporalVertical,156928,1
15,8968,7764.0943763,1,VSM.PageOccupancy,57600,1
15,8968,7764.0943763,1,VSM.LayoutRemap,0,1
15,8968,7764.0943763,1,VSM.ResetFeedback,0,1
15,8968,7764.0943763,1,VSM.MarkReceiverPages,709376,1
15,8968,7764.0943763,1,VSM.Allocate,230656,1
15,8968,7764.0943763,1,VSM.InvalidateStatic,0,0
15,8968,7764.0943763,1,VSM.ClearPhysicalPages,89856,1
15,8968,7764.0943763,1,VSM.StaticCasterCull,66304,1
15,8968,7764.0943763,1,VSM.DynamicCasterCull,35840,1
15,8968,7764.0943763,1,VSM.PageCull,68864,2
15,8968,7764.0943763,1,VSM.StaticRaster,7424,1
15,8968,7764.0943763,1,VSM.FinalizePages,2048,1
15,8968,7764.0943763,1,VSM.DynamicRaster,63744,1
15,8968,7764.0943763,1,VSM.UnityCompatibilityRaster,0,0
15,8968,7764.0943763,1,VSM.Resolve,7517184,1
15,8968,7764.0943763,1,VSM.ResolveTrace,7292160,1
15,8968,7764.0943763,1,VSM.FilterHorizontal,66816,1
15,8968,7764.0943763,1,VSM.FilterVertical,0,0
15,8968,7764.0943763,1,VSM.FilterTemporalVertical,157440,1
16,8969,7764.1229269,1,VSM.PageOccupancy,57856,1
16,8969,7764.1229269,1,VSM.LayoutRemap,0,1
16,8969,7764.1229269,1,VSM.ResetFeedback,0,1
16,8969,7764.1229269,1,VSM.MarkReceiverPages,703744,1
16,8969,7764.1229269,1,VSM.Allocate,229888,1
16,8969,7764.1229269,1,VSM.InvalidateStatic,0,0
16,8969,7764.1229269,1,VSM.ClearPhysicalPages,89856,1
16,8969,7764.1229269,1,VSM.StaticCasterCull,66560,1
16,8969,7764.1229269,1,VSM.DynamicCasterCull,35072,1
16,8969,7764.1229269,1,VSM.PageCull,68096,2
16,8969,7764.1229269,1,VSM.StaticRaster,11008,1
16,8969,7764.1229269,1,VSM.FinalizePages,1792,1
16,8969,7764.1229269,1,VSM.DynamicRaster,62208,1
16,8969,7764.1229269,1,VSM.UnityCompatibilityRaster,0,0
16,8969,7764.1229269,1,VSM.Resolve,8037888,1
16,8969,7764.1229269,1,VSM.ResolveTrace,7813120,1
16,8969,7764.1229269,1,VSM.FilterHorizontal,67584,1
16,8969,7764.1229269,1,VSM.FilterVertical,0,0
16,8969,7764.1229269,1,VSM.FilterTemporalVertical,155904,1
17,8970,7764.1508404,1,VSM.PageOccupancy,56832,1
17,8970,7764.1508404,1,VSM.LayoutRemap,0,1
17,8970,7764.1508404,1,VSM.ResetFeedback,0,1
17,8970,7764.1508404,1,VSM.MarkReceiverPages,703488,1
17,8970,7764.1508404,1,VSM.Allocate,228608,1
17,8970,7764.1508404,1,VSM.InvalidateStatic,0,0
17,8970,7764.1508404,1,VSM.ClearPhysicalPages,89344,1
17,8970,7764.1508404,1,VSM.StaticCasterCull,67584,1
17,8970,7764.1508404,1,VSM.DynamicCasterCull,35328,1
17,8970,7764.1508404,1,VSM.PageCull,69632,2
17,8970,7764.1508404,1,VSM.StaticRaster,7680,1
17,8970,7764.1508404,1,VSM.FinalizePages,2048,1
17,8970,7764.1508404,1,VSM.DynamicRaster,63744,1
17,8970,7764.1508404,1,VSM.UnityCompatibilityRaster,0,0
17,8970,7764.1508404,1,VSM.Resolve,7205120,1
17,8970,7764.1508404,1,VSM.ResolveTrace,6983168,1
17,8970,7764.1508404,1,VSM.FilterHorizontal,64256,1
17,8970,7764.1508404,1,VSM.FilterVertical,0,0
17,8970,7764.1508404,1,VSM.FilterTemporalVertical,156160,1
18,8971,7764.1723107,1,VSM.PageOccupancy,61184,1
18,8971,7764.1723107,1,VSM.LayoutRemap,0,1
18,8971,7764.1723107,1,VSM.ResetFeedback,0,1
18,8971,7764.1723107,1,VSM.MarkReceiverPages,705024,1
18,8971,7764.1723107,1,VSM.Allocate,231936,1
18,8971,7764.1723107,1,VSM.InvalidateStatic,0,0
18,8971,7764.1723107,1,VSM.ClearPhysicalPages,90368,1
18,8971,7764.1723107,1,VSM.StaticCasterCull,64256,1
18,8971,7764.1723107,1,VSM.DynamicCasterCull,34560,1
18,8971,7764.1723107,1,VSM.PageCull,65280,2
18,8971,7764.1723107,1,VSM.StaticRaster,3072,1
18,8971,7764.1723107,1,VSM.FinalizePages,2048,1
18,8971,7764.1723107,1,VSM.DynamicRaster,64512,1
18,8971,7764.1723107,1,VSM.UnityCompatibilityRaster,0,0
18,8971,7764.1723107,1,VSM.Resolve,7767552,1
18,8971,7764.1723107,1,VSM.ResolveTrace,7235584,1
18,8971,7764.1723107,1,VSM.FilterHorizontal,67072,1
18,8971,7764.1723107,1,VSM.FilterVertical,0,0
18,8971,7764.1723107,1,VSM.FilterTemporalVertical,159488,1
19,8972,7764.2001936,1,VSM.PageOccupancy,54016,1
19,8972,7764.2001936,1,VSM.LayoutRemap,0,1
19,8972,7764.2001936,1,VSM.ResetFeedback,0,1
19,8972,7764.2001936,1,VSM.MarkReceiverPages,703488,1
19,8972,7764.2001936,1,VSM.Allocate,228608,1
19,8972,7764.2001936,1,VSM.InvalidateStatic,0,0
19,8972,7764.2001936,1,VSM.ClearPhysicalPages,89088,1
19,8972,7764.2001936,1,VSM.StaticCasterCull,67584,1
19,8972,7764.2001936,1,VSM.DynamicCasterCull,34560,1
19,8972,7764.2001936,1,VSM.PageCull,68608,2
19,8972,7764.2001936,1,VSM.StaticRaster,7424,1
19,8972,7764.2001936,1,VSM.FinalizePages,1792,1
