observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,10690,7801.3799278999995,1,VSM.PageOccupancy,56320,1
0,10690,7801.3799278999995,1,VSM.LayoutRemap,0,1
0,10690,7801.3799278999995,1,VSM.ResetFeedback,0,1
0,10690,7801.3799278999995,1,VSM.MarkReceiverPages,699136,1
0,10690,7801.3799278999995,1,VSM.Allocate,231936,1
0,10690,7801.3799278999995,1,VSM.InvalidateStatic,0,0
0,10690,7801.3799278999995,1,VSM.ClearPhysicalPages,89856,1
0,10690,7801.3799278999995,1,VSM.StaticCasterCull,67072,1
0,10690,7801.3799278999995,1,VSM.DynamicCasterCull,36352,1
0,10690,7801.3799278999995,1,VSM.PageCull,69888,2
0,10690,7801.3799278999995,1,VSM.StaticRaster,6912,1
0,10690,7801.3799278999995,1,VSM.FinalizePages,1536,1
0,10690,7801.3799278999995,1,VSM.DynamicRaster,61952,1
0,10690,7801.3799278999995,1,VSM.UnityCompatibilityRaster,0,0
0,10690,7801.3799278999995,1,VSM.Resolve,6923008,1
0,10690,7801.3799278999995,1,VSM.ResolveTrace,6701824,1
0,10690,7801.3799278999995,1,VSM.FilterHorizontal,64768,1
0,10690,7801.3799278999995,1,VSM.FilterVertical,0,0
0,10690,7801.3799278999995,1,VSM.FilterTemporalVertical,155648,1
1,10691,7801.4107933,1,VSM.PageOccupancy,55552,1
1,10691,7801.4107933,1,VSM.LayoutRemap,0,1
1,10691,7801.4107933,1,VSM.ResetFeedback,0,1
1,10691,7801.4107933,1,VSM.MarkReceiverPages,699392,1
1,10691,7801.4107933,1,VSM.Allocate,230400,1
1,10691,7801.4107933,1,VSM.InvalidateStatic,0,0
1,10691,7801.4107933,1,VSM.ClearPhysicalPages,90112,1
1,10691,7801.4107933,1,VSM.StaticCasterCull,68352,1
1,10691,7801.4107933,1,VSM.DynamicCasterCull,37376,1
1,10691,7801.4107933,1,VSM.PageCull,72448,2
1,10691,7801.4107933,1,VSM.StaticRaster,7424,1
1,10691,7801.4107933,1,VSM.FinalizePages,2048,1
1,10691,7801.4107933,1,VSM.DynamicRaster,61952,1
1,10691,7801.4107933,1,VSM.UnityCompatibilityRaster,0,0
1,10691,7801.4107933,1,VSM.Resolve,7513600,1
1,10691,7801.4107933,1,VSM.ResolveTrace,7114496,1
1,10691,7801.4107933,1,VSM.FilterHorizontal,64768,1
1,10691,7801.4107933,1,VSM.FilterVertical,0,0
1,10691,7801.4107933,1,VSM.FilterTemporalVertical,156416,1
2,10692,7801.4350030999994,1,VSM.PageOccupancy,55552,1
2,10692,7801.4350030999994,1,VSM.LayoutRemap,0,1
2,10692,7801.4350030999994,1,VSM.ResetFeedback,0,1
2,10692,7801.4350030999994,1,VSM.MarkReceiverPages,695552,1
2,10692,7801.4350030999994,1,VSM.Allocate,230144,1
2,10692,7801.4350030999994,1,VSM.InvalidateStatic,0,0
2,10692,7801.4350030999994,1,VSM.ClearPhysicalPages,89600,1
2,10692,7801.4350030999994,1,VSM.StaticCasterCull,66304,1
2,10692,7801.4350030999994,1,VSM.DynamicCasterCull,36608,1
2,10692,7801.4350030999994,1,VSM.PageCull,69376,2
2,10692,7801.4350030999994,1,VSM.StaticRaster,3072,1
2,10692,7801.4350030999994,1,VSM.FinalizePages,2304,1
2,10692,7801.4350030999994,1,VSM.DynamicRaster,62976,1
2,10692,7801.4350030999994,1,VSM.UnityCompatibilityRaster,0,0
2,10692,7801.4350030999994,1,VSM.Resolve,7127552,1
2,10692,7801.4350030999994,1,VSM.ResolveTrace,6688256,1
2,10692,7801.4350030999994,1,VSM.FilterHorizontal,63744,1
2,10692,7801.4350030999994,1,VSM.FilterVertical,0,0
2,10692,7801.4350030999994,1,VSM.FilterTemporalVertical,374528,1
3,10693,7801.4585447,1,VSM.PageOccupancy,54016,1
3,10693,7801.4585447,1,VSM.LayoutRemap,0,1
3,10693,7801.4585447,1,VSM.ResetFeedback,0,1
3,10693,7801.4585447,1,VSM.MarkReceiverPages,700672,1
3,10693,7801.4585447,1,VSM.Allocate,230400,1
3,10693,7801.4585447,1,VSM.InvalidateStatic,0,0
3,10693,7801.4585447,1,VSM.ClearPhysicalPages,90112,1
3,10693,7801.4585447,1,VSM.StaticCasterCull,69888,1
3,10693,7801.4585447,1,VSM.DynamicCasterCull,37888,1
3,10693,7801.4585447,1,VSM.PageCull,73984,2
3,10693,7801.4585447,1,VSM.StaticRaster,7424,1
3,10693,7801.4585447,1,VSM.FinalizePages,1792,1
3,10693,7801.4585447,1,VSM.DynamicRaster,62976,1
3,10693,7801.4585447,1,VSM.UnityCompatibilityRaster,0,0
3,10693,7801.4585447,1,VSM.Resolve,7940352,1
3,10693,7801.4585447,1,VSM.ResolveTrace,7714560,1
3,10693,7801.4585447,1,VSM.FilterHorizontal,67328,1
3,10693,7801.4585447,1,VSM.FilterVertical,0,0
3,10693,7801.4585447,1,VSM.FilterTemporalVertical,157184,1
4,10694,7801.4829015999994,1,VSM.PageOccupancy,55808,1
4,10694,7801.4829015999994,1,VSM.LayoutRemap,0,1
4,10694,7801.4829015999994,1,VSM.ResetFeedback,0,1
4,10694,7801.4829015999994,1,VSM.MarkReceiverPages,696832,1
4,10694,7801.4829015999994,1,VSM.Allocate,229888,1
4,10694,7801.4829015999994,1,VSM.InvalidateStatic,0,0
4,10694,7801.4829015999994,1,VSM.ClearPhysicalPages,90112,1
4,10694,7801.4829015999994,1,VSM.StaticCasterCull,67840,1
4,10694,7801.4829015999994,1,VSM.DynamicCasterCull,36864,1
4,10694,7801.4829015999994,1,VSM.PageCull,71168,2
4,10694,7801.4829015999994,1,VSM.StaticRaster,7168,1
4,10694,7801.4829015999994,1,VSM.FinalizePages,2304,1
4,10694,7801.4829015999994,1,VSM.DynamicRaster,62208,1
4,10694,7801.4829015999994,1,VSM.UnityCompatibilityRaster,0,0
4,10694,7801.4829015999994,1,VSM.Resolve,7305728,1
4,10694,7801.4829015999994,1,VSM.ResolveTrace,7081984,1
4,10694,7801.4829015999994,1,VSM.FilterHorizontal,65792,1
4,10694,7801.4829015999994,1,VSM.FilterVertical,0,0
4,10694,7801.4829015999994,1,VSM.FilterTemporalVertical,156416,1
5,10695,7801.5092431999992,1,VSM.PageOccupancy,62976,1
5,10695,7801.5092431999992,1,VSM.LayoutRemap,0,1
5,10695,7801.5092431999992,1,VSM.ResetFeedback,0,1
5,10695,7801.5092431999992,1,VSM.MarkReceiverPages,698880,1
5,10695,7801.5092431999992,1,VSM.Allocate,231424,1
5,10695,7801.5092431999992,1,VSM.InvalidateStatic,0,0
5,10695,7801.5092431999992,1,VSM.ClearPhysicalPages,89600,1
5,10695,7801.5092431999992,1,VSM.StaticCasterCull,65792,1
5,10695,7801.5092431999992,1,VSM.DynamicCasterCull,37632,1
5,10695,7801.5092431999992,1,VSM.PageCull,70400,2
5,10695,7801.5092431999992,1,VSM.StaticRaster,7168,1
5,10695,7801.5092431999992,1,VSM.FinalizePages,1792,1
5,10695,7801.5092431999992,1,VSM.DynamicRaster,61696,1
5,10695,7801.5092431999992,1,VSM.UnityCompatibilityRaster,0,0
5,10695,7801.5092431999992,1,VSM.Resolve,6928128,1
5,10695,7801.5092431999992,1,VSM.ResolveTrace,6705152,1
5,10695,7801.5092431999992,1,VSM.FilterHorizontal,65536,1
5,10695,7801.5092431999992,1,VSM.FilterVertical,0,0
5,10695,7801.5092431999992,1,VSM.FilterTemporalVertical,156416,1
6,10696,7801.5322598999992,1,VSM.PageOccupancy,54272,1
6,10696,7801.5322598999992,1,VSM.LayoutRemap,0,1
6,10696,7801.5322598999992,1,VSM.ResetFeedback,0,1
6,10696,7801.5322598999992,1,VSM.MarkReceiverPages,700416,1
6,10696,7801.5322598999992,1,VSM.Allocate,228608,1
6,10696,7801.5322598999992,1,VSM.InvalidateStatic,0,0
6,10696,7801.5322598999992,1,VSM.ClearPhysicalPages,90112,1
6,10696,7801.5322598999992,1,VSM.StaticCasterCull,69120,1
6,10696,7801.5322598999992,1,VSM.DynamicCasterCull,37888,1
6,10696,7801.5322598999992,1,VSM.PageCull,73472,2
6,10696,7801.5322598999992,1,VSM.StaticRaster,6912,1
6,10696,7801.5322598999992,1,VSM.FinalizePages,1536,1
6,10696,7801.5322598999992,1,VSM.DynamicRaster,61952,1
6,10696,7801.5322598999992,1,VSM.UnityCompatibilityRaster,0,0
6,10696,7801.5322598999992,1,VSM.Resolve,6779648,1
6,10696,7801.5322598999992,1,VSM.ResolveTrace,6555648,1
6,10696,7801.5322598999992,1,VSM.FilterHorizontal,67072,1
