observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,9339,7772.2212407,1,VSM.PageOccupancy,58112,1
0,9339,7772.2212407,1,VSM.LayoutRemap,0,1
0,9339,7772.2212407,1,VSM.ResetFeedback,0,1
0,9339,7772.2212407,1,VSM.MarkReceiverPages,669696,1
0,9339,7772.2212407,1,VSM.Allocate,225280,1
0,9339,7772.2212407,1,VSM.InvalidateStatic,0,0
0,9339,7772.2212407,1,VSM.ClearPhysicalPages,418816,1
0,9339,7772.2212407,1,VSM.StaticCasterCull,68608,1
0,9339,7772.2212407,1,VSM.DynamicCasterCull,43008,1
0,9339,7772.2212407,1,VSM.PageCull,76800,2
0,9339,7772.2212407,1,VSM.StaticRaster,3072,1
0,9339,7772.2212407,1,VSM.FinalizePages,1792,1
0,9339,7772.2212407,1,VSM.DynamicRaster,34304,1
0,9339,7772.2212407,1,VSM.UnityCompatibilityRaster,0,0
0,9339,7772.2212407,1,VSM.Resolve,7891712,1
0,9339,7772.2212407,1,VSM.ResolveTrace,7665152,1
0,9339,7772.2212407,1,VSM.FilterHorizontal,67072,1
0,9339,7772.2212407,1,VSM.FilterVertical,0,0
0,9339,7772.2212407,1,VSM.FilterTemporalVertical,158208,1
1,9340,7772.2410757,1,VSM.PageOccupancy,55040,1
1,9340,7772.2410757,1,VSM.LayoutRemap,0,1
1,9340,7772.2410757,1,VSM.ResetFeedback,0,1
1,9340,7772.2410757,1,VSM.MarkReceiverPages,671232,1
1,9340,7772.2410757,1,VSM.Allocate,225280,1
1,9340,7772.2410757,1,VSM.InvalidateStatic,0,0
1,9340,7772.2410757,1,VSM.ClearPhysicalPages,90368,1
1,9340,7772.2410757,1,VSM.StaticCasterCull,68352,1
1,9340,7772.2410757,1,VSM.DynamicCasterCull,43520,1
1,9340,7772.2410757,1,VSM.PageCull,78592,2
1,9340,7772.2410757,1,VSM.StaticRaster,7424,1
1,9340,7772.2410757,1,VSM.FinalizePages,1792,1
1,9340,7772.2410757,1,VSM.DynamicRaster,34048,1
1,9340,7772.2410757,1,VSM.UnityCompatibilityRaster,0,0
1,9340,7772.2410757,1,VSM.Resolve,7376640,1
1,9340,7772.2410757,1,VSM.ResolveTrace,7151872,1
1,9340,7772.2410757,1,VSM.FilterHorizontal,65024,1
1,9340,7772.2410757,1,VSM.FilterVertical,0,0
1,9340,7772.2410757,1,VSM.FilterTemporalVertical,158464,1
2,9341,7772.2595986999995,1,VSM.PageOccupancy,55040,1
2,9341,7772.2595986999995,1,VSM.LayoutRemap,0,1
2,9341,7772.2595986999995,1,VSM.ResetFeedback,0,1
2,9341,7772.2595986999995,1,VSM.MarkReceiverPages,671744,1
2,9341,7772.2595986999995,1,VSM.Allocate,223744,1
2,9341,7772.2595986999995,1,VSM.InvalidateStatic,0,0
2,9341,7772.2595986999995,1,VSM.ClearPhysicalPages,90368,1
2,9341,7772.2595986999995,1,VSM.StaticCasterCull,66816,1
2,9341,7772.2595986999995,1,VSM.DynamicCasterCull,42752,1
2,9341,7772.2595986999995,1,VSM.PageCull,76288,2
2,9341,7772.2595986999995,1,VSM.StaticRaster,7168,1
2,9341,7772.2595986999995,1,VSM.FinalizePages,2304,1
2,9341,7772.2595986999995,1,VSM.DynamicRaster,34048,1
2,9341,7772.2595986999995,1,VSM.UnityCompatibilityRaster,0,0
2,9341,7772.2595986999995,1,VSM.Resolve,7604224,1
2,9341,7772.2595986999995,1,VSM.ResolveTrace,7087872,1
2,9341,7772.2595986999995,1,VSM.FilterHorizontal,64768,1
2,9341,7772.2595986999995,1,VSM.FilterVertical,0,0
2,9341,7772.2595986999995,1,VSM.FilterTemporalVertical,450304,1
3,9342,7772.2784862,1,VSM.PageOccupancy,60672,1
3,9342,7772.2784862,1,VSM.LayoutRemap,0,1
3,9342,7772.2784862,1,VSM.ResetFeedback,0,1
3,9342,7772.2784862,1,VSM.MarkReceiverPages,681216,1
3,9342,7772.2784862,1,VSM.Allocate,262656,1
3,9342,7772.2784862,1,VSM.InvalidateStatic,0,0
3,9342,7772.2784862,1,VSM.ClearPhysicalPages,91392,1
3,9342,7772.2784862,1,VSM.StaticCasterCull,64768,1
3,9342,7772.2784862,1,VSM.DynamicCasterCull,47104,1
3,9342,7772.2784862,1,VSM.PageCull,78336,2
3,9342,7772.2784862,1,VSM.StaticRaster,29952,1
3,9342,7772.2784862,1,VSM.FinalizePages,2560,1
3,9342,7772.2784862,1,VSM.DynamicRaster,33024,1
3,9342,7772.2784862,1,VSM.UnityCompatibilityRaster,0,0
3,9342,7772.2784862,1,VSM.Resolve,7705088,1
3,9342,7772.2784862,1,VSM.ResolveTrace,7162624,1
3,9342,7772.2784862,1,VSM.FilterHorizontal,67584,1
3,9342,7772.2784862,1,VSM.FilterVertical,0,0
3,9342,7772.2784862,1,VSM.FilterTemporalVertical,156416,1
4,9343,7772.2973723,1,VSM.PageOccupancy,56064,1
4,9343,7772.2973723,1,VSM.LayoutRemap,0,1
4,9343,7772.2973723,1,VSM.ResetFeedback,0,1
4,9343,7772.2973723,1,VSM.MarkReceiverPages,677120,1
4,9343,7772.2973723,1,VSM.Allocate,226816,1
4,9343,7772.2973723,1,VSM.InvalidateStatic,0,0
4,9343,7772.2973723,1,VSM.ClearPhysicalPages,90624,1
4,9343,7772.2973723,1,VSM.StaticCasterCull,70656,1
4,9343,7772.2973723,1,VSM.DynamicCasterCull,44800,1
4,9343,7772.2973723,1,VSM.PageCull,82432,2
4,9343,7772.2973723,1,VSM.StaticRaster,7936,1
4,9343,7772.2973723,1,VSM.FinalizePages,1792,1
4,9343,7772.2973723,1,VSM.DynamicRaster,33792,1
4,9343,7772.2973723,1,VSM.UnityCompatibilityRaster,0,0
4,9343,7772.2973723,1,VSM.Resolve,6840576,1
4,9343,7772.2973723,1,VSM.ResolveTrace,6612480,1
4,9343,7772.2973723,1,VSM.FilterHorizontal,66048,1
4,9343,7772.2973723,1,VSM.FilterVertical,0,0
4,9343,7772.2973723,1,VSM.FilterTemporalVertical,160768,1
5,9344,7772.3165371999994,1,VSM.PageOccupancy,54528,1
5,9344,7772.3165371999994,1,VSM.LayoutRemap,0,1
5,9344,7772.3165371999994,1,VSM.ResetFeedback,0,1
5,9344,7772.3165371999994,1,VSM.MarkReceiverPages,680704,1
5,9344,7772.3165371999994,1,VSM.Allocate,227584,1
5,9344,7772.3165371999994,1,VSM.InvalidateStatic,0,0
5,9344,7772.3165371999994,1,VSM.ClearPhysicalPages,281344,1
5,9344,7772.3165371999994,1,VSM.StaticCasterCull,72960,1
5,9344,7772.3165371999994,1,VSM.DynamicCasterCull,45824,1
5,9344,7772.3165371999994,1,VSM.PageCull,80640,2
5,9344,7772.3165371999994,1,VSM.StaticRaster,7168,1
5,9344,7772.3165371999994,1,VSM.FinalizePages,1792,1
5,9344,7772.3165371999994,1,VSM.DynamicRaster,33536,1
5,9344,7772.3165371999994,1,VSM.UnityCompatibilityRaster,0,0
5,9344,7772.3165371999994,1,VSM.Resolve,7753728,1
5,9344,7772.3165371999994,1,VSM.ResolveTrace,7526656,1
5,9344,7772.3165371999994,1,VSM.FilterHorizontal,67840,1
5,9344,7772.3165371999994,1,VSM.FilterVertical,0,0
5,9344,7772.3165371999994,1,VSM.FilterTemporalVertical,157952,1
6,9345,7772.3338187,1,VSM.PageOccupancy,58112,1
6,9345,7772.3338187,1,VSM.LayoutRemap,0,1
6,9345,7772.3338187,1,VSM.ResetFeedback,0,1
6,9345,7772.3338187,1,VSM.MarkReceiverPages,680448,1
6,9345,7772.3338187,1,VSM.Allocate,226048,1
6,9345,7772.3338187,1,VSM.InvalidateStatic,0,0
6,9345,7772.3338187,1,VSM.ClearPhysicalPages,90624,1
6,9345,7772.3338187,1,VSM.StaticCasterCull,69376,1
6,9345,7772.3338187,1,VSM.DynamicCasterCull,45312,1
6,9345,7772.3338187,1,VSM.PageCull,81408,2
6,9345,7772.3338187,1,VSM.StaticRaster,7168,1
6,9345,7772.3338187,1,VSM.FinalizePages,2560,1
6,9345,7772.3338187,1,VSM.DynamicRaster,33280,1
6,9345,7772.3338187,1,VSM.UnityCompatibilityRaster,0,0
6,9345,7772.3338187,1,VSM.Resolve,6873600,1
6,9345,7772.3338187,1,VSM.ResolveTrace,6648576,1
6,9345,7772.3338187,1,VSM.FilterHorizontal,66048,1
6,9345,7772.3338187,1,VSM.FilterVertical,0,0
6,9345,7772.3338187,1,VSM.FilterTemporalVertical,157952,1
7,9346,7772.3524751999994,1,VSM.PageOccupancy,55040,1
7,9346,7772.3524751999994,1,VSM.LayoutRemap,0,1
7,9346,7772.3524751999994,1,VSM.ResetFeedback,0,1
7,9346,7772.3524751999994,1,VSM.MarkReceiverPages,676608,1
7,9346,7772.3524751999994,1,VSM.Allocate,224768,1
7,9346,7772.3524751999994,1,VSM.InvalidateStatic,0,0
7,9346,7772.3524751999994,1,VSM.ClearPhysicalPages,90368,1
7,9346,7772.3524751999994,1,VSM.StaticCasterCull,69120,1
7,9346,7772.3524751999994,1,VSM.DynamicCasterCull,45824,1
7,9346,7772.3524751999994,1,VSM.PageCull,81408,2
7,9346,7772.3524751999994,1,VSM.StaticRaster,7168,1
7,9346,7772.3524751999994,1,VSM.FinalizePages,1792,1
7,9346,7772.3524751999994,1,VSM.DynamicRaster,34560,1
7,9346,7772.3524751999994,1,VSM.UnityCompatibilityRaster,0,0
7,9346,7772.3524751999994,1,VSM.Resolve,7644672,1
7,9346,7772.3524751999994,1,VSM.ResolveTrace,7124992,1
7,9346,7772.3524751999994,1,VSM.FilterHorizontal,67584,1
7,9346,7772.3524751999994,1,VSM.FilterVertical,0,0
7,9346,7772.3524751999994,1,VSM.FilterTemporalVertical,157952,1
8,9347,7772.3707999,1,VSM.PageOccupancy,57088,1
8,9347,7772.3707999,1,VSM.LayoutRemap,0,1
8,9347,7772.3707999,1,VSM.ResetFeedback,0,1
8,9347,7772.3707999,1,VSM.MarkReceiverPages,676352,1
8,9347,7772.3707999,1,VSM.Allocate,224768,1
8,9347,7772.3707999,1,VSM.InvalidateStatic,0,0
8,9347,7772.3707999,1,VSM.ClearPhysicalPages,89856,1
8,9347,7772.3707999,1,VSM.StaticCasterCull,68864,1
8,9347,7772.3707999,1,VSM.DynamicCasterCull,45824,1
8,9347,7772.3707999,1,VSM.PageCull,81664,2
8,9347,7772.3707999,1,VSM.StaticRaster,7424,1
8,9347,7772.3707999,1,VSM.FinalizePages,2048,1
8,9347,7772.3707999,1,VSM.DynamicRaster,33280,1
8,9347,7772.3707999,1,VSM.UnityCompatibilityRaster,0,0
8,9347,7772.3707999,1,VSM.Resolve,6781952,1
8,9347,7772.3707999,1,VSM.ResolveTrace,6562304,1
8,9347,7772.3707999,1,VSM.FilterHorizontal,65792,1
8,9347,7772.3707999,1,VSM.FilterVertical,0,0
8,9347,7772.3707999,1,VSM.FilterTemporalVertical,152576,1
9,9348,7772.3891478999994,1,VSM.PageOccupancy,55040,1
9,9348,7772.3891478999994,1,VSM.LayoutRemap,0,1
9,9348,7772.3891478999994,1,VSM.ResetFeedback,0,1
9,9348,7772.3891478999994,1,VSM.MarkReceiverPages,677888,1
9,9348,7772.3891478999994,1,VSM.Allocate,225536,1
9,9348,7772.3891478999994,1,VSM.InvalidateStatic,0,0
9,9348,7772.3891478999994,1,VSM.ClearPhysicalPages,660480,1
9,9348,7772.3891478999994,1,VSM.StaticCasterCull,71168,1
9,9348,7772.3891478999994,1,VSM.DynamicCasterCull,43264,1
9,9348,7772.3891478999994,1,VSM.PageCull,76032,2
9,9348,7772.3891478999994,1,VSM.StaticRaster,7168,1
