observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,10304,7793.5013541,1,VSM.PageOccupancy,54272,1
0,10304,7793.5013541,1,VSM.LayoutRemap,0,1
0,10304,7793.5013541,1,VSM.ResetFeedback,0,1
0,10304,7793.5013541,1,VSM.MarkReceiverPages,672000,1
0,10304,7793.5013541,1,VSM.Allocate,222208,1
0,10304,7793.5013541,1,VSM.InvalidateStatic,0,0
0,10304,7793.5013541,1,VSM.ClearPhysicalPages,280832,1
0,10304,7793.5013541,1,VSM.StaticCasterCull,71936,1
0,10304,7793.5013541,1,VSM.DynamicCasterCull,42752,1
0,10304,7793.5013541,1,VSM.PageCull,76544,2
0,10304,7793.5013541,1,VSM.StaticRaster,3328,1
0,10304,7793.5013541,1,VSM.FinalizePages,2048,1
0,10304,7793.5013541,1,VSM.DynamicRaster,34560,1
0,10304,7793.5013541,1,VSM.UnityCompatibilityRaster,0,0
0,10304,7793.5013541,1,VSM.Resolve,8702720,1
0,10304,7793.5013541,1,VSM.ResolveTrace,8474368,1
0,10304,7793.5013541,1,VSM.FilterHorizontal,67584,1
0,10304,7793.5013541,1,VSM.FilterVertical,0,0
0,10304,7793.5013541,1,VSM.FilterTemporalVertical,159232,1
1,10305,7793.5194268999994,1,VSM.PageOccupancy,54272,1
1,10305,7793.5194268999994,1,VSM.LayoutRemap,0,1
1,10305,7793.5194268999994,1,VSM.ResetFeedback,0,1
1,10305,7793.5194268999994,1,VSM.MarkReceiverPages,673024,1
1,10305,7793.5194268999994,1,VSM.Allocate,223232,1
1,10305,7793.5194268999994,1,VSM.InvalidateStatic,0,0
1,10305,7793.5194268999994,1,VSM.ClearPhysicalPages,300544,1
1,10305,7793.5194268999994,1,VSM.StaticCasterCull,71680,1
1,10305,7793.5194268999994,1,VSM.DynamicCasterCull,43008,1
1,10305,7793.5194268999994,1,VSM.PageCull,77056,2
1,10305,7793.5194268999994,1,VSM.StaticRaster,3328,1
1,10305,7793.5194268999994,1,VSM.FinalizePages,2304,1
1,10305,7793.5194268999994,1,VSM.DynamicRaster,34304,1
1,10305,7793.5194268999994,1,VSM.UnityCompatibilityRaster,0,0
1,10305,7793.5194268999994,1,VSM.Resolve,7567872,1
1,10305,7793.5194268999994,1,VSM.ResolveTrace,7340288,1
1,10305,7793.5194268999994,1,VSM.FilterHorizontal,67584,1
1,10305,7793.5194268999994,1,VSM.FilterVertical,0,0
1,10305,7793.5194268999994,1,VSM.FilterTemporalVertical,158720,1
2,10306,7793.5361982999993,1,VSM.PageOccupancy,58368,1
2,10306,7793.5361982999993,1,VSM.LayoutRemap,0,1
2,10306,7793.5361982999993,1,VSM.ResetFeedback,0,1
2,10306,7793.5361982999993,1,VSM.MarkReceiverPages,668416,1
2,10306,7793.5361982999993,1,VSM.Allocate,225024,1
2,10306,7793.5361982999993,1,VSM.InvalidateStatic,0,0
2,10306,7793.5361982999993,1,VSM.ClearPhysicalPages,90624,1
2,10306,7793.5361982999993,1,VSM.StaticCasterCull,67072,1
2,10306,7793.5361982999993,1,VSM.DynamicCasterCull,43776,1
2,10306,7793.5361982999993,1,VSM.PageCull,77312,2
2,10306,7793.5361982999993,1,VSM.StaticRaster,7936,1
2,10306,7793.5361982999993,1,VSM.FinalizePages,2304,1
2,10306,7793.5361982999993,1,VSM.DynamicRaster,34560,1
2,10306,7793.5361982999993,1,VSM.UnityCompatibilityRaster,0,0
2,10306,7793.5361982999993,1,VSM.Resolve,7769856,1
2,10306,7793.5361982999993,1,VSM.ResolveTrace,7541504,1
2,10306,7793.5361982999993,1,VSM.FilterHorizontal,68096,1
2,10306,7793.5361982999993,1,VSM.FilterVertical,0,0
2,10306,7793.5361982999993,1,VSM.FilterTemporalVertical,158976,1
3,10307,7793.5527839999995,1,VSM.PageOccupancy,54528,1
3,10307,7793.5527839999995,1,VSM.LayoutRemap,0,1
3,10307,7793.5527839999995,1,VSM.ResetFeedback,0,1
3,10307,7793.5527839999995,1,VSM.MarkReceiverPages,678144,1
3,10307,7793.5527839999995,1,VSM.Allocate,265472,1
3,10307,7793.5527839999995,1,VSM.InvalidateStatic,0,0
3,10307,7793.5527839999995,1,VSM.ClearPhysicalPages,91648,1
3,10307,7793.5527839999995,1,VSM.StaticCasterCull,67584,1
3,10307,7793.5527839999995,1,VSM.DynamicCasterCull,48640,1
3,10307,7793.5527839999995,1,VSM.PageCull,81920,2
3,10307,7793.5527839999995,1,VSM.StaticRaster,29952,1
3,10307,7793.5527839999995,1,VSM.FinalizePages,1792,1
3,10307,7793.5527839999995,1,VSM.DynamicRaster,32512,1
3,10307,7793.5527839999995,1,VSM.UnityCompatibilityRaster,0,0
3,10307,7793.5527839999995,1,VSM.Resolve,7806976,1
3,10307,7793.5527839999995,1,VSM.ResolveTrace,7585024,1
3,10307,7793.5527839999995,1,VSM.FilterHorizontal,66048,1
3,10307,7793.5527839999995,1,VSM.FilterVertical,0,0
3,10307,7793.5527839999995,1,VSM.FilterTemporalVertical,154624,1
4,10308,7793.5696794999994,1,VSM.PageOccupancy,54528,1
4,10308,7793.5696794999994,1,VSM.LayoutRemap,0,1
4,10308,7793.5696794999994,1,VSM.ResetFeedback,0,1
4,10308,7793.5696794999994,1,VSM.MarkReceiverPages,677376,1
4,10308,7793.5696794999994,1,VSM.Allocate,226048,1
4,10308,7793.5696794999994,1,VSM.InvalidateStatic,0,0
4,10308,7793.5696794999994,1,VSM.ClearPhysicalPages,90368,1
4,10308,7793.5696794999994,1,VSM.StaticCasterCull,67328,1
4,10308,7793.5696794999994,1,VSM.DynamicCasterCull,44544,1
4,10308,7793.5696794999994,1,VSM.PageCull,78336,2
4,10308,7793.5696794999994,1,VSM.StaticRaster,3328,1
4,10308,7793.5696794999994,1,VSM.FinalizePages,1792,1
4,10308,7793.5696794999994,1,VSM.DynamicRaster,33536,1
4,10308,7793.5696794999994,1,VSM.UnityCompatibilityRaster,0,0
4,10308,7793.5696794999994,1,VSM.Resolve,7165184,1
4,10308,7793.5696794999994,1,VSM.ResolveTrace,6941696,1
4,10308,7793.5696794999994,1,VSM.FilterHorizontal,64768,1
4,10308,7793.5696794999994,1,VSM.FilterVertical,0,0
4,10308,7793.5696794999994,1,VSM.FilterTemporalVertical,157184,1
5,10309,7793.5861477,1,VSM.PageOccupancy,54784,1
5,10309,7793.5861477,1,VSM.LayoutRemap,0,1
5,10309,7793.5861477,1,VSM.ResetFeedback,0,1
5,10309,7793.5861477,1,VSM.MarkReceiverPages,676352,1
5,10309,7793.5861477,1,VSM.Allocate,225792,1
5,10309,7793.5861477,1,VSM.InvalidateStatic,0,0
5,10309,7793.5861477,1,VSM.ClearPhysicalPages,90624,1
5,10309,7793.5861477,1,VSM.StaticCasterCull,67584,1
5,10309,7793.5861477,1,VSM.DynamicCasterCull,45312,1
5,10309,7793.5861477,1,VSM.PageCull,80384,2
5,10309,7793.5861477,1,VSM.StaticRaster,3072,1
5,10309,7793.5861477,1,VSM.FinalizePages,1792,1
5,10309,7793.5861477,1,VSM.DynamicRaster,33024,1
5,10309,7793.5861477,1,VSM.UnityCompatibilityRaster,0,0
5,10309,7793.5861477,1,VSM.Resolve,6877184,1
5,10309,7793.5861477,1,VSM.ResolveTrace,6651648,1
5,10309,7793.5861477,1,VSM.FilterHorizontal,66048,1
5,10309,7793.5861477,1,VSM.FilterVertical,0,0
5,10309,7793.5861477,1,VSM.FilterTemporalVertical,158464,1
6,10310,7793.6029303999994,1,VSM.PageOccupancy,56064,1
6,10310,7793.6029303999994,1,VSM.LayoutRemap,0,1
6,10310,7793.6029303999994,1,VSM.ResetFeedback,0,1
6,10310,7793.6029303999994,1,VSM.MarkReceiverPages,678144,1
6,10310,7793.6029303999994,1,VSM.Allocate,225536,1
6,10310,7793.6029303999994,1,VSM.InvalidateStatic,0,0
