observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,9146,7768.3164087999994,1,VSM.PageOccupancy,53248,1
0,9146,7768.3164087999994,1,VSM.LayoutRemap,0,1
0,9146,7768.3164087999994,1,VSM.ResetFeedback,0,1
0,9146,7768.3164087999994,1,VSM.MarkReceiverPages,679936,1
0,9146,7768.3164087999994,1,VSM.Allocate,223744,1
0,9146,7768.3164087999994,1,VSM.InvalidateStatic,0,0
0,9146,7768.3164087999994,1,VSM.ClearPhysicalPages,89856,1
0,9146,7768.3164087999994,1,VSM.StaticCasterCull,67328,1
0,9146,7768.3164087999994,1,VSM.DynamicCasterCull,43776,1
0,9146,7768.3164087999994,1,VSM.PageCull,78592,2
0,9146,7768.3164087999994,1,VSM.StaticRaster,6400,1
0,9146,7768.3164087999994,1,VSM.FinalizePages,1792,1
0,9146,7768.3164087999994,1,VSM.DynamicRaster,34816,1
0,9146,7768.3164087999994,1,VSM.UnityCompatibilityRaster,0,0
0,9146,7768.3164087999994,1,VSM.Resolve,7451136,1
0,9146,7768.3164087999994,1,VSM.ResolveTrace,7226624,1
0,9146,7768.3164087999994,1,VSM.FilterHorizontal,65536,1
0,9146,7768.3164087999994,1,VSM.FilterVertical,0,0
0,9146,7768.3164087999994,1,VSM.FilterTemporalVertical,157440,1
1,9147,7768.3375100999992,1,VSM.PageOccupancy,55040,1
1,9147,7768.3375100999992,1,VSM.LayoutRemap,0,1
1,9147,7768.3375100999992,1,VSM.ResetFeedback,0,1
1,9147,7768.3375100999992,1,VSM.MarkReceiverPages,682496,1
1,9147,7768.3375100999992,1,VSM.Allocate,226048,1
1,9147,7768.3375100999992,1,VSM.InvalidateStatic,0,0
1,9147,7768.3375100999992,1,VSM.ClearPhysicalPages,90624,1
1,9147,7768.3375100999992,1,VSM.StaticCasterCull,67584,1
1,9147,7768.3375100999992,1,VSM.DynamicCasterCull,43776,1
1,9147,7768.3375100999992,1,VSM.PageCull,77568,2
1,9147,7768.3375100999992,1,VSM.StaticRaster,7168,1
1,9147,7768.3375100999992,1,VSM.FinalizePages,2048,1
1,9147,7768.3375100999992,1,VSM.DynamicRaster,34304,1
1,9147,7768.3375100999992,1,VSM.UnityCompatibilityRaster,0,0
1,9147,7768.3375100999992,1,VSM.Resolve,7921152,1
1,9147,7768.3375100999992,1,VSM.ResolveTrace,7695616,1
1,9147,7768.3375100999992,1,VSM.FilterHorizontal,65792,1
1,9147,7768.3375100999992,1,VSM.FilterVertical,0,0
1,9147,7768.3375100999992,1,VSM.FilterTemporalVertical,158720,1
2,9148,7768.3543852999992,1,VSM.PageOccupancy,54528,1
2,9148,7768.3543852999992,1,VSM.LayoutRemap,0,1
2,9148,7768.3543852999992,1,VSM.ResetFeedback,0,1
2,9148,7768.3543852999992,1,VSM.MarkReceiverPages,684032,1
2,9148,7768.3543852999992,1,VSM.Allocate,226304,1
2,9148,7768.3543852999992,1,VSM.InvalidateStatic,0,0
2,9148,7768.3543852999992,1,VSM.ClearPhysicalPages,89856,1
2,9148,7768.3543852999992,1,VSM.StaticCasterCull,68352,1
2,9148,7768.3543852999992,1,VSM.DynamicCasterCull,46592,1
2,9148,7768.3543852999992,1,VSM.PageCull,81920,2
2,9148,7768.3543852999992,1,VSM.StaticRaster,7424,1
2,9148,7768.3543852999992,1,VSM.FinalizePages,1792,1
2,9148,7768.3543852999992,1,VSM.DynamicRaster,35328,1
2,9148,7768.3543852999992,1,VSM.UnityCompatibilityRaster,0,0
2,9148,7768.3543852999992,1,VSM.Resolve,7528704,1
2,9148,7768.3543852999992,1,VSM.ResolveTrace,7304704,1
2,9148,7768.3543852999992,1,VSM.FilterHorizontal,65792,1
2,9148,7768.3543852999992,1,VSM.FilterVertical,0,0
2,9148,7768.3543852999992,1,VSM.FilterTemporalVertical,156928,1
3,9149,7768.3718319,1,VSM.PageOccupancy,55808,1
3,9149,7768.3718319,1,VSM.LayoutRemap,0,1
3,9149,7768.3718319,1,VSM.ResetFeedback,0,1
3,9149,7768.3718319,1,VSM.MarkReceiverPages,678656,1
3,9149,7768.3718319,1,VSM.Allocate,222464,1
3,9149,7768.3718319,1,VSM.InvalidateStatic,0,0
3,9149,7768.3718319,1,VSM.ClearPhysicalPages,89856,1
3,9149,7768.3718319,1,VSM.StaticCasterCull,68096,1
3,9149,7768.3718319,1,VSM.DynamicCasterCull,45568,1
3,9149,7768.3718319,1,VSM.PageCull,80896,2
3,9149,7768.3718319,1,VSM.StaticRaster,7168,1
3,9149,7768.3718319,1,VSM.FinalizePages,1792,1
3,9149,7768.3718319,1,VSM.DynamicRaster,33024,1
3,9149,7768.3718319,1,VSM.UnityCompatibilityRaster,0,0
3,9149,7768.3718319,1,VSM.Resolve,6807040,1
3,9149,7768.3718319,1,VSM.ResolveTrace,6584320,1
3,9149,7768.3718319,1,VSM.FilterHorizontal,65536,1
3,9149,7768.3718319,1,VSM.FilterVertical,0,0
3,9149,7768.3718319,1,VSM.FilterTemporalVertical,156160,1
4,9150,7768.3897631,1,VSM.PageOccupancy,55808,1
4,9150,7768.3897631,1,VSM.LayoutRemap,0,1
4,9150,7768.3897631,1,VSM.ResetFeedback,0,1
4,9150,7768.3897631,1,VSM.MarkReceiverPages,680960,1
4,9150,7768.3897631,1,VSM.Allocate,222976,1
4,9150,7768.3897631,1,VSM.InvalidateStatic,0,0
4,9150,7768.3897631,1,VSM.ClearPhysicalPages,89600,1
4,9150,7768.3897631,1,VSM.StaticCasterCull,68096,1
4,9150,7768.3897631,1,VSM.DynamicCasterCull,47616,1
4,9150,7768.3897631,1,VSM.PageCull,82688,2
4,9150,7768.3897631,1,VSM.StaticRaster,3072,1
4,9150,7768.3897631,1,VSM.FinalizePages,2304,1
4,9150,7768.3897631,1,VSM.DynamicRaster,33024,1
4,9150,7768.3897631,1,VSM.UnityCompatibilityRaster,0,0
4,9150,7768.3897631,1,VSM.Resolve,6900736,1
4,9150,7768.3897631,1,VSM.ResolveTrace,6678784,1
4,9150,7768.3897631,1,VSM.FilterHorizontal,64256,1
4,9150,7768.3897631,1,VSM.FilterVertical,0,0
4,9150,7768.3897631,1,VSM.FilterTemporalVertical,156672,1
5,9151,7768.4096962999993,1,VSM.PageOccupancy,54784,1
5,9151,7768.4096962999993,1,VSM.LayoutRemap,0,1
5,9151,7768.4096962999993,1,VSM.ResetFeedback,0,1
5,9151,7768.4096962999993,1,VSM.MarkReceiverPages,681984,1
5,9151,7768.4096962999993,1,VSM.Allocate,224512,1
5,9151,7768.4096962999993,1,VSM.InvalidateStatic,0,0
5,9151,7768.4096962999993,1,VSM.ClearPhysicalPages,89856,1
5,9151,7768.4096962999993,1,VSM.StaticCasterCull,70144,1
5,9151,7768.4096962999993,1,VSM.DynamicCasterCull,46336,1
5,9151,7768.4096962999993,1,VSM.PageCull,83200,2
5,9151,7768.4096962999993,1,VSM.StaticRaster,6912,1
5,9151,7768.4096962999993,1,VSM.FinalizePages,1792,1
5,9151,7768.4096962999993,1,VSM.DynamicRaster,33280,1
5,9151,7768.4096962999993,1,VSM.UnityCompatibilityRaster,0,0
5,9151,7768.4096962999993,1,VSM.Resolve,7198464,1
5,9151,7768.4096962999993,1,VSM.ResolveTrace,6972928,1
5,9151,7768.4096962999993,1,VSM.FilterHorizontal,66816,1
5,9151,7768.4096962999993,1,VSM.FilterVertical,0,0
5,9151,7768.4096962999993,1,VSM.FilterTemporalVertical,157696,1
6,9152,7768.4296165999995,1,VSM.PageOccupancy,53760,1
6,9152,7768.4296165999995,1,VSM.LayoutRemap,0,1
6,9152,7768.4296165999995,1,VSM.ResetFeedback,0,1
6,9152,7768.4296165999995,1,VSM.MarkReceiverPages,676096,1
6,9152,7768.4296165999995,1,VSM.Allocate,222720,1
6,9152,7768.4296165999995,1,VSM.InvalidateStatic,0,0
6,9152,7768.4296165999995,1,VSM.ClearPhysicalPages,90112,1
6,9152,7768.4296165999995,1,VSM.StaticCasterCull,65024,1
6,9152,7768.4296165999995,1,VSM.DynamicCasterCull,45568,1
6,9152,7768.4296165999995,1,VSM.PageCull,77312,2
