observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,10497,7796.9924324999993,1,VSM.PageOccupancy,55552,1
0,10497,7796.9924324999993,1,VSM.LayoutRemap,0,1
0,10497,7796.9924324999993,1,VSM.ResetFeedback,0,1
0,10497,7796.9924324999993,1,VSM.MarkReceiverPages,676608,1
0,10497,7796.9924324999993,1,VSM.Allocate,223232,1
0,10497,7796.9924324999993,1,VSM.InvalidateStatic,0,0
0,10497,7796.9924324999993,1,VSM.ClearPhysicalPages,90112,1
0,10497,7796.9924324999993,1,VSM.StaticCasterCull,67840,1
0,10497,7796.9924324999993,1,VSM.DynamicCasterCull,44800,1
0,10497,7796.9924324999993,1,VSM.PageCull,78848,2
0,10497,7796.9924324999993,1,VSM.StaticRaster,6912,1
0,10497,7796.9924324999993,1,VSM.FinalizePages,2048,1
0,10497,7796.9924324999993,1,VSM.DynamicRaster,33536,1
0,10497,7796.9924324999993,1,VSM.UnityCompatibilityRaster,0,0
0,10497,7796.9924324999993,1,VSM.Resolve,8276224,1
0,10497,7796.9924324999993,1,VSM.ResolveTrace,8049920,1
0,10497,7796.9924324999993,1,VSM.FilterHorizontal,66816,1
0,10497,7796.9924324999993,1,VSM.FilterVertical,0,0
0,10497,7796.9924324999993,1,VSM.FilterTemporalVertical,157952,1
1,10498,7797.0091714,1,VSM.PageOccupancy,53504,1
1,10498,7797.0091714,1,VSM.LayoutRemap,0,1
1,10498,7797.0091714,1,VSM.ResetFeedback,0,1
1,10498,7797.0091714,1,VSM.MarkReceiverPages,680704,1
1,10498,7797.0091714,1,VSM.Allocate,224512,1
1,10498,7797.0091714,1,VSM.InvalidateStatic,0,0
1,10498,7797.0091714,1,VSM.ClearPhysicalPages,89600,1
1,10498,7797.0091714,1,VSM.StaticCasterCull,66304,1
1,10498,7797.0091714,1,VSM.DynamicCasterCull,45312,1
1,10498,7797.0091714,1,VSM.PageCull,78336,2
1,10498,7797.0091714,1,VSM.StaticRaster,3328,1
1,10498,7797.0091714,1,VSM.FinalizePages,1792,1
1,10498,7797.0091714,1,VSM.DynamicRaster,33792,1
1,10498,7797.0091714,1,VSM.UnityCompatibilityRaster,0,0
1,10498,7797.0091714,1,VSM.Resolve,7766528,1
1,10498,7797.0091714,1,VSM.ResolveTrace,7541248,1
