observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,8181,7749.2273845,1,VSM.PageOccupancy,129536,1
0,8181,7749.2273845,1,VSM.LayoutRemap,0,1
0,8181,7749.2273845,1,VSM.ResetFeedback,0,1
0,8181,7749.2273845,1,VSM.MarkReceiverPages,678912,1
0,8181,7749.2273845,1,VSM.Allocate,226048,1
0,8181,7749.2273845,1,VSM.InvalidateStatic,0,0
0,8181,7749.2273845,1,VSM.ClearPhysicalPages,90624,1
0,8181,7749.2273845,1,VSM.StaticCasterCull,67584,1
0,8181,7749.2273845,1,VSM.DynamicCasterCull,0,1
0,8181,7749.2273845,1,VSM.PageCull,48896,1
0,8181,7749.2273845,1,VSM.StaticRaster,7680,1
0,8181,7749.2273845,1,VSM.FinalizePages,1792,1
0,8181,7749.2273845,1,VSM.DynamicRaster,13568,1
0,8181,7749.2273845,1,VSM.UnityCompatibilityRaster,0,0
0,8181,7749.2273845,1,VSM.Resolve,6549248,1
0,8181,7749.2273845,1,VSM.ResolveTrace,6323968,1
0,8181,7749.2273845,1,VSM.FilterHorizontal,66048,1
0,8181,7749.2273845,1,VSM.FilterVertical,0,0
0,8181,7749.2273845,1,VSM.FilterTemporalVertical,158208,1
1,8182,7749.2436807999993,1,VSM.PageOccupancy,61440,1
1,8182,7749.2436807999993,1,VSM.LayoutRemap,0,1
1,8182,7749.2436807999993,1,VSM.ResetFeedback,0,1
1,8182,7749.2436807999993,1,VSM.MarkReceiverPages,679936,1
1,8182,7749.2436807999993,1,VSM.Allocate,226560,1
1,8182,7749.2436807999993,1,VSM.InvalidateStatic,0,0
1,8182,7749.2436807999993,1,VSM.ClearPhysicalPages,90624,1
1,8182,7749.2436807999993,1,VSM.StaticCasterCull,67840,1
1,8182,7749.2436807999993,1,VSM.DynamicCasterCull,0,1
1,8182,7749.2436807999993,1,VSM.PageCull,49152,1
1,8182,7749.2436807999993,1,VSM.StaticRaster,7168,1
1,8182,7749.2436807999993,1,VSM.FinalizePages,1792,1
1,8182,7749.2436807999993,1,VSM.DynamicRaster,14592,1
1,8182,7749.2436807999993,1,VSM.UnityCompatibilityRaster,0,0
1,8182,7749.2436807999993,1,VSM.Resolve,6788608,1
1,8182,7749.2436807999993,1,VSM.ResolveTrace,6260736,1
1,8182,7749.2436807999993,1,VSM.FilterHorizontal,67840,1
1,8182,7749.2436807999993,1,VSM.FilterVertical,0,0
1,8182,7749.2436807999993,1,VSM.FilterTemporalVertical,159488,1
2,8183,7749.2607544999992,1,VSM.PageOccupancy,60672,1
2,8183,7749.2607544999992,1,VSM.LayoutRemap,0,1
2,8183,7749.2607544999992,1,VSM.ResetFeedback,0,1
2,8183,7749.2607544999992,1,VSM.MarkReceiverPages,678144,1
2,8183,7749.2607544999992,1,VSM.Allocate,224256,1
2,8183,7749.2607544999992,1,VSM.InvalidateStatic,0,0
2,8183,7749.2607544999992,1,VSM.ClearPhysicalPages,391424,1
2,8183,7749.2607544999992,1,VSM.StaticCasterCull,71936,1
2,8183,7749.2607544999992,1,VSM.DynamicCasterCull,0,1
2,8183,7749.2607544999992,1,VSM.PageCull,48896,1
2,8183,7749.2607544999992,1,VSM.StaticRaster,7168,1
2,8183,7749.2607544999992,1,VSM.FinalizePages,2304,1
2,8183,7749.2607544999992,1,VSM.DynamicRaster,12288,1
2,8183,7749.2607544999992,1,VSM.UnityCompatibilityRaster,0,0
2,8183,7749.2607544999992,1,VSM.Resolve,6823936,1
2,8183,7749.2607544999992,1,VSM.ResolveTrace,6598912,1
2,8183,7749.2607544999992,1,VSM.FilterHorizontal,66304,1
2,8183,7749.2607544999992,1,VSM.FilterVertical,0,0
2,8183,7749.2607544999992,1,VSM.FilterTemporalVertical,157184,1
3,8184,7749.2778275,1,VSM.PageOccupancy,60928,1
3,8184,7749.2778275,1,VSM.LayoutRemap,0,1
3,8184,7749.2778275,1,VSM.ResetFeedback,0,1
3,8184,7749.2778275,1,VSM.MarkReceiverPages,681472,1
3,8184,7749.2778275,1,VSM.Allocate,225024,1
3,8184,7749.2778275,1,VSM.InvalidateStatic,0,0
3,8184,7749.2778275,1,VSM.ClearPhysicalPages,618496,1
3,8184,7749.2778275,1,VSM.StaticCasterCull,70656,1
3,8184,7749.2778275,1,VSM.DynamicCasterCull,0,1
3,8184,7749.2778275,1,VSM.PageCull,46848,1
3,8184,7749.2778275,1,VSM.StaticRaster,8960,1
3,8184,7749.2778275,1,VSM.FinalizePages,2048,1
3,8184,7749.2778275,1,VSM.DynamicRaster,11776,1
3,8184,7749.2778275,1,VSM.UnityCompatibilityRaster,0,0
3,8184,7749.2778275,1,VSM.Resolve,6537984,1
3,8184,7749.2778275,1,VSM.ResolveTrace,6313728,1
3,8184,7749.2778275,1,VSM.FilterHorizontal,66560,1
3,8184,7749.2778275,1,VSM.FilterVertical,0,0
3,8184,7749.2778275,1,VSM.FilterTemporalVertical,156160,1
4,8185,7749.2940196,1,VSM.PageOccupancy,58112,1
4,8185,7749.2940196,1,VSM.LayoutRemap,0,1
4,8185,7749.2940196,1,VSM.ResetFeedback,0,1
4,8185,7749.2940196,1,VSM.MarkReceiverPages,681216,1
4,8185,7749.2940196,1,VSM.Allocate,221952,1
4,8185,7749.2940196,1,VSM.InvalidateStatic,0,0
4,8185,7749.2940196,1,VSM.ClearPhysicalPages,400896,1
4,8185,7749.2940196,1,VSM.StaticCasterCull,75008,1
4,8185,7749.2940196,1,VSM.DynamicCasterCull,0,1
4,8185,7749.2940196,1,VSM.PageCull,48896,1
4,8185,7749.2940196,1,VSM.StaticRaster,7424,1
