observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,11462,7816.3451940999994,1,VSM.PageOccupancy,59904,1
0,11462,7816.3451940999994,1,VSM.LayoutRemap,0,1
0,11462,7816.3451940999994,1,VSM.ResetFeedback,0,1
0,11462,7816.3451940999994,1,VSM.MarkReceiverPages,678144,1
0,11462,7816.3451940999994,1,VSM.Allocate,225792,1
0,11462,7816.3451940999994,1,VSM.InvalidateStatic,0,0
0,11462,7816.3451940999994,1,VSM.ClearPhysicalPages,90624,1
0,11462,7816.3451940999994,1,VSM.StaticCasterCull,70144,1
0,11462,7816.3451940999994,1,VSM.DynamicCasterCull,0,1
0,11462,7816.3451940999994,1,VSM.PageCull,51456,1
0,11462,7816.3451940999994,1,VSM.StaticRaster,6912,1
0,11462,7816.3451940999994,1,VSM.FinalizePages,1792,1
0,11462,7816.3451940999994,1,VSM.DynamicRaster,16896,1
0,11462,7816.3451940999994,1,VSM.UnityCompatibilityRaster,0,0
0,11462,7816.3451940999994,1,VSM.Resolve,6499072,1
0,11462,7816.3451940999994,1,VSM.ResolveTrace,6273792,1
0,11462,7816.3451940999994,1,VSM.FilterHorizontal,66816,1
0,11462,7816.3451940999994,1,VSM.FilterVertical,0,0
0,11462,7816.3451940999994,1,VSM.FilterTemporalVertical,157696,1
1,11463,7816.3616477,1,VSM.PageOccupancy,60928,1
1,11463,7816.3616477,1,VSM.LayoutRemap,0,1
1,11463,7816.3616477,1,VSM.ResetFeedback,0,1
1,11463,7816.3616477,1,VSM.MarkReceiverPages,679680,1
1,11463,7816.3616477,1,VSM.Allocate,222720,1
1,11463,7816.3616477,1,VSM.InvalidateStatic,0,0
1,11463,7816.3616477,1,VSM.ClearPhysicalPages,291328,1
1,11463,7816.3616477,1,VSM.StaticCasterCull,65536,1
1,11463,7816.3616477,1,VSM.DynamicCasterCull,0,1
1,11463,7816.3616477,1,VSM.PageCull,47360,1
1,11463,7816.3616477,1,VSM.StaticRaster,7168,1
1,11463,7816.3616477,1,VSM.FinalizePages,2048,1
1,11463,7816.3616477,1,VSM.DynamicRaster,13568,1
1,11463,7816.3616477,1,VSM.UnityCompatibilityRaster,0,0
1,11463,7816.3616477,1,VSM.Resolve,6394368,1
1,11463,7816.3616477,1,VSM.ResolveTrace,6166016,1
1,11463,7816.3616477,1,VSM.FilterHorizontal,67072,1
1,11463,7816.3616477,1,VSM.FilterVertical,0,0
1,11463,7816.3616477,1,VSM.FilterTemporalVertical,159744,1
2,11464,7816.3782113,1,VSM.PageOccupancy,57856,1
2,11464,7816.3782113,1,VSM.LayoutRemap,0,1
2,11464,7816.3782113,1,VSM.ResetFeedback,0,1
2,11464,7816.3782113,1,VSM.MarkReceiverPages,682752,1
2,11464,7816.3782113,1,VSM.Allocate,223488,1
2,11464,7816.3782113,1,VSM.InvalidateStatic,0,0
2,11464,7816.3782113,1,VSM.ClearPhysicalPages,89856,1
2,11464,7816.3782113,1,VSM.StaticCasterCull,64512,1
2,11464,7816.3782113,1,VSM.DynamicCasterCull,0,1
2,11464,7816.3782113,1,VSM.PageCull,45312,1
2,11464,7816.3782113,1,VSM.StaticRaster,7168,1
2,11464,7816.3782113,1,VSM.FinalizePages,2304,1
2,11464,7816.3782113,1,VSM.DynamicRaster,11776,1
2,11464,7816.3782113,1,VSM.UnityCompatibilityRaster,0,0
2,11464,7816.3782113,1,VSM.Resolve,6273536,1
2,11464,7816.3782113,1,VSM.ResolveTrace,5719808,1
2,11464,7816.3782113,1,VSM.FilterHorizontal,67072,1
2,11464,7816.3782113,1,VSM.FilterVertical,0,0
2,11464,7816.3782113,1,VSM.FilterTemporalVertical,158720,1
3,11465,7816.3952316999994,1,VSM.PageOccupancy,63232,1
3,11465,7816.3952316999994,1,VSM.LayoutRemap,0,1
3,11465,7816.3952316999994,1,VSM.ResetFeedback,0,1
3,11465,7816.3952316999994,1,VSM.MarkReceiverPages,683008,1
3,11465,7816.3952316999994,1,VSM.Allocate,226560,1
3,11465,7816.3952316999994,1,VSM.InvalidateStatic,0,0
3,11465,7816.3952316999994,1,VSM.ClearPhysicalPages,90112,1
3,11465,7816.3952316999994,1,VSM.StaticCasterCull,68096,1
3,11465,7816.3952316999994,1,VSM.DynamicCasterCull,0,1
3,11465,7816.3952316999994,1,VSM.PageCull,49920,1
3,11465,7816.3952316999994,1,VSM.StaticRaster,3328,1
3,11465,7816.3952316999994,1,VSM.FinalizePages,2048,1
3,11465,7816.3952316999994,1,VSM.DynamicRaster,13824,1
3,11465,7816.3952316999994,1,VSM.UnityCompatibilityRaster,0,0
3,11465,7816.3952316999994,1,VSM.Resolve,6671872,1
3,11465,7816.3952316999994,1,VSM.ResolveTrace,6448128,1
3,11465,7816.3952316999994,1,VSM.FilterHorizontal,64512,1
3,11465,7816.3952316999994,1,VSM.FilterVertical,0,0
3,11465,7816.3952316999994,1,VSM.FilterTemporalVertical,158208,1
4,11466,7816.4127328999994,1,VSM.PageOccupancy,60416,1
4,11466,7816.4127328999994,1,VSM.LayoutRemap,0,1
4,11466,7816.4127328999994,1,VSM.ResetFeedback,0,1
4,11466,7816.4127328999994,1,VSM.MarkReceiverPages,679936,1
4,11466,7816.4127328999994,1,VSM.Allocate,227840,1
4,11466,7816.4127328999994,1,VSM.InvalidateStatic,0,0
4,11466,7816.4127328999994,1,VSM.ClearPhysicalPages,90624,1
4,11466,7816.4127328999994,1,VSM.StaticCasterCull,69376,1
4,11466,7816.4127328999994,1,VSM.DynamicCasterCull,0,1
4,11466,7816.4127328999994,1,VSM.PageCull,50432,1
