observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,9532,7776.2815622,1,VSM.PageOccupancy,62720,1
0,9532,7776.2815622,1,VSM.LayoutRemap,0,1
0,9532,7776.2815622,1,VSM.ResetFeedback,0,1
0,9532,7776.2815622,1,VSM.MarkReceiverPages,683776,1
0,9532,7776.2815622,1,VSM.Allocate,220928,1
0,9532,7776.2815622,1,VSM.InvalidateStatic,0,0
0,9532,7776.2815622,1,VSM.ClearPhysicalPages,89856,1
0,9532,7776.2815622,1,VSM.StaticCasterCull,66048,1
0,9532,7776.2815622,1,VSM.DynamicCasterCull,0,1
0,9532,7776.2815622,1,VSM.PageCull,47360,1
0,9532,7776.2815622,1,VSM.StaticRaster,6912,1
0,9532,7776.2815622,1,VSM.FinalizePages,1792,1
0,9532,7776.2815622,1,VSM.DynamicRaster,12032,1
0,9532,7776.2815622,1,VSM.UnityCompatibilityRaster,0,0
0,9532,7776.2815622,1,VSM.Resolve,7289856,1
0,9532,7776.2815622,1,VSM.ResolveTrace,7063552,1
0,9532,7776.2815622,1,VSM.FilterHorizontal,66816,1
0,9532,7776.2815622,1,VSM.FilterVertical,0,0
0,9532,7776.2815622,1,VSM.FilterTemporalVertical,157952,1
1,9533,7776.3088916,1,VSM.PageOccupancy,60416,1
1,9533,7776.3088916,1,VSM.LayoutRemap,0,1
1,9533,7776.3088916,1,VSM.ResetFeedback,0,1
1,9533,7776.3088916,1,VSM.MarkReceiverPages,684800,1
1,9533,7776.3088916,1,VSM.Allocate,220672,1
1,9533,7776.3088916,1,VSM.InvalidateStatic,0,0
1,9533,7776.3088916,1,VSM.ClearPhysicalPages,90112,1
1,9533,7776.3088916,1,VSM.StaticCasterCull,64768,1
1,9533,7776.3088916,1,VSM.DynamicCasterCull,0,1
1,9533,7776.3088916,1,VSM.PageCull,46592,1
1,9533,7776.3088916,1,VSM.StaticRaster,7424,1
1,9533,7776.3088916,1,VSM.FinalizePages,2560,1
1,9533,7776.3088916,1,VSM.DynamicRaster,13824,1
1,9533,7776.3088916,1,VSM.UnityCompatibilityRaster,0,0
1,9533,7776.3088916,1,VSM.Resolve,7025408,1
1,9533,7776.3088916,1,VSM.ResolveTrace,6801152,1
1,9533,7776.3088916,1,VSM.FilterHorizontal,66304,1
1,9533,7776.3088916,1,VSM.FilterVertical,0,0
1,9533,7776.3088916,1,VSM.FilterTemporalVertical,156672,1
2,9534,7776.3256451,1,VSM.PageOccupancy,61184,1
2,9534,7776.3256451,1,VSM.LayoutRemap,0,1
2,9534,7776.3256451,1,VSM.ResetFeedback,0,1
2,9534,7776.3256451,1,VSM.MarkReceiverPages,686848,1
2,9534,7776.3256451,1,VSM.Allocate,220672,1
2,9534,7776.3256451,1,VSM.InvalidateStatic,0,0
2,9534,7776.3256451,1,VSM.ClearPhysicalPages,90112,1
2,9534,7776.3256451,1,VSM.StaticCasterCull,65024,1
2,9534,7776.3256451,1,VSM.DynamicCasterCull,0,1
2,9534,7776.3256451,1,VSM.PageCull,45824,1
2,9534,7776.3256451,1,VSM.StaticRaster,3328,1
2,9534,7776.3256451,1,VSM.FinalizePages,2304,1
2,9534,7776.3256451,1,VSM.DynamicRaster,13824,1
2,9534,7776.3256451,1,VSM.UnityCompatibilityRaster,0,0
2,9534,7776.3256451,1,VSM.Resolve,6542080,1
2,9534,7776.3256451,1,VSM.ResolveTrace,6314240,1
2,9534,7776.3256451,1,VSM.FilterHorizontal,66816,1
2,9534,7776.3256451,1,VSM.FilterVertical,0,0
2,9534,7776.3256451,1,VSM.FilterTemporalVertical,159488,1
3,9535,7776.3425769,1,VSM.PageOccupancy,58112,1
3,9535,7776.3425769,1,VSM.LayoutRemap,2048,1
3,9535,7776.3425769,1,VSM.ResetFeedback,2048,1
3,9535,7776.3425769,1,VSM.MarkReceiverPages,679168,1
3,9535,7776.3425769,1,VSM.Allocate,1935616,1
3,9535,7776.3425769,1,VSM.InvalidateStatic,2048,1
3,9535,7776.3425769,1,VSM.ClearPhysicalPages,173568,1
3,9535,7776.3425769,1,VSM.StaticCasterCull,56320,1
3,9535,7776.3425769,1,VSM.DynamicCasterCull,0,1
3,9535,7776.3425769,1,VSM.PageCull,37376,1
3,9535,7776.3425769,1,VSM.StaticRaster,8055808,1
3,9535,7776.3425769,1,VSM.FinalizePages,2304,1
3,9535,7776.3425769,1,VSM.DynamicRaster,4352,1
3,9535,7776.3425769,1,VSM.UnityCompatibilityRaster,0,0
3,9535,7776.3425769,1,VSM.Resolve,6642432,1
3,9535,7776.3425769,1,VSM.ResolveTrace,6503680,1
3,9535,7776.3425769,1,VSM.FilterHorizontal,65536,1
3,9535,7776.3425769,1,VSM.FilterVertical,0,0
3,9535,7776.3425769,1,VSM.FilterTemporalVertical,72192,1
4,9536,7776.3586427,1,VSM.PageOccupancy,59392,1
4,9536,7776.3586427,1,VSM.LayoutRemap,0,1
4,9536,7776.3586427,1,VSM.ResetFeedback,0,1
4,9536,7776.3586427,1,VSM.MarkReceiverPages,1012224,1
4,9536,7776.3586427,1,VSM.Allocate,230144,1
4,9536,7776.3586427,1,VSM.InvalidateStatic,0,0
4,9536,7776.3586427,1,VSM.ClearPhysicalPages,89856,1
4,9536,7776.3586427,1,VSM.StaticCasterCull,68864,1
4,9536,7776.3586427,1,VSM.DynamicCasterCull,0,1
4,9536,7776.3586427,1,VSM.PageCull,49664,1
4,9536,7776.3586427,1,VSM.StaticRaster,7168,1
4,9536,7776.3586427,1,VSM.FinalizePages,1792,1
4,9536,7776.3586427,1,VSM.DynamicRaster,13312,1
4,9536,7776.3586427,1,VSM.UnityCompatibilityRaster,0,0
