observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,10111,7788.9091954,1,VSM.PageOccupancy,62208,1
0,10111,7788.9091954,1,VSM.LayoutRemap,0,1
0,10111,7788.9091954,1,VSM.ResetFeedback,0,1
0,10111,7788.9091954,1,VSM.MarkReceiverPages,1024000,1
0,10111,7788.9091954,1,VSM.Allocate,228352,1
0,10111,7788.9091954,1,VSM.InvalidateStatic,0,0
0,10111,7788.9091954,1,VSM.ClearPhysicalPages,91392,1
0,10111,7788.9091954,1,VSM.StaticCasterCull,67840,1
0,10111,7788.9091954,1,VSM.DynamicCasterCull,0,1
0,10111,7788.9091954,1,VSM.PageCull,49408,1
0,10111,7788.9091954,1,VSM.StaticRaster,3328,1
0,10111,7788.9091954,1,VSM.FinalizePages,2304,1
0,10111,7788.9091954,1,VSM.DynamicRaster,13568,1
0,10111,7788.9091954,1,VSM.UnityCompatibilityRaster,0,0
0,10111,7788.9091954,1,VSM.Resolve,6787328,1
0,10111,7788.9091954,1,VSM.ResolveTrace,6558976,1
0,10111,7788.9091954,1,VSM.FilterHorizontal,67584,1
0,10111,7788.9091954,1,VSM.FilterVertical,0,0
0,10111,7788.9091954,1,VSM.FilterTemporalVertical,159488,1
1,10112,7788.9375562,1,VSM.PageOccupancy,59648,1
1,10112,7788.9375562,1,VSM.LayoutRemap,0,1
1,10112,7788.9375562,1,VSM.ResetFeedback,0,1
1,10112,7788.9375562,1,VSM.MarkReceiverPages,683264,1
1,10112,7788.9375562,1,VSM.Allocate,223232,1
1,10112,7788.9375562,1,VSM.InvalidateStatic,0,0
1,10112,7788.9375562,1,VSM.ClearPhysicalPages,90880,1
1,10112,7788.9375562,1,VSM.StaticCasterCull,69888,1
1,10112,7788.9375562,1,VSM.DynamicCasterCull,0,1
1,10112,7788.9375562,1,VSM.PageCull,51456,1
1,10112,7788.9375562,1,VSM.StaticRaster,7424,1
1,10112,7788.9375562,1,VSM.FinalizePages,1792,1
1,10112,7788.9375562,1,VSM.DynamicRaster,12800,1
1,10112,7788.9375562,1,VSM.UnityCompatibilityRaster,0,0
1,10112,7788.9375562,1,VSM.Resolve,6789120,1
1,10112,7788.9375562,1,VSM.ResolveTrace,6565376,1
1,10112,7788.9375562,1,VSM.FilterHorizontal,64256,1
1,10112,7788.9375562,1,VSM.FilterVertical,0,0
1,10112,7788.9375562,1,VSM.FilterTemporalVertical,157952,1
2,10113,7788.9539968,1,VSM.PageOccupancy,59904,1
2,10113,7788.9539968,1,VSM.LayoutRemap,0,1
2,10113,7788.9539968,1,VSM.ResetFeedback,0,1
