observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,9725,7780.7454625,1,VSM.PageOccupancy,62464,1
0,9725,7780.7454625,1,VSM.LayoutRemap,0,1
0,9725,7780.7454625,1,VSM.ResetFeedback,0,1
0,9725,7780.7454625,1,VSM.MarkReceiverPages,684032,1
0,9725,7780.7454625,1,VSM.Allocate,223744,1
0,9725,7780.7454625,1,VSM.InvalidateStatic,0,0
0,9725,7780.7454625,1,VSM.ClearPhysicalPages,286976,1
0,9725,7780.7454625,1,VSM.StaticCasterCull,71680,1
0,9725,7780.7454625,1,VSM.DynamicCasterCull,0,1
0,9725,7780.7454625,1,VSM.PageCull,48128,1
0,9725,7780.7454625,1,VSM.StaticRaster,7424,1
0,9725,7780.7454625,1,VSM.FinalizePages,2304,1
0,9725,7780.7454625,1,VSM.DynamicRaster,13056,1
0,9725,7780.7454625,1,VSM.UnityCompatibilityRaster,0,0
0,9725,7780.7454625,1,VSM.Resolve,6999040,1
0,9725,7780.7454625,1,VSM.ResolveTrace,6768640,1
0,9725,7780.7454625,1,VSM.FilterHorizontal,67584,1
0,9725,7780.7454625,1,VSM.FilterVertical,0,0
0,9725,7780.7454625,1,VSM.FilterTemporalVertical,161280,1
1,9726,7780.7727227,1,VSM.PageOccupancy,62464,1
1,9726,7780.7727227,1,VSM.LayoutRemap,0,1
1,9726,7780.7727227,1,VSM.ResetFeedback,0,1
1,9726,7780.7727227,1,VSM.MarkReceiverPages,686336,1
1,9726,7780.7727227,1,VSM.Allocate,221696,1
1,9726,7780.7727227,1,VSM.InvalidateStatic,0,0
1,9726,7780.7727227,1,VSM.ClearPhysicalPages,90624,1
1,9726,7780.7727227,1,VSM.StaticCasterCull,66560,1
1,9726,7780.7727227,1,VSM.DynamicCasterCull,0,1
1,9726,7780.7727227,1,VSM.PageCull,47872,1
1,9726,7780.7727227,1,VSM.StaticRaster,7168,1
1,9726,7780.7727227,1,VSM.FinalizePages,1792,1
1,9726,7780.7727227,1,VSM.DynamicRaster,14080,1
1,9726,7780.7727227,1,VSM.UnityCompatibilityRaster,0,0
1,9726,7780.7727227,1,VSM.Resolve,6714880,1
1,9726,7780.7727227,1,VSM.ResolveTrace,6490880,1
1,9726,7780.7727227,1,VSM.FilterHorizontal,64768,1
1,9726,7780.7727227,1,VSM.FilterVertical,0,0
1,9726,7780.7727227,1,VSM.FilterTemporalVertical,157696,1
2,9727,7780.7894253999993,1,VSM.PageOccupancy,59904,1
2,9727,7780.7894253999993,1,VSM.LayoutRemap,0,1
2,9727,7780.7894253999993,1,VSM.ResetFeedback,0,1
2,9727,7780.7894253999993,1,VSM.MarkReceiverPages,688640,1
2,9727,7780.7894253999993,1,VSM.Allocate,226048,1
2,9727,7780.7894253999993,1,VSM.InvalidateStatic,0,0
2,9727,7780.7894253999993,1,VSM.ClearPhysicalPages,398080,1
2,9727,7780.7894253999993,1,VSM.StaticCasterCull,75520,1
2,9727,7780.7894253999993,1,VSM.DynamicCasterCull,0,1
2,9727,7780.7894253999993,1,VSM.PageCull,51200,1
2,9727,7780.7894253999993,1,VSM.StaticRaster,7168,1
2,9727,7780.7894253999993,1,VSM.FinalizePages,2048,1
2,9727,7780.7894253999993,1,VSM.DynamicRaster,12544,1
2,9727,7780.7894253999993,1,VSM.UnityCompatibilityRaster,0,0
2,9727,7780.7894253999993,1,VSM.Resolve,7171072,1
2,9727,7780.7894253999993,1,VSM.ResolveTrace,6948096,1
2,9727,7780.7894253999993,1,VSM.FilterHorizontal,64512,1
2,9727,7780.7894253999993,1,VSM.FilterVertical,0,0
2,9727,7780.7894253999993,1,VSM.FilterTemporalVertical,157440,1
3,9728,7780.8062839999993,1,VSM.PageOccupancy,56576,1
3,9728,7780.8062839999993,1,VSM.LayoutRemap,2560,1
3,9728,7780.8062839999993,1,VSM.ResetFeedback,2048,1
3,9728,7780.8062839999993,1,VSM.MarkReceiverPages,873472,1
3,9728,7780.8062839999993,1,VSM.Allocate,1934848,1
3,9728,7780.8062839999993,1,VSM.InvalidateStatic,2048,1
3,9728,7780.8062839999993,1,VSM.ClearPhysicalPages,173568,1
3,9728,7780.8062839999993,1,VSM.StaticCasterCull,59648,1
3,9728,7780.8062839999993,1,VSM.DynamicCasterCull,0,1
3,9728,7780.8062839999993,1,VSM.PageCull,40192,1
3,9728,7780.8062839999993,1,VSM.StaticRaster,8049152,1
3,9728,7780.8062839999993,1,VSM.FinalizePages,2048,1
3,9728,7780.8062839999993,1,VSM.DynamicRaster,14848,1
3,9728,7780.8062839999993,1,VSM.UnityCompatibilityRaster,0,0
3,9728,7780.8062839999993,1,VSM.Resolve,6841600,1
3,9728,7780.8062839999993,1,VSM.ResolveTrace,6704128,1
3,9728,7780.8062839999993,1,VSM.FilterHorizontal,64512,1
3,9728,7780.8062839999993,1,VSM.FilterVertical,0,0
3,9728,7780.8062839999993,1,VSM.FilterTemporalVertical,71936,1
4,9729,7780.8226365,1,VSM.PageOccupancy,59136,1
4,9729,7780.8226365,1,VSM.LayoutRemap,256,1
4,9729,7780.8226365,1,VSM.ResetFeedback,0,1
4,9729,7780.8226365,1,VSM.MarkReceiverPages,679168,1
4,9729,7780.8226365,1,VSM.Allocate,226304,1
4,9729,7780.8226365,1,VSM.InvalidateStatic,0,0
4,9729,7780.8226365,1,VSM.ClearPhysicalPages,89856,1
4,9729,7780.8226365,1,VSM.StaticCasterCull,68352,1
4,9729,7780.8226365,1,VSM.DynamicCasterCull,0,1
4,9729,7780.8226365,1,VSM.PageCull,49408,1
4,9729,7780.8226365,1,VSM.StaticRaster,6912,1
4,9729,7780.8226365,1,VSM.FinalizePages,1792,1
4,9729,7780.8226365,1,VSM.DynamicRaster,14848,1
4,9729,7780.8226365,1,VSM.UnityCompatibilityRaster,0,0
4,9729,7780.8226365,1,VSM.Resolve,7063552,1
4,9729,7780.8226365,1,VSM.ResolveTrace,6839040,1
4,9729,7780.8226365,1,VSM.FilterHorizontal,65536,1
4,9729,7780.8226365,1,VSM.FilterVertical,0,0
4,9729,7780.8226365,1,VSM.FilterTemporalVertical,157696,1
5,9730,7780.8401331,1,VSM.PageOccupancy,62976,1
5,9730,7780.8401331,1,VSM.LayoutRemap,0,1
5,9730,7780.8401331,1,VSM.ResetFeedback,0,1
5,9730,7780.8401331,1,VSM.MarkReceiverPages,681472,1
5,9730,7780.8401331,1,VSM.Allocate,224000,1
5,9730,7780.8401331,1,VSM.InvalidateStatic,0,0
5,9730,7780.8401331,1,VSM.ClearPhysicalPages,350976,1
5,9730,7780.8401331,1,VSM.StaticCasterCull,71424,1
5,9730,7780.8401331,1,VSM.DynamicCasterCull,0,1
5,9730,7780.8401331,1,VSM.PageCull,50432,1
5,9730,7780.8401331,1,VSM.StaticRaster,7424,1
5,9730,7780.8401331,1,VSM.FinalizePages,1536,1
5,9730,7780.8401331,1,VSM.DynamicRaster,13824,1
5,9730,7780.8401331,1,VSM.UnityCompatibilityRaster,0,0
5,9730,7780.8401331,1,VSM.Resolve,7286528,1
5,9730,7780.8401331,1,VSM.ResolveTrace,6875648,1
5,9730,7780.8401331,1,VSM.FilterHorizontal,65792,1
5,9730,7780.8401331,1,VSM.FilterVertical,0,0
5,9730,7780.8401331,1,VSM.FilterTemporalVertical,155392,1
6,9731,7780.8566349999992,1,VSM.PageOccupancy,59648,1
6,9731,7780.8566349999992,1,VSM.LayoutRemap,0,1
6,9731,7780.8566349999992,1,VSM.ResetFeedback,0,1
6,9731,7780.8566349999992,1,VSM.MarkReceiverPages,678912,1
6,9731,7780.8566349999992,1,VSM.Allocate,224000,1
6,9731,7780.8566349999992,1,VSM.InvalidateStatic,0,0
6,9731,7780.8566349999992,1,VSM.ClearPhysicalPages,386560,1
6,9731,7780.8566349999992,1,VSM.StaticCasterCull,69888,1
6,9731,7780.8566349999992,1,VSM.DynamicCasterCull,0,1
6,9731,7780.8566349999992,1,VSM.PageCull,50432,1
6,9731,7780.8566349999992,1,VSM.StaticRaster,8960,1
6,9731,7780.8566349999992,1,VSM.FinalizePages,1536,1
6,9731,7780.8566349999992,1,VSM.DynamicRaster,13824,1
6,9731,7780.8566349999992,1,VSM.UnityCompatibilityRaster,0,0
6,9731,7780.8566349999992,1,VSM.Resolve,6685696,1
6,9731,7780.8566349999992,1,VSM.ResolveTrace,6460160,1
6,9731,7780.8566349999992,1,VSM.FilterHorizontal,66560,1
6,9731,7780.8566349999992,1,VSM.FilterVertical,0,0
6,9731,7780.8566349999992,1,VSM.FilterTemporalVertical,157696,1
7,9732,7780.8733490999994,1,VSM.PageOccupancy,58368,1
7,9732,7780.8733490999994,1,VSM.LayoutRemap,0,1
7,9732,7780.8733490999994,1,VSM.ResetFeedback,0,1
7,9732,7780.8733490999994,1,VSM.MarkReceiverPages,679680,1
7,9732,7780.8733490999994,1,VSM.Allocate,224512,1
7,9732,7780.8733490999994,1,VSM.InvalidateStatic,0,0
7,9732,7780.8733490999994,1,VSM.ClearPhysicalPages,624128,1
7,9732,7780.8733490999994,1,VSM.StaticCasterCull,68096,1
7,9732,7780.8733490999994,1,VSM.DynamicCasterCull,0,1
7,9732,7780.8733490999994,1,VSM.PageCull,47104,1
7,9732,7780.8733490999994,1,VSM.StaticRaster,7168,1
7,9732,7780.8733490999994,1,VSM.FinalizePages,2560,1
7,9732,7780.8733490999994,1,VSM.DynamicRaster,13568,1
7,9732,7780.8733490999994,1,VSM.UnityCompatibilityRaster,0,0
7,9732,7780.8733490999994,1,VSM.Resolve,6807808,1
7,9732,7780.8733490999994,1,VSM.ResolveTrace,6581248,1
7,9732,7780.8733490999994,1,VSM.FilterHorizontal,66560,1
7,9732,7780.8733490999994,1,VSM.FilterVertical,0,0
7,9732,7780.8733490999994,1,VSM.FilterTemporalVertical,158720,1
8,9733,7780.8897838999992,1,VSM.PageOccupancy,61184,1
8,9733,7780.8897838999992,1,VSM.LayoutRemap,0,1
8,9733,7780.8897838999992,1,VSM.ResetFeedback,0,1
8,9733,7780.8897838999992,1,VSM.MarkReceiverPages,962816,1
8,9733,7780.8897838999992,1,VSM.Allocate,226048,1
8,9733,7780.8897838999992,1,VSM.InvalidateStatic,0,0
8,9733,7780.8897838999992,1,VSM.ClearPhysicalPages,90624,1
8,9733,7780.8897838999992,1,VSM.StaticCasterCull,65024,1
8,9733,7780.8897838999992,1,VSM.DynamicCasterCull,0,1
8,9733,7780.8897838999992,1,VSM.PageCull,46080,1
8,9733,7780.8897838999992,1,VSM.StaticRaster,7168,1
8,9733,7780.8897838999992,1,VSM.FinalizePages,1792,1
8,9733,7780.8897838999992,1,VSM.DynamicRaster,12288,1
8,9733,7780.8897838999992,1,VSM.UnityCompatibilityRaster,0,0
8,9733,7780.8897838999992,1,VSM.Resolve,6404096,1
8,9733,7780.8897838999992,1,VSM.ResolveTrace,6177280,1
8,9733,7780.8897838999992,1,VSM.FilterHorizontal,67584,1
8,9733,7780.8897838999992,1,VSM.FilterVertical,0,0
8,9733,7780.8897838999992,1,VSM.FilterTemporalVertical,157696,1
9,9734,7780.9179789,1,VSM.PageOccupancy,58880,1
9,9734,7780.9179789,1,VSM.LayoutRemap,0,1
9,9734,7780.9179789,1,VSM.ResetFeedback,0,1
9,9734,7780.9179789,1,VSM.MarkReceiverPages,681472,1
9,9734,7780.9179789,1,VSM.Allocate,224256,1
9,9734,7780.9179789,1,VSM.InvalidateStatic,0,0
9,9734,7780.9179789,1,VSM.ClearPhysicalPages,90624,1
9,9734,7780.9179789,1,VSM.StaticCasterCull,66560,1
9,9734,7780.9179789,1,VSM.DynamicCasterCull,0,1
9,9734,7780.9179789,1,VSM.PageCull,47360,1
9,9734,7780.9179789,1,VSM.StaticRaster,8192,1
9,9734,7780.9179789,1,VSM.FinalizePages,2304,1
9,9734,7780.9179789,1,VSM.DynamicRaster,12544,1
9,9734,7780.9179789,1,VSM.UnityCompatibilityRaster,0,0
9,9734,7780.9179789,1,VSM.Resolve,7064832,1
9,9734,7780.9179789,1,VSM.ResolveTrace,6842368,1
9,9734,7780.9179789,1,VSM.FilterHorizontal,65024,1
9,9734,7780.9179789,1,VSM.FilterVertical,0,0
9,9734,7780.9179789,1,VSM.FilterTemporalVertical,156416,1
10,9735,7780.9345127999995,1,VSM.PageOccupancy,62208,1
10,9735,7780.9345127999995,1,VSM.LayoutRemap,0,1
10,9735,7780.9345127999995,1,VSM.ResetFeedback,0,1
10,9735,7780.9345127999995,1,VSM.MarkReceiverPages,681216,1
10,9735,7780.9345127999995,1,VSM.Allocate,226048,1
10,9735,7780.9345127999995,1,VSM.InvalidateStatic,0,0
10,9735,7780.9345127999995,1,VSM.ClearPhysicalPages,91136,1
10,9735,7780.9345127999995,1,VSM.StaticCasterCull,68352,1
10,9735,7780.9345127999995,1,VSM.DynamicCasterCull,0,1
10,9735,7780.9345127999995,1,VSM.PageCull,48896,1
10,9735,7780.9345127999995,1,VSM.StaticRaster,7168,1
10,9735,7780.9345127999995,1,VSM.FinalizePages,2048,1
10,9735,7780.9345127999995,1,VSM.DynamicRaster,12544,1
10,9735,7780.9345127999995,1,VSM.UnityCompatibilityRaster,0,0
10,9735,7780.9345127999995,1,VSM.Resolve,6799872,1
10,9735,7780.9345127999995,1,VSM.ResolveTrace,6573312,1
10,9735,7780.9345127999995,1,VSM.FilterHorizontal,67072,1
10,9735,7780.9345127999995,1,VSM.FilterVertical,0,0
10,9735,7780.9345127999995,1,VSM.FilterTemporalVertical,158464,1
11,9736,7780.9515267,1,VSM.PageOccupancy,54272,1
11,9736,7780.9515267,1,VSM.LayoutRemap,2560,1
11,9736,7780.9515267,1,VSM.ResetFeedback,2048,1
11,9736,7780.9515267,1,VSM.MarkReceiverPages,1122560,1
11,9736,7780.9515267,1,VSM.Allocate,1955584,1
11,9736,7780.9515267,1,VSM.InvalidateStatic,2048,1
11,9736,7780.9515267,1,VSM.ClearPhysicalPages,174592,1
11,9736,7780.9515267,1,VSM.StaticCasterCull,56832,1
11,9736,7780.9515267,1,VSM.DynamicCasterCull,0,1
11,9736,7780.9515267,1,VSM.PageCull,37376,1
11,9736,7780.9515267,1,VSM.StaticRaster,7897856,1
11,9736,7780.9515267,1,VSM.FinalizePages,2304,1
11,9736,7780.9515267,1,VSM.DynamicRaster,14592,1
11,9736,7780.9515267,1,VSM.UnityCompatibilityRaster,0,0
11,9736,7780.9515267,1,VSM.Resolve,7160576,1
11,9736,7780.9515267,1,VSM.ResolveTrace,7022080,1
11,9736,7780.9515267,1,VSM.FilterHorizontal,64768,1
11,9736,7780.9515267,1,VSM.FilterVertical,0,0
11,9736,7780.9515267,1,VSM.FilterTemporalVertical,72960,1
12,9737,7780.9696216999992,1,VSM.PageOccupancy,60672,1
12,9737,7780.9696216999992,1,VSM.LayoutRemap,0,1
12,9737,7780.9696216999992,1,VSM.ResetFeedback,0,1
12,9737,7780.9696216999992,1,VSM.MarkReceiverPages,684544,1
12,9737,7780.9696216999992,1,VSM.Allocate,222976,1
12,9737,7780.9696216999992,1,VSM.InvalidateStatic,0,0
12,9737,7780.9696216999992,1,VSM.ClearPhysicalPages,90880,1
12,9737,7780.9696216999992,1,VSM.StaticCasterCull,66816,1
12,9737,7780.9696216999992,1,VSM.DynamicCasterCull,0,1
12,9737,7780.9696216999992,1,VSM.PageCull,48128,1
12,9737,7780.9696216999992,1,VSM.StaticRaster,7424,1
12,9737,7780.9696216999992,1,VSM.FinalizePages,2048,1
12,9737,7780.9696216999992,1,VSM.DynamicRaster,12032,1
12,9737,7780.9696216999992,1,VSM.UnityCompatibilityRaster,0,0
12,9737,7780.9696216999992,1,VSM.Resolve,6964736,1
12,9737,7780.9696216999992,1,VSM.ResolveTrace,6739712,1
12,9737,7780.9696216999992,1,VSM.FilterHorizontal,65024,1
12,9737,7780.9696216999992,1,VSM.FilterVertical,0,0
12,9737,7780.9696216999992,1,VSM.FilterTemporalVertical,158720,1
13,9738,7780.9871963999994,1,VSM.PageOccupancy,59648,1
13,9738,7780.9871963999994,1,VSM.LayoutRemap,0,1
13,9738,7780.9871963999994,1,VSM.ResetFeedback,0,1
13,9738,7780.9871963999994,1,VSM.MarkReceiverPages,687104,1
13,9738,7780.9871963999994,1,VSM.Allocate,223488,1
13,9738,7780.9871963999994,1,VSM.InvalidateStatic,0,0
13,9738,7780.9871963999994,1,VSM.ClearPhysicalPages,356864,1
13,9738,7780.9871963999994,1,VSM.StaticCasterCull,67072,1
13,9738,7780.9871963999994,1,VSM.DynamicCasterCull,0,1
13,9738,7780.9871963999994,1,VSM.PageCull,47872,1
13,9738,7780.9871963999994,1,VSM.StaticRaster,3584,1
13,9738,7780.9871963999994,1,VSM.FinalizePages,1792,1
13,9738,7780.9871963999994,1,VSM.DynamicRaster,12544,1
13,9738,7780.9871963999994,1,VSM.UnityCompatibilityRaster,0,0
13,9738,7780.9871963999994,1,VSM.Resolve,7441664,1
13,9738,7780.9871963999994,1,VSM.ResolveTrace,7216384,1
13,9738,7780.9871963999994,1,VSM.FilterHorizontal,65024,1
13,9738,7780.9871963999994,1,VSM.FilterVertical,0,0
13,9738,7780.9871963999994,1,VSM.FilterTemporalVertical,159232,1
14,9739,7781.0045404999992,1,VSM.PageOccupancy,62976,1
14,9739,7781.0045404999992,1,VSM.LayoutRemap,0,1
14,9739,7781.0045404999992,1,VSM.ResetFeedback,0,1
14,9739,7781.0045404999992,1,VSM.MarkReceiverPages,683776,1
14,9739,7781.0045404999992,1,VSM.Allocate,222208,1
14,9739,7781.0045404999992,1,VSM.InvalidateStatic,0,0
14,9739,7781.0045404999992,1,VSM.ClearPhysicalPages,280576,1
14,9739,7781.0045404999992,1,VSM.StaticCasterCull,72960,1
14,9739,7781.0045404999992,1,VSM.DynamicCasterCull,0,1
14,9739,7781.0045404999992,1,VSM.PageCull,48896,1
14,9739,7781.0045404999992,1,VSM.StaticRaster,3072,1
14,9739,7781.0045404999992,1,VSM.FinalizePages,1536,1
14,9739,7781.0045404999992,1,VSM.DynamicRaster,13312,1
14,9739,7781.0045404999992,1,VSM.UnityCompatibilityRaster,0,0
14,9739,7781.0045404999992,1,VSM.Resolve,7215104,1
14,9739,7781.0045404999992,1,VSM.ResolveTrace,6765568,1
14,9739,7781.0045404999992,1,VSM.FilterHorizontal,64000,1
14,9739,7781.0045404999992,1,VSM.FilterVertical,0,0
14,9739,7781.0045404999992,1,VSM.FilterTemporalVertical,384000,1
15,9740,7781.0213575,1,VSM.PageOccupancy,60672,1
15,9740,7781.0213575,1,VSM.LayoutRemap,0,1
15,9740,7781.0213575,1,VSM.ResetFeedback,0,1
15,9740,7781.0213575,1,VSM.MarkReceiverPages,682496,1
15,9740,7781.0213575,1,VSM.Allocate,221696,1
15,9740,7781.0213575,1,VSM.InvalidateStatic,0,0
15,9740,7781.0213575,1,VSM.ClearPhysicalPages,89600,1
15,9740,7781.0213575,1,VSM.StaticCasterCull,68352,1
15,9740,7781.0213575,1,VSM.DynamicCasterCull,0,1
15,9740,7781.0213575,1,VSM.PageCull,49664,1
15,9740,7781.0213575,1,VSM.StaticRaster,7424,1
15,9740,7781.0213575,1,VSM.FinalizePages,1792,1
15,9740,7781.0213575,1,VSM.DynamicRaster,12544,1
15,9740,7781.0213575,1,VSM.UnityCompatibilityRaster,0,0
15,9740,7781.0213575,1,VSM.Resolve,6777344,1
15,9740,7781.0213575,1,VSM.ResolveTrace,6557184,1
15,9740,7781.0213575,1,VSM.FilterHorizontal,63488,1
15,9740,7781.0213575,1,VSM.FilterVertical,0,0
15,9740,7781.0213575,1,VSM.FilterTemporalVertical,155648,1
16,9741,7781.0382334,1,VSM.PageOccupancy,60160,1
16,9741,7781.0382334,1,VSM.LayoutRemap,0,1
16,9741,7781.0382334,1,VSM.ResetFeedback,0,1
16,9741,7781.0382334,1,VSM.MarkReceiverPages,685568,1
16,9741,7781.0382334,1,VSM.Allocate,221184,1
16,9741,7781.0382334,1,VSM.InvalidateStatic,0,0
16,9741,7781.0382334,1,VSM.ClearPhysicalPages,89856,1
16,9741,7781.0382334,1,VSM.StaticCasterCull,70144,1
16,9741,7781.0382334,1,VSM.DynamicCasterCull,0,1
16,9741,7781.0382334,1,VSM.PageCull,50944,1
16,9741,7781.0382334,1,VSM.StaticRaster,3328,1
16,9741,7781.0382334,1,VSM.FinalizePages,1536,1
16,9741,7781.0382334,1,VSM.DynamicRaster,15616,1
16,9741,7781.0382334,1,VSM.UnityCompatibilityRaster,0,0
16,9741,7781.0382334,1,VSM.Resolve,6675456,1
16,9741,7781.0382334,1,VSM.ResolveTrace,6452480,1
16,9741,7781.0382334,1,VSM.FilterHorizontal,64256,1
16,9741,7781.0382334,1,VSM.FilterVertical,0,0
16,9741,7781.0382334,1,VSM.FilterTemporalVertical,157696,1
17,9742,7781.0554245999992,1,VSM.PageOccupancy,60672,1
17,9742,7781.0554245999992,1,VSM.LayoutRemap,0,1
17,9742,7781.0554245999992,1,VSM.ResetFeedback,0,1
17,9742,7781.0554245999992,1,VSM.MarkReceiverPages,684544,1
17,9742,7781.0554245999992,1,VSM.Allocate,224256,1
17,9742,7781.0554245999992,1,VSM.InvalidateStatic,0,0
17,9742,7781.0554245999992,1,VSM.ClearPhysicalPages,90880,1
17,9742,7781.0554245999992,1,VSM.StaticCasterCull,68352,1
17,9742,7781.0554245999992,1,VSM.DynamicCasterCull,0,1
17,9742,7781.0554245999992,1,VSM.PageCull,50176,1
17,9742,7781.0554245999992,1,VSM.StaticRaster,3328,1
17,9742,7781.0554245999992,1,VSM.FinalizePages,1792,1
17,9742,7781.0554245999992,1,VSM.DynamicRaster,13312,1
17,9742,7781.0554245999992,1,VSM.UnityCompatibilityRaster,0,0
17,9742,7781.0554245999992,1,VSM.Resolve,6732288,1
17,9742,7781.0554245999992,1,VSM.ResolveTrace,6507520,1
17,9742,7781.0554245999992,1,VSM.FilterHorizontal,65792,1
