observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,9918,7784.8217396,1,VSM.PageOccupancy,58368,1
0,9918,7784.8217396,1,VSM.LayoutRemap,0,1
0,9918,7784.8217396,1,VSM.ResetFeedback,0,1
0,9918,7784.8217396,1,VSM.MarkReceiverPages,685312,1
0,9918,7784.8217396,1,VSM.Allocate,221440,1
0,9918,7784.8217396,1,VSM.InvalidateStatic,0,0
0,9918,7784.8217396,1,VSM.ClearPhysicalPages,90112,1
0,9918,7784.8217396,1,VSM.StaticCasterCull,66816,1
0,9918,7784.8217396,1,VSM.DynamicCasterCull,0,1
0,9918,7784.8217396,1,VSM.PageCull,48128,1
0,9918,7784.8217396,1,VSM.StaticRaster,3584,1
0,9918,7784.8217396,1,VSM.FinalizePages,2304,1
0,9918,7784.8217396,1,VSM.DynamicRaster,11776,1
0,9918,7784.8217396,1,VSM.UnityCompatibilityRaster,0,0
0,9918,7784.8217396,1,VSM.Resolve,6822144,1
0,9918,7784.8217396,1,VSM.ResolveTrace,6601728,1
0,9918,7784.8217396,1,VSM.FilterHorizontal,64000,1
0,9918,7784.8217396,1,VSM.FilterVertical,0,0
0,9918,7784.8217396,1,VSM.FilterTemporalVertical,155392,1
1,9919,7784.8511634,1,VSM.PageOccupancy,59136,1
1,9919,7784.8511634,1,VSM.LayoutRemap,0,1
1,9919,7784.8511634,1,VSM.ResetFeedback,0,1
1,9919,7784.8511634,1,VSM.MarkReceiverPages,683264,1
1,9919,7784.8511634,1,VSM.Allocate,221184,1
1,9919,7784.8511634,1,VSM.InvalidateStatic,0,0
1,9919,7784.8511634,1,VSM.ClearPhysicalPages,259072,1
1,9919,7784.8511634,1,VSM.StaticCasterCull,75776,1
1,9919,7784.8511634,1,VSM.DynamicCasterCull,0,1
1,9919,7784.8511634,1,VSM.PageCull,49152,1
1,9919,7784.8511634,1,VSM.StaticRaster,7168,1
1,9919,7784.8511634,1,VSM.FinalizePages,2304,1
1,9919,7784.8511634,1,VSM.DynamicRaster,14592,1
1,9919,7784.8511634,1,VSM.UnityCompatibilityRaster,0,0
1,9919,7784.8511634,1,VSM.Resolve,7010048,1
1,9919,7784.8511634,1,VSM.ResolveTrace,6786048,1
1,9919,7784.8511634,1,VSM.FilterHorizontal,64768,1
1,9919,7784.8511634,1,VSM.FilterVertical,0,0
1,9919,7784.8511634,1,VSM.FilterTemporalVertical,157952,1
2,9920,7784.8706882,1,VSM.PageOccupancy,62720,1
2,9920,7784.8706882,1,VSM.LayoutRemap,0,1
2,9920,7784.8706882,1,VSM.ResetFeedback,0,1
2,9920,7784.8706882,1,VSM.MarkReceiverPages,1023488,1
2,9920,7784.8706882,1,VSM.Allocate,227328,1
2,9920,7784.8706882,1,VSM.InvalidateStatic,0,0
2,9920,7784.8706882,1,VSM.ClearPhysicalPages,90112,1
2,9920,7784.8706882,1,VSM.StaticCasterCull,68352,1
2,9920,7784.8706882,1,VSM.DynamicCasterCull,0,1
2,9920,7784.8706882,1,VSM.PageCull,49664,1
2,9920,7784.8706882,1,VSM.StaticRaster,7168,1
2,9920,7784.8706882,1,VSM.FinalizePages,2048,1
2,9920,7784.8706882,1,VSM.DynamicRaster,14080,1
2,9920,7784.8706882,1,VSM.UnityCompatibilityRaster,0,0
2,9920,7784.8706882,1,VSM.Resolve,6734336,1
2,9920,7784.8706882,1,VSM.ResolveTrace,6299648,1
2,9920,7784.8706882,1,VSM.FilterHorizontal,64000,1
2,9920,7784.8706882,1,VSM.FilterVertical,0,0
2,9920,7784.8706882,1,VSM.FilterTemporalVertical,369408,1
3,9921,7784.8887897999994,1,VSM.PageOccupancy,55296,1
3,9921,7784.8887897999994,1,VSM.LayoutRemap,2816,1
3,9921,7784.8887897999994,1,VSM.ResetFeedback,1792,1
3,9921,7784.8887897999994,1,VSM.MarkReceiverPages,681216,1
3,9921,7784.8887897999994,1,VSM.Allocate,1957888,1
3,9921,7784.8887897999994,1,VSM.InvalidateStatic,1792,1
3,9921,7784.8887897999994,1,VSM.ClearPhysicalPages,175104,1
3,9921,7784.8887897999994,1,VSM.StaticCasterCull,56320,1
3,9921,7784.8887897999994,1,VSM.DynamicCasterCull,0,1
3,9921,7784.8887897999994,1,VSM.PageCull,37376,1
3,9921,7784.8887897999994,1,VSM.StaticRaster,8073472,1
3,9921,7784.8887897999994,1,VSM.FinalizePages,2816,1
3,9921,7784.8887897999994,1,VSM.DynamicRaster,3840,1
3,9921,7784.8887897999994,1,VSM.UnityCompatibilityRaster,0,0
3,9921,7784.8887897999994,1,VSM.Resolve,7183360,1
3,9921,7784.8887897999994,1,VSM.ResolveTrace,7044352,1
3,9921,7784.8887897999994,1,VSM.FilterHorizontal,65280,1
3,9921,7784.8887897999994,1,VSM.FilterVertical,0,0
3,9921,7784.8887897999994,1,VSM.FilterTemporalVertical,72448,1
4,9922,7784.9075213999995,1,VSM.PageOccupancy,59648,1
4,9922,7784.9075213999995,1,VSM.LayoutRemap,0,1
4,9922,7784.9075213999995,1,VSM.ResetFeedback,0,1
4,9922,7784.9075213999995,1,VSM.MarkReceiverPages,678912,1
4,9922,7784.9075213999995,1,VSM.Allocate,225024,1
4,9922,7784.9075213999995,1,VSM.InvalidateStatic,0,0
4,9922,7784.9075213999995,1,VSM.ClearPhysicalPages,90112,1
4,9922,7784.9075213999995,1,VSM.StaticCasterCull,68608,1
4,9922,7784.9075213999995,1,VSM.DynamicCasterCull,0,1
4,9922,7784.9075213999995,1,VSM.PageCull,49920,1
4,9922,7784.9075213999995,1,VSM.StaticRaster,4096,1
4,9922,7784.9075213999995,1,VSM.FinalizePages,2048,1
4,9922,7784.9075213999995,1,VSM.DynamicRaster,13568,1
4,9922,7784.9075213999995,1,VSM.UnityCompatibilityRaster,0,0
4,9922,7784.9075213999995,1,VSM.Resolve,7291648,1
4,9922,7784.9075213999995,1,VSM.ResolveTrace,6892800,1
4,9922,7784.9075213999995,1,VSM.FilterHorizontal,65792,1
4,9922,7784.9075213999995,1,VSM.FilterVertical,0,0
4,9922,7784.9075213999995,1,VSM.FilterTemporalVertical,156160,1
5,9923,7784.9254818,1,VSM.PageOccupancy,61184,1
5,9923,7784.9254818,1,VSM.LayoutRemap,0,1
5,9923,7784.9254818,1,VSM.ResetFeedback,0,1
