observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,8760,7759.8618091,1,VSM.PageOccupancy,55296,1
0,8760,7759.8618091,1,VSM.LayoutRemap,0,1
0,8760,7759.8618091,1,VSM.ResetFeedback,0,1
0,8760,7759.8618091,1,VSM.MarkReceiverPages,991488,1
0,8760,7759.8618091,1,VSM.Allocate,228608,1
0,8760,7759.8618091,1,VSM.InvalidateStatic,0,0
0,8760,7759.8618091,1,VSM.ClearPhysicalPages,90112,1
0,8760,7759.8618091,1,VSM.StaticCasterCull,68352,1
0,8760,7759.8618091,1,VSM.DynamicCasterCull,36608,1
0,8760,7759.8618091,1,VSM.PageCull,71424,2
0,8760,7759.8618091,1,VSM.StaticRaster,6912,1
0,8760,7759.8618091,1,VSM.FinalizePages,1792,1
0,8760,7759.8618091,1,VSM.DynamicRaster,35840,1
0,8760,7759.8618091,1,VSM.UnityCompatibilityRaster,0,0
0,8760,7759.8618091,1,VSM.Resolve,6707200,1
0,8760,7759.8618091,1,VSM.ResolveTrace,6482944,1
0,8760,7759.8618091,1,VSM.FilterHorizontal,66816,1
0,8760,7759.8618091,1,VSM.FilterVertical,0,0
0,8760,7759.8618091,1,VSM.FilterTemporalVertical,156160,1
1,8761,7759.8807263,1,VSM.PageOccupancy,57088,1
1,8761,7759.8807263,1,VSM.LayoutRemap,0,1
1,8761,7759.8807263,1,VSM.ResetFeedback,0,1
1,8761,7759.8807263,1,VSM.MarkReceiverPages,680448,1
1,8761,7759.8807263,1,VSM.Allocate,223744,1
1,8761,7759.8807263,1,VSM.InvalidateStatic,0,0
1,8761,7759.8807263,1,VSM.ClearPhysicalPages,89856,1
1,8761,7759.8807263,1,VSM.StaticCasterCull,65536,1
1,8761,7759.8807263,1,VSM.DynamicCasterCull,35328,1
1,8761,7759.8807263,1,VSM.PageCull,67328,2
1,8761,7759.8807263,1,VSM.StaticRaster,7168,1
1,8761,7759.8807263,1,VSM.FinalizePages,2560,1
1,8761,7759.8807263,1,VSM.DynamicRaster,30976,1
1,8761,7759.8807263,1,VSM.UnityCompatibilityRaster,0,0
1,8761,7759.8807263,1,VSM.Resolve,6910208,1
1,8761,7759.8807263,1,VSM.ResolveTrace,6684160,1
1,8761,7759.8807263,1,VSM.FilterHorizontal,67584,1
1,8761,7759.8807263,1,VSM.FilterVertical,0,0
1,8761,7759.8807263,1,VSM.FilterTemporalVertical,157440,1
2,8762,7759.8974497,1,VSM.PageOccupancy,56832,1
2,8762,7759.8974497,1,VSM.LayoutRemap,0,1
2,8762,7759.8974497,1,VSM.ResetFeedback,0,1
2,8762,7759.8974497,1,VSM.MarkReceiverPages,683520,1
2,8762,7759.8974497,1,VSM.Allocate,224512,1
2,8762,7759.8974497,1,VSM.InvalidateStatic,0,0
2,8762,7759.8974497,1,VSM.ClearPhysicalPages,89856,1
2,8762,7759.8974497,1,VSM.StaticCasterCull,67072,1
2,8762,7759.8974497,1,VSM.DynamicCasterCull,33792,1
2,8762,7759.8974497,1,VSM.PageCull,67840,2
2,8762,7759.8974497,1,VSM.StaticRaster,7680,1
