observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,10883,7805.6968528,1,VSM.PageOccupancy,55040,1
0,10883,7805.6968528,1,VSM.LayoutRemap,256,1
0,10883,7805.6968528,1,VSM.ResetFeedback,0,1
0,10883,7805.6968528,1,VSM.MarkReceiverPages,679680,1
0,10883,7805.6968528,1,VSM.Allocate,226560,1
0,10883,7805.6968528,1,VSM.InvalidateStatic,0,0
0,10883,7805.6968528,1,VSM.ClearPhysicalPages,399872,1
0,10883,7805.6968528,1,VSM.StaticCasterCull,67584,1
0,10883,7805.6968528,1,VSM.DynamicCasterCull,35328,1
0,10883,7805.6968528,1,VSM.PageCull,68864,2
0,10883,7805.6968528,1,VSM.StaticRaster,3328,1
0,10883,7805.6968528,1,VSM.FinalizePages,1792,1
0,10883,7805.6968528,1,VSM.DynamicRaster,30720,1
0,10883,7805.6968528,1,VSM.UnityCompatibilityRaster,0,0
0,10883,7805.6968528,1,VSM.Resolve,8306688,1
0,10883,7805.6968528,1,VSM.ResolveTrace,7878400,1
0,10883,7805.6968528,1,VSM.FilterHorizontal,67840,1
0,10883,7805.6968528,1,VSM.FilterVertical,0,0
0,10883,7805.6968528,1,VSM.FilterTemporalVertical,160000,1
1,10884,7805.7143938,1,VSM.PageOccupancy,55808,1
1,10884,7805.7143938,1,VSM.LayoutRemap,0,1
1,10884,7805.7143938,1,VSM.ResetFeedback,0,1
1,10884,7805.7143938,1,VSM.MarkReceiverPages,686080,1
1,10884,7805.7143938,1,VSM.Allocate,226560,1
1,10884,7805.7143938,1,VSM.InvalidateStatic,0,0
1,10884,7805.7143938,1,VSM.ClearPhysicalPages,91136,1
1,10884,7805.7143938,1,VSM.StaticCasterCull,66048,1
1,10884,7805.7143938,1,VSM.DynamicCasterCull,35840,1
1,10884,7805.7143938,1,VSM.PageCull,68352,2
1,10884,7805.7143938,1,VSM.StaticRaster,9472,1
1,10884,7805.7143938,1,VSM.FinalizePages,2048,1
1,10884,7805.7143938,1,VSM.DynamicRaster,32512,1
1,10884,7805.7143938,1,VSM.UnityCompatibilityRaster,0,0
1,10884,7805.7143938,1,VSM.Resolve,6996224,1
1,10884,7805.7143938,1,VSM.ResolveTrace,6769664,1
1,10884,7805.7143938,1,VSM.FilterHorizontal,67328,1
1,10884,7805.7143938,1,VSM.FilterVertical,0,0
1,10884,7805.7143938,1,VSM.FilterTemporalVertical,157952,1
2,10885,7805.7317484999994,1,VSM.PageOccupancy,59648,1
2,10885,7805.7317484999994,1,VSM.LayoutRemap,0,1
2,10885,7805.7317484999994,1,VSM.ResetFeedback,0,1
2,10885,7805.7317484999994,1,VSM.MarkReceiverPages,890624,1
2,10885,7805.7317484999994,1,VSM.Allocate,227072,1
2,10885,7805.7317484999994,1,VSM.InvalidateStatic,0,0
