observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,67,8867.7699992,1,VSM.PageOccupancy,3840,1
0,67,8867.7699992,1,VSM.LayoutRemap,256,1
0,67,8867.7699992,1,VSM.ResetFeedback,0,1
0,67,8867.7699992,1,VSM.MarkReceiverPages,606720,1
0,67,8867.7699992,1,VSM.Allocate,222464,1
0,67,8867.7699992,1,VSM.InvalidateStatic,37376,1
0,67,8867.7699992,1,VSM.ClearPhysicalPages,173568,1
0,67,8867.7699992,1,VSM.StaticCasterCull,58368,1
0,67,8867.7699992,1,VSM.DynamicCasterCull,0,1
0,67,8867.7699992,1,VSM.PageCull,39424,1
0,67,8867.7699992,1,VSM.StaticRaster,8215808,1
0,67,8867.7699992,1,VSM.FinalizePages,2048,1
0,67,8867.7699992,1,VSM.DynamicRaster,4096,1
0,67,8867.7699992,1,VSM.UnityCompatibilityRaster,0,0
0,67,8867.7699992,1,VSM.Resolve,11354880,1
0,67,8867.7699992,1,VSM.ResolveTrace,11128576,1
0,67,8867.7699992,1,VSM.FilterHorizontal,67072,1
0,67,8867.7699992,1,VSM.FilterVertical,0,0
0,67,8867.7699992,1,VSM.FilterTemporalVertical,158208,1
1,68,8867.8021995,1,VSM.PageOccupancy,4864,1
1,68,8867.8021995,1,VSM.LayoutRemap,0,1
1,68,8867.8021995,1,VSM.ResetFeedback,0,1
1,68,8867.8021995,1,VSM.MarkReceiverPages,607232,1
1,68,8867.8021995,1,VSM.Allocate,222464,1
1,68,8867.8021995,1,VSM.InvalidateStatic,37376,1
1,68,8867.8021995,1,VSM.ClearPhysicalPages,486144,1
1,68,8867.8021995,1,VSM.StaticCasterCull,62976,1
1,68,8867.8021995,1,VSM.DynamicCasterCull,0,1
1,68,8867.8021995,1,VSM.PageCull,37632,1
1,68,8867.8021995,1,VSM.StaticRaster,9062400,1
1,68,8867.8021995,1,VSM.FinalizePages,2560,1
1,68,8867.8021995,1,VSM.DynamicRaster,16384,1
1,68,8867.8021995,1,VSM.UnityCompatibilityRaster,0,0
1,68,8867.8021995,1,VSM.Resolve,9598720,1
1,68,8867.8021995,1,VSM.ResolveTrace,9373952,1
1,68,8867.8021995,1,VSM.FilterHorizontal,67584,1
1,68,8867.8021995,1,VSM.FilterVertical,0,0
1,68,8867.8021995,1,VSM.FilterTemporalVertical,155648,1
2,69,8867.8345792,1,VSM.PageOccupancy,4352,1
2,69,8867.8345792,1,VSM.LayoutRemap,0,1
2,69,8867.8345792,1,VSM.ResetFeedback,0,1
2,69,8867.8345792,1,VSM.MarkReceiverPages,606976,1
2,69,8867.8345792,1,VSM.Allocate,226560,1
2,69,8867.8345792,1,VSM.InvalidateStatic,37376,1
2,69,8867.8345792,1,VSM.ClearPhysicalPages,954624,1
2,69,8867.8345792,1,VSM.StaticCasterCull,64000,1
2,69,8867.8345792,1,VSM.DynamicCasterCull,0,1
2,69,8867.8345792,1,VSM.PageCull,39424,1
2,69,8867.8345792,1,VSM.StaticRaster,8435456,1
2,69,8867.8345792,1,VSM.FinalizePages,3072,1
2,69,8867.8345792,1,VSM.DynamicRaster,9728,1
2,69,8867.8345792,1,VSM.UnityCompatibilityRaster,0,0
2,69,8867.8345792,1,VSM.Resolve,10692096,1
2,69,8867.8345792,1,VSM.ResolveTrace,10465536,1
2,69,8867.8345792,1,VSM.FilterHorizontal,66304,1
2,69,8867.8345792,1,VSM.FilterVertical,0,0
2,69,8867.8345792,1,VSM.FilterTemporalVertical,158976,1
3,70,8867.8666118,1,VSM.PageOccupancy,4608,1
3,70,8867.8666118,1,VSM.LayoutRemap,0,1
3,70,8867.8666118,1,VSM.ResetFeedback,0,1
3,70,8867.8666118,1,VSM.MarkReceiverPages,607488,1
3,70,8867.8666118,1,VSM.Allocate,225792,1
3,70,8867.8666118,1,VSM.InvalidateStatic,37376,1
3,70,8867.8666118,1,VSM.ClearPhysicalPages,359424,1
3,70,8867.8666118,1,VSM.StaticCasterCull,61952,1
3,70,8867.8666118,1,VSM.DynamicCasterCull,0,1
3,70,8867.8666118,1,VSM.PageCull,37120,1
3,70,8867.8666118,1,VSM.StaticRaster,8534016,1
3,70,8867.8666118,1,VSM.FinalizePages,4096,1
3,70,8867.8666118,1,VSM.DynamicRaster,16128,1
3,70,8867.8666118,1,VSM.UnityCompatibilityRaster,0,0
3,70,8867.8666118,1,VSM.Resolve,11169792,1
3,70,8867.8666118,1,VSM.ResolveTrace,10940160,1
3,70,8867.8666118,1,VSM.FilterHorizontal,67328,1
3,70,8867.8666118,1,VSM.FilterVertical,0,0
3,70,8867.8666118,1,VSM.FilterTemporalVertical,161280,1
4,71,8867.9095694,1,VSM.PageOccupancy,3840,1
4,71,8867.9095694,1,VSM.LayoutRemap,0,1
4,71,8867.9095694,1,VSM.ResetFeedback,0,1
4,71,8867.9095694,1,VSM.MarkReceiverPages,607232,1
4,71,8867.9095694,1,VSM.Allocate,225280,1
4,71,8867.9095694,1,VSM.InvalidateStatic,37376,1
4,71,8867.9095694,1,VSM.ClearPhysicalPages,173824,1
4,71,8867.9095694,1,VSM.StaticCasterCull,56832,1
4,71,8867.9095694,1,VSM.DynamicCasterCull,0,1
4,71,8867.9095694,1,VSM.PageCull,38656,1
4,71,8867.9095694,1,VSM.StaticRaster,8511488,1
4,71,8867.9095694,1,VSM.FinalizePages,2304,1
4,71,8867.9095694,1,VSM.DynamicRaster,4096,1
4,71,8867.9095694,1,VSM.UnityCompatibilityRaster,0,0
4,71,8867.9095694,1,VSM.Resolve,10875648,1
4,71,8867.9095694,1,VSM.ResolveTrace,10651648,1
4,71,8867.9095694,1,VSM.FilterHorizontal,66816,1
4,71,8867.9095694,1,VSM.FilterVertical,0,0
4,71,8867.9095694,1,VSM.FilterTemporalVertical,155904,1
5,72,8867.9427673000009,1,VSM.PageOccupancy,4608,1
5,72,8867.9427673000009,1,VSM.LayoutRemap,0,1
5,72,8867.9427673000009,1,VSM.ResetFeedback,0,1
5,72,8867.9427673000009,1,VSM.MarkReceiverPages,607488,1
5,72,8867.9427673000009,1,VSM.Allocate,228096,1
5,72,8867.9427673000009,1,VSM.InvalidateStatic,37888,1
