observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,643,8879.5395243,1,VSM.PageOccupancy,2304,1
0,643,8879.5395243,1,VSM.LayoutRemap,0,1
0,643,8879.5395243,1,VSM.ResetFeedback,0,1
0,643,8879.5395243,1,VSM.MarkReceiverPages,606720,1
0,643,8879.5395243,1,VSM.Allocate,225792,1
0,643,8879.5395243,1,VSM.InvalidateStatic,0,0
0,643,8879.5395243,1,VSM.ClearPhysicalPages,535808,1
0,643,8879.5395243,1,VSM.StaticCasterCull,71936,1
0,643,8879.5395243,1,VSM.DynamicCasterCull,0,1
0,643,8879.5395243,1,VSM.PageCull,47360,1
0,643,8879.5395243,1,VSM.StaticRaster,7168,1
0,643,8879.5395243,1,VSM.FinalizePages,3840,1
0,643,8879.5395243,1,VSM.DynamicRaster,12544,1
0,643,8879.5395243,1,VSM.UnityCompatibilityRaster,0,0
0,643,8879.5395243,1,VSM.Resolve,10127104,1
0,643,8879.5395243,1,VSM.ResolveTrace,9898752,1
0,643,8879.5395243,1,VSM.FilterHorizontal,67328,1
0,643,8879.5395243,1,VSM.FilterVertical,0,0
0,643,8879.5395243,1,VSM.FilterTemporalVertical,160000,1
1,644,8879.5625236,1,VSM.PageOccupancy,3328,1
1,644,8879.5625236,1,VSM.LayoutRemap,0,1
1,644,8879.5625236,1,VSM.ResetFeedback,0,1
1,644,8879.5625236,1,VSM.MarkReceiverPages,608256,1
1,644,8879.5625236,1,VSM.Allocate,228864,1
1,644,8879.5625236,1,VSM.InvalidateStatic,0,0
1,644,8879.5625236,1,VSM.ClearPhysicalPages,452864,1
1,644,8879.5625236,1,VSM.StaticCasterCull,67584,1
1,644,8879.5625236,1,VSM.DynamicCasterCull,0,1
1,644,8879.5625236,1,VSM.PageCull,47616,1
1,644,8879.5625236,1,VSM.StaticRaster,7680,1
1,644,8879.5625236,1,VSM.FinalizePages,3328,1
1,644,8879.5625236,1,VSM.DynamicRaster,11520,1
1,644,8879.5625236,1,VSM.UnityCompatibilityRaster,0,0
1,644,8879.5625236,1,VSM.Resolve,10676224,1
1,644,8879.5625236,1,VSM.ResolveTrace,10448384,1
1,644,8879.5625236,1,VSM.FilterHorizontal,67584,1
1,644,8879.5625236,1,VSM.FilterVertical,0,0
1,644,8879.5625236,1,VSM.FilterTemporalVertical,159232,1
2,645,8879.5839096,1,VSM.PageOccupancy,3328,1
2,645,8879.5839096,1,VSM.LayoutRemap,0,1
2,645,8879.5839096,1,VSM.ResetFeedback,0,1
2,645,8879.5839096,1,VSM.MarkReceiverPages,608000,1
2,645,8879.5839096,1,VSM.Allocate,224768,1
2,645,8879.5839096,1,VSM.InvalidateStatic,0,0
2,645,8879.5839096,1,VSM.ClearPhysicalPages,511744,1
2,645,8879.5839096,1,VSM.StaticCasterCull,68096,1
2,645,8879.5839096,1,VSM.DynamicCasterCull,0,1
2,645,8879.5839096,1,VSM.PageCull,47616,1
2,645,8879.5839096,1,VSM.StaticRaster,4608,1
2,645,8879.5839096,1,VSM.FinalizePages,3584,1
2,645,8879.5839096,1,VSM.DynamicRaster,11520,1
2,645,8879.5839096,1,VSM.UnityCompatibilityRaster,0,0
2,645,8879.5839096,1,VSM.Resolve,11687168,1
2,645,8879.5839096,1,VSM.ResolveTrace,10616320,1
2,645,8879.5839096,1,VSM.FilterHorizontal,68352,1
2,645,8879.5839096,1,VSM.FilterVertical,0,0
2,645,8879.5839096,1,VSM.FilterTemporalVertical,160512,1
3,646,8879.6051675,1,VSM.PageOccupancy,2560,1
3,646,8879.6051675,1,VSM.LayoutRemap,0,1
3,646,8879.6051675,1,VSM.ResetFeedback,0,1
3,646,8879.6051675,1,VSM.MarkReceiverPages,606720,1
3,646,8879.6051675,1,VSM.Allocate,225792,1
3,646,8879.6051675,1,VSM.InvalidateStatic,0,0
3,646,8879.6051675,1,VSM.ClearPhysicalPages,848640,1
3,646,8879.6051675,1,VSM.StaticCasterCull,73984,1
3,646,8879.6051675,1,VSM.DynamicCasterCull,0,1
3,646,8879.6051675,1,VSM.PageCull,49152,1
3,646,8879.6051675,1,VSM.StaticRaster,7168,1
3,646,8879.6051675,1,VSM.FinalizePages,4352,1
3,646,8879.6051675,1,VSM.DynamicRaster,13568,1
