observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,259,8872.1890346,1,VSM.PageOccupancy,60928,1
0,259,8872.1890346,1,VSM.LayoutRemap,0,1
0,259,8872.1890346,1,VSM.ResetFeedback,0,1
0,259,8872.1890346,1,VSM.MarkReceiverPages,609536,1
0,259,8872.1890346,1,VSM.Allocate,228096,1
0,259,8872.1890346,1,VSM.InvalidateStatic,0,0
0,259,8872.1890346,1,VSM.ClearPhysicalPages,444416,1
0,259,8872.1890346,1,VSM.StaticCasterCull,70400,1
0,259,8872.1890346,1,VSM.DynamicCasterCull,0,1
0,259,8872.1890346,1,VSM.PageCull,46080,1
0,259,8872.1890346,1,VSM.StaticRaster,4096,1
0,259,8872.1890346,1,VSM.FinalizePages,2560,1
0,259,8872.1890346,1,VSM.DynamicRaster,12032,1
0,259,8872.1890346,1,VSM.UnityCompatibilityRaster,0,0
0,259,8872.1890346,1,VSM.Resolve,7041024,1
0,259,8872.1890346,1,VSM.ResolveTrace,6817536,1
0,259,8872.1890346,1,VSM.FilterHorizontal,65792,1
0,259,8872.1890346,1,VSM.FilterVertical,0,0
0,259,8872.1890346,1,VSM.FilterTemporalVertical,156672,1
1,260,8872.2083993,1,VSM.PageOccupancy,60928,1
1,260,8872.2083993,1,VSM.LayoutRemap,0,1
1,260,8872.2083993,1,VSM.ResetFeedback,0,1
1,260,8872.2083993,1,VSM.MarkReceiverPages,609792,1
1,260,8872.2083993,1,VSM.Allocate,226304,1
1,260,8872.2083993,1,VSM.InvalidateStatic,0,0
1,260,8872.2083993,1,VSM.ClearPhysicalPages,90368,1
1,260,8872.2083993,1,VSM.StaticCasterCull,506368,1
1,260,8872.2083993,1,VSM.DynamicCasterCull,0,1
1,260,8872.2083993,1,VSM.PageCull,49664,1
1,260,8872.2083993,1,VSM.StaticRaster,9216,1
1,260,8872.2083993,1,VSM.FinalizePages,2048,1
1,260,8872.2083993,1,VSM.DynamicRaster,17152,1
