observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,451,8875.7546993,1,VSM.PageOccupancy,60160,1
0,451,8875.7546993,1,VSM.LayoutRemap,0,1
0,451,8875.7546993,1,VSM.ResetFeedback,0,1
0,451,8875.7546993,1,VSM.MarkReceiverPages,607744,1
0,451,8875.7546993,1,VSM.Allocate,222720,1
0,451,8875.7546993,1,VSM.InvalidateStatic,0,0
0,451,8875.7546993,1,VSM.ClearPhysicalPages,377600,1
0,451,8875.7546993,1,VSM.StaticCasterCull,72704,1
0,451,8875.7546993,1,VSM.DynamicCasterCull,0,1
0,451,8875.7546993,1,VSM.PageCull,48384,1
0,451,8875.7546993,1,VSM.StaticRaster,7424,1
0,451,8875.7546993,1,VSM.FinalizePages,2048,1
0,451,8875.7546993,1,VSM.DynamicRaster,12544,1
0,451,8875.7546993,1,VSM.UnityCompatibilityRaster,0,0
0,451,8875.7546993,1,VSM.Resolve,7139584,1
0,451,8875.7546993,1,VSM.ResolveTrace,6915328,1
0,451,8875.7546993,1,VSM.FilterHorizontal,65792,1
0,451,8875.7546993,1,VSM.FilterVertical,0,0
0,451,8875.7546993,1,VSM.FilterTemporalVertical,157184,1
1,452,8875.7726102,1,VSM.PageOccupancy,60928,1
1,452,8875.7726102,1,VSM.LayoutRemap,0,1
1,452,8875.7726102,1,VSM.ResetFeedback,0,1
1,452,8875.7726102,1,VSM.MarkReceiverPages,624384,1
1,452,8875.7726102,1,VSM.Allocate,225280,1
1,452,8875.7726102,1,VSM.InvalidateStatic,0,0
1,452,8875.7726102,1,VSM.ClearPhysicalPages,534016,1
1,452,8875.7726102,1,VSM.StaticCasterCull,70400,1
1,452,8875.7726102,1,VSM.DynamicCasterCull,0,1
1,452,8875.7726102,1,VSM.PageCull,49920,1
1,452,8875.7726102,1,VSM.StaticRaster,3072,1
1,452,8875.7726102,1,VSM.FinalizePages,2048,1
1,452,8875.7726102,1,VSM.DynamicRaster,13824,1
1,452,8875.7726102,1,VSM.UnityCompatibilityRaster,0,0
1,452,8875.7726102,1,VSM.Resolve,7079936,1
1,452,8875.7726102,1,VSM.ResolveTrace,6853376,1
1,452,8875.7726102,1,VSM.FilterHorizontal,67584,1
1,452,8875.7726102,1,VSM.FilterVertical,0,0
1,452,8875.7726102,1,VSM.FilterTemporalVertical,157696,1
2,453,8875.790487100001,1,VSM.PageOccupancy,57856,1
2,453,8875.790487100001,1,VSM.LayoutRemap,0,1
2,453,8875.790487100001,1,VSM.ResetFeedback,0,1
2,453,8875.790487100001,1,VSM.MarkReceiverPages,608768,1
2,453,8875.790487100001,1,VSM.Allocate,228096,1
2,453,8875.790487100001,1,VSM.InvalidateStatic,0,0
2,453,8875.790487100001,1,VSM.ClearPhysicalPages,90624,1
2,453,8875.790487100001,1,VSM.StaticCasterCull,67584,1
2,453,8875.790487100001,1,VSM.DynamicCasterCull,0,1
2,453,8875.790487100001,1,VSM.PageCull,48896,1
2,453,8875.790487100001,1,VSM.StaticRaster,6144,1
2,453,8875.790487100001,1,VSM.FinalizePages,1792,1
2,453,8875.790487100001,1,VSM.DynamicRaster,14336,1
2,453,8875.790487100001,1,VSM.UnityCompatibilityRaster,0,0
2,453,8875.790487100001,1,VSM.Resolve,7883008,1
2,453,8875.790487100001,1,VSM.ResolveTrace,7659520,1
2,453,8875.790487100001,1,VSM.FilterHorizontal,66560,1
2,453,8875.790487100001,1,VSM.FilterVertical,0,0
2,453,8875.790487100001,1,VSM.FilterTemporalVertical,156160,1
3,454,8875.8077679,1,VSM.PageOccupancy,62464,1
3,454,8875.8077679,1,VSM.LayoutRemap,0,1
3,454,8875.8077679,1,VSM.ResetFeedback,0,1
3,454,8875.8077679,1,VSM.MarkReceiverPages,609024,1
3,454,8875.8077679,1,VSM.Allocate,227584,1
3,454,8875.8077679,1,VSM.InvalidateStatic,0,0
3,454,8875.8077679,1,VSM.ClearPhysicalPages,90880,1
3,454,8875.8077679,1,VSM.StaticCasterCull,66816,1
3,454,8875.8077679,1,VSM.DynamicCasterCull,0,1
3,454,8875.8077679,1,VSM.PageCull,48128,1
3,454,8875.8077679,1,VSM.StaticRaster,7680,1
3,454,8875.8077679,1,VSM.FinalizePages,1792,1
3,454,8875.8077679,1,VSM.DynamicRaster,12800,1
3,454,8875.8077679,1,VSM.UnityCompatibilityRaster,0,0
3,454,8875.8077679,1,VSM.Resolve,7569664,1
3,454,8875.8077679,1,VSM.ResolveTrace,7343616,1
3,454,8875.8077679,1,VSM.FilterHorizontal,65792,1
3,454,8875.8077679,1,VSM.FilterVertical,0,0
3,454,8875.8077679,1,VSM.FilterTemporalVertical,158976,1
4,455,8875.8354317000012,1,VSM.PageOccupancy,61184,1
4,455,8875.8354317000012,1,VSM.LayoutRemap,0,1
4,455,8875.8354317000012,1,VSM.ResetFeedback,0,1
4,455,8875.8354317000012,1,VSM.MarkReceiverPages,610304,1
4,455,8875.8354317000012,1,VSM.Allocate,228096,1
4,455,8875.8354317000012,1,VSM.InvalidateStatic,0,0
4,455,8875.8354317000012,1,VSM.ClearPhysicalPages,551680,1
4,455,8875.8354317000012,1,VSM.StaticCasterCull,76288,1
4,455,8875.8354317000012,1,VSM.DynamicCasterCull,0,1
4,455,8875.8354317000012,1,VSM.PageCull,46848,1
4,455,8875.8354317000012,1,VSM.StaticRaster,7168,1
4,455,8875.8354317000012,1,VSM.FinalizePages,2048,1
4,455,8875.8354317000012,1,VSM.DynamicRaster,11520,1
4,455,8875.8354317000012,1,VSM.UnityCompatibilityRaster,0,0
4,455,8875.8354317000012,1,VSM.Resolve,7508480,1
4,455,8875.8354317000012,1,VSM.ResolveTrace,7280640,1
4,455,8875.8354317000012,1,VSM.FilterHorizontal,66560,1
4,455,8875.8354317000012,1,VSM.FilterVertical,0,0
4,455,8875.8354317000012,1,VSM.FilterTemporalVertical,160256,1
5,456,8875.8530160000009,1,VSM.PageOccupancy,61440,1
5,456,8875.8530160000009,1,VSM.LayoutRemap,0,1
5,456,8875.8530160000009,1,VSM.ResetFeedback,0,1
5,456,8875.8530160000009,1,VSM.MarkReceiverPages,609280,1
5,456,8875.8530160000009,1,VSM.Allocate,227072,1
5,456,8875.8530160000009,1,VSM.InvalidateStatic,0,0
5,456,8875.8530160000009,1,VSM.ClearPhysicalPages,90880,1
5,456,8875.8530160000009,1,VSM.StaticCasterCull,68096,1
5,456,8875.8530160000009,1,VSM.DynamicCasterCull,0,1
5,456,8875.8530160000009,1,VSM.PageCull,49664,1
5,456,8875.8530160000009,1,VSM.StaticRaster,7424,1
5,456,8875.8530160000009,1,VSM.FinalizePages,1792,1
5,456,8875.8530160000009,1,VSM.DynamicRaster,13568,1
5,456,8875.8530160000009,1,VSM.UnityCompatibilityRaster,0,0
5,456,8875.8530160000009,1,VSM.Resolve,6969856,1
5,456,8875.8530160000009,1,VSM.ResolveTrace,6746112,1
5,456,8875.8530160000009,1,VSM.FilterHorizontal,66304,1
5,456,8875.8530160000009,1,VSM.FilterVertical,0,0
5,456,8875.8530160000009,1,VSM.FilterTemporalVertical,156160,1
6,457,8875.8704040000011,1,VSM.PageOccupancy,58112,1
6,457,8875.8704040000011,1,VSM.LayoutRemap,0,1
6,457,8875.8704040000011,1,VSM.ResetFeedback,0,1
6,457,8875.8704040000011,1,VSM.MarkReceiverPages,607488,1
6,457,8875.8704040000011,1,VSM.Allocate,226560,1
6,457,8875.8704040000011,1,VSM.InvalidateStatic,0,0
6,457,8875.8704040000011,1,VSM.ClearPhysicalPages,282624,1
6,457,8875.8704040000011,1,VSM.StaticCasterCull,70400,1
6,457,8875.8704040000011,1,VSM.DynamicCasterCull,0,1
6,457,8875.8704040000011,1,VSM.PageCull,49664,1
6,457,8875.8704040000011,1,VSM.StaticRaster,4608,1
6,457,8875.8704040000011,1,VSM.FinalizePages,2048,1
6,457,8875.8704040000011,1,VSM.DynamicRaster,13568,1
6,457,8875.8704040000011,1,VSM.UnityCompatibilityRaster,0,0
6,457,8875.8704040000011,1,VSM.Resolve,8881152,1
6,457,8875.8704040000011,1,VSM.ResolveTrace,8652800,1
6,457,8875.8704040000011,1,VSM.FilterHorizontal,67840,1
6,457,8875.8704040000011,1,VSM.FilterVertical,0,0
6,457,8875.8704040000011,1,VSM.FilterTemporalVertical,158976,1
7,458,8875.8894043,1,VSM.PageOccupancy,58624,1
7,458,8875.8894043,1,VSM.LayoutRemap,0,1
7,458,8875.8894043,1,VSM.ResetFeedback,0,1
7,458,8875.8894043,1,VSM.MarkReceiverPages,606720,1
7,458,8875.8894043,1,VSM.Allocate,223744,1
7,458,8875.8894043,1,VSM.InvalidateStatic,0,0
7,458,8875.8894043,1,VSM.ClearPhysicalPages,89856,1
7,458,8875.8894043,1,VSM.StaticCasterCull,65792,1
7,458,8875.8894043,1,VSM.DynamicCasterCull,0,1
7,458,8875.8894043,1,VSM.PageCull,47616,1
7,458,8875.8894043,1,VSM.StaticRaster,7168,1
7,458,8875.8894043,1,VSM.FinalizePages,1792,1
7,458,8875.8894043,1,VSM.DynamicRaster,13312,1
7,458,8875.8894043,1,VSM.UnityCompatibilityRaster,0,0
7,458,8875.8894043,1,VSM.Resolve,7169024,1
7,458,8875.8894043,1,VSM.ResolveTrace,6947840,1
7,458,8875.8894043,1,VSM.FilterHorizontal,64256,1
7,458,8875.8894043,1,VSM.FilterVertical,0,0
7,458,8875.8894043,1,VSM.FilterTemporalVertical,156160,1
8,459,8875.908074500001,1,VSM.PageOccupancy,60672,1
8,459,8875.908074500001,1,VSM.LayoutRemap,0,1
8,459,8875.908074500001,1,VSM.ResetFeedback,0,1
8,459,8875.908074500001,1,VSM.MarkReceiverPages,608512,1
8,459,8875.908074500001,1,VSM.Allocate,228096,1
8,459,8875.908074500001,1,VSM.InvalidateStatic,0,0
8,459,8875.908074500001,1,VSM.ClearPhysicalPages,90880,1
8,459,8875.908074500001,1,VSM.StaticCasterCull,68096,1
8,459,8875.908074500001,1,VSM.DynamicCasterCull,0,1
8,459,8875.908074500001,1,VSM.PageCull,49664,1
8,459,8875.908074500001,1,VSM.StaticRaster,7424,1
8,459,8875.908074500001,1,VSM.FinalizePages,2048,1
8,459,8875.908074500001,1,VSM.DynamicRaster,14080,1
8,459,8875.908074500001,1,VSM.UnityCompatibilityRaster,0,0
8,459,8875.908074500001,1,VSM.Resolve,7072256,1
8,459,8875.908074500001,1,VSM.ResolveTrace,6516736,1
8,459,8875.908074500001,1,VSM.FilterHorizontal,68608,1
8,459,8875.908074500001,1,VSM.FilterVertical,0,0
8,459,8875.908074500001,1,VSM.FilterTemporalVertical,160000,1
9,460,8875.9257904,1,VSM.PageOccupancy,59648,1
9,460,8875.9257904,1,VSM.LayoutRemap,0,1
9,460,8875.9257904,1,VSM.ResetFeedback,0,1
9,460,8875.9257904,1,VSM.MarkReceiverPages,609792,1
9,460,8875.9257904,1,VSM.Allocate,227840,1
9,460,8875.9257904,1,VSM.InvalidateStatic,0,0
9,460,8875.9257904,1,VSM.ClearPhysicalPages,332800,1
9,460,8875.9257904,1,VSM.StaticCasterCull,69376,1
9,460,8875.9257904,1,VSM.DynamicCasterCull,0,1
9,460,8875.9257904,1,VSM.PageCull,49920,1
9,460,8875.9257904,1,VSM.StaticRaster,4608,1
9,460,8875.9257904,1,VSM.FinalizePages,1536,1
9,460,8875.9257904,1,VSM.DynamicRaster,14336,1
9,460,8875.9257904,1,VSM.UnityCompatibilityRaster,0,0
9,460,8875.9257904,1,VSM.Resolve,8425216,1
9,460,8875.9257904,1,VSM.ResolveTrace,8199936,1
9,460,8875.9257904,1,VSM.FilterHorizontal,67072,1
9,460,8875.9257904,1,VSM.FilterVertical,0,0
9,460,8875.9257904,1,VSM.FilterTemporalVertical,157440,1
10,461,8875.9439006000011,1,VSM.PageOccupancy,61696,1
10,461,8875.9439006000011,1,VSM.LayoutRemap,0,1
10,461,8875.9439006000011,1,VSM.ResetFeedback,0,1
10,461,8875.9439006000011,1,VSM.MarkReceiverPages,608512,1
10,461,8875.9439006000011,1,VSM.Allocate,226560,1
10,461,8875.9439006000011,1,VSM.InvalidateStatic,0,0
10,461,8875.9439006000011,1,VSM.ClearPhysicalPages,89600,1
10,461,8875.9439006000011,1,VSM.StaticCasterCull,72192,1
10,461,8875.9439006000011,1,VSM.DynamicCasterCull,0,1
10,461,8875.9439006000011,1,VSM.PageCull,53504,1
10,461,8875.9439006000011,1,VSM.StaticRaster,7168,1
10,461,8875.9439006000011,1,VSM.FinalizePages,1792,1
10,461,8875.9439006000011,1,VSM.DynamicRaster,16896,1
10,461,8875.9439006000011,1,VSM.UnityCompatibilityRaster,0,0
10,461,8875.9439006000011,1,VSM.Resolve,7401216,1
10,461,8875.9439006000011,1,VSM.ResolveTrace,7176960,1
10,461,8875.9439006000011,1,VSM.FilterHorizontal,65280,1
10,461,8875.9439006000011,1,VSM.FilterVertical,0,0
10,461,8875.9439006000011,1,VSM.FilterTemporalVertical,157696,1
11,462,8875.9616493000012,1,VSM.PageOccupancy,58880,1
11,462,8875.9616493000012,1,VSM.LayoutRemap,0,1
11,462,8875.9616493000012,1,VSM.ResetFeedback,0,1
11,462,8875.9616493000012,1,VSM.MarkReceiverPages,609024,1
11,462,8875.9616493000012,1,VSM.Allocate,223744,1
11,462,8875.9616493000012,1,VSM.InvalidateStatic,0,0
11,462,8875.9616493000012,1,VSM.ClearPhysicalPages,544512,1
11,462,8875.9616493000012,1,VSM.StaticCasterCull,72704,1
11,462,8875.9616493000012,1,VSM.DynamicCasterCull,0,1
11,462,8875.9616493000012,1,VSM.PageCull,47616,1
11,462,8875.9616493000012,1,VSM.StaticRaster,4608,1
11,462,8875.9616493000012,1,VSM.FinalizePages,2048,1
11,462,8875.9616493000012,1,VSM.DynamicRaster,11520,1
