observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,67,6691.7177087,1,VSM.PageOccupancy,56064,1
0,67,6691.7177087,1,VSM.LayoutRemap,0,1
0,67,6691.7177087,1,VSM.ResetFeedback,0,1
0,67,6691.7177087,1,VSM.MarkReceiverPages,566528,1
0,67,6691.7177087,1,VSM.Allocate,224768,1
0,67,6691.7177087,1,VSM.InvalidateStatic,35840,1
0,67,6691.7177087,1,VSM.ClearPhysicalPages,173056,1
0,67,6691.7177087,1,VSM.StaticCasterCull,64768,1
0,67,6691.7177087,1,VSM.DynamicCasterCull,0,1
0,67,6691.7177087,1,VSM.PageCull,40192,1
0,67,6691.7177087,1,VSM.StaticRaster,8136704,1
0,67,6691.7177087,1,VSM.FinalizePages,2048,1
0,67,6691.7177087,1,VSM.DynamicRaster,4096,1
0,67,6691.7177087,1,VSM.UnityCompatibilityRaster,0,0
0,67,6691.7177087,1,VSM.Resolve,10454528,1
0,67,6691.7177087,1,VSM.ResolveTrace,10228736,1
0,67,6691.7177087,1,VSM.FilterHorizontal,67072,1
0,67,6691.7177087,1,VSM.FilterVertical,0,0
0,67,6691.7177087,1,VSM.FilterTemporalVertical,157440,1
1,68,6691.7480245,1,VSM.PageOccupancy,57600,1
1,68,6691.7480245,1,VSM.LayoutRemap,0,1
1,68,6691.7480245,1,VSM.ResetFeedback,0,1
1,68,6691.7480245,1,VSM.MarkReceiverPages,567040,1
1,68,6691.7480245,1,VSM.Allocate,223232,1
1,68,6691.7480245,1,VSM.InvalidateStatic,36096,1
1,68,6691.7480245,1,VSM.ClearPhysicalPages,538112,1
1,68,6691.7480245,1,VSM.StaticCasterCull,62976,1
1,68,6691.7480245,1,VSM.DynamicCasterCull,0,1
1,68,6691.7480245,1,VSM.PageCull,38656,1
1,68,6691.7480245,1,VSM.StaticRaster,8091648,1
1,68,6691.7480245,1,VSM.FinalizePages,1792,1
1,68,6691.7480245,1,VSM.DynamicRaster,17408,1
1,68,6691.7480245,1,VSM.UnityCompatibilityRaster,0,0
1,68,6691.7480245,1,VSM.Resolve,10673664,1
1,68,6691.7480245,1,VSM.ResolveTrace,10253312,1
1,68,6691.7480245,1,VSM.FilterHorizontal,67072,1
1,68,6691.7480245,1,VSM.FilterVertical,0,0
1,68,6691.7480245,1,VSM.FilterTemporalVertical,352256,1
2,69,6691.7795621999994,1,VSM.PageOccupancy,54528,1
2,69,6691.7795621999994,1,VSM.LayoutRemap,0,1
2,69,6691.7795621999994,1,VSM.ResetFeedback,0,1
2,69,6691.7795621999994,1,VSM.MarkReceiverPages,759552,1
2,69,6691.7795621999994,1,VSM.Allocate,223488,1
2,69,6691.7795621999994,1,VSM.InvalidateStatic,36096,1
2,69,6691.7795621999994,1,VSM.ClearPhysicalPages,173056,1
2,69,6691.7795621999994,1,VSM.StaticCasterCull,54528,1
2,69,6691.7795621999994,1,VSM.DynamicCasterCull,0,1
2,69,6691.7795621999994,1,VSM.PageCull,35584,1
2,69,6691.7795621999994,1,VSM.StaticRaster,8124928,1
2,69,6691.7795621999994,1,VSM.FinalizePages,2048,1
2,69,6691.7795621999994,1,VSM.DynamicRaster,4096,1
2,69,6691.7795621999994,1,VSM.UnityCompatibilityRaster,0,0
2,69,6691.7795621999994,1,VSM.Resolve,10224640,1
2,69,6691.7795621999994,1,VSM.ResolveTrace,9997824,1
2,69,6691.7795621999994,1,VSM.FilterHorizontal,64512,1
2,69,6691.7795621999994,1,VSM.FilterVertical,0,0
2,69,6691.7795621999994,1,VSM.FilterTemporalVertical,160768,1
