observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,643,6702.3472710999995,1,VSM.PageOccupancy,60928,1
0,643,6702.3472710999995,1,VSM.LayoutRemap,0,1
0,643,6702.3472710999995,1,VSM.ResetFeedback,0,1
0,643,6702.3472710999995,1,VSM.MarkReceiverPages,565760,1
0,643,6702.3472710999995,1,VSM.Allocate,223488,1
0,643,6702.3472710999995,1,VSM.InvalidateStatic,0,0
0,643,6702.3472710999995,1,VSM.ClearPhysicalPages,89600,1
0,643,6702.3472710999995,1,VSM.StaticCasterCull,68096,1
0,643,6702.3472710999995,1,VSM.DynamicCasterCull,0,1
0,643,6702.3472710999995,1,VSM.PageCull,49920,1
0,643,6702.3472710999995,1,VSM.StaticRaster,11264,1
0,643,6702.3472710999995,1,VSM.FinalizePages,1536,1
0,643,6702.3472710999995,1,VSM.DynamicRaster,14592,1
0,643,6702.3472710999995,1,VSM.UnityCompatibilityRaster,0,0
0,643,6702.3472710999995,1,VSM.Resolve,10665984,1
0,643,6702.3472710999995,1,VSM.ResolveTrace,10443520,1
0,643,6702.3472710999995,1,VSM.FilterHorizontal,64768,1
0,643,6702.3472710999995,1,VSM.FilterVertical,0,0
0,643,6702.3472710999995,1,VSM.FilterTemporalVertical,156416,1
1,644,6702.3683031,1,VSM.PageOccupancy,62464,1
1,644,6702.3683031,1,VSM.LayoutRemap,0,1
1,644,6702.3683031,1,VSM.ResetFeedback,0,1
1,644,6702.3683031,1,VSM.MarkReceiverPages,956160,1
1,644,6702.3683031,1,VSM.Allocate,224512,1
1,644,6702.3683031,1,VSM.InvalidateStatic,0,0
1,644,6702.3683031,1,VSM.ClearPhysicalPages,89600,1
1,644,6702.3683031,1,VSM.StaticCasterCull,60928,1
1,644,6702.3683031,1,VSM.DynamicCasterCull,0,1
1,644,6702.3683031,1,VSM.PageCull,41984,1
1,644,6702.3683031,1,VSM.StaticRaster,9984,1
1,644,6702.3683031,1,VSM.FinalizePages,1792,1
1,644,6702.3683031,1,VSM.DynamicRaster,11008,1
1,644,6702.3683031,1,VSM.UnityCompatibilityRaster,0,0
1,644,6702.3683031,1,VSM.Resolve,11234304,1
1,644,6702.3683031,1,VSM.ResolveTrace,11002880,1
1,644,6702.3683031,1,VSM.FilterHorizontal,66304,1
1,644,6702.3683031,1,VSM.FilterVertical,0,0
1,644,6702.3683031,1,VSM.FilterTemporalVertical,164096,1
2,645,6702.3904249,1,VSM.PageOccupancy,107008,1
2,645,6702.3904249,1,VSM.LayoutRemap,0,1
2,645,6702.3904249,1,VSM.ResetFeedback,0,1
2,645,6702.3904249,1,VSM.MarkReceiverPages,838144,1
2,645,6702.3904249,1,VSM.Allocate,227584,1
2,645,6702.3904249,1,VSM.InvalidateStatic,0,0
2,645,6702.3904249,1,VSM.ClearPhysicalPages,90112,1
2,645,6702.3904249,1,VSM.StaticCasterCull,64512,1
2,645,6702.3904249,1,VSM.DynamicCasterCull,0,1
