observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,259,6695.5609349999995,1,VSM.PageOccupancy,62720,1
0,259,6695.5609349999995,1,VSM.LayoutRemap,0,1
0,259,6695.5609349999995,1,VSM.ResetFeedback,0,1
0,259,6695.5609349999995,1,VSM.MarkReceiverPages,569600,1
0,259,6695.5609349999995,1,VSM.Allocate,225792,1
0,259,6695.5609349999995,1,VSM.InvalidateStatic,0,0
0,259,6695.5609349999995,1,VSM.ClearPhysicalPages,288512,1
0,259,6695.5609349999995,1,VSM.StaticCasterCull,74240,1
0,259,6695.5609349999995,1,VSM.DynamicCasterCull,0,1
0,259,6695.5609349999995,1,VSM.PageCull,50176,1
0,259,6695.5609349999995,1,VSM.StaticRaster,7168,1
0,259,6695.5609349999995,1,VSM.FinalizePages,1536,1
0,259,6695.5609349999995,1,VSM.DynamicRaster,12800,1
0,259,6695.5609349999995,1,VSM.UnityCompatibilityRaster,0,0
0,259,6695.5609349999995,1,VSM.Resolve,6272768,1
0,259,6695.5609349999995,1,VSM.ResolveTrace,6049024,1
0,259,6695.5609349999995,1,VSM.FilterHorizontal,64768,1
0,259,6695.5609349999995,1,VSM.FilterVertical,0,0
0,259,6695.5609349999995,1,VSM.FilterTemporalVertical,157952,1
1,260,6695.5759234,1,VSM.PageOccupancy,60672,1
1,260,6695.5759234,1,VSM.LayoutRemap,0,1
1,260,6695.5759234,1,VSM.ResetFeedback,0,1
1,260,6695.5759234,1,VSM.MarkReceiverPages,566016,1
1,260,6695.5759234,1,VSM.Allocate,227072,1
1,260,6695.5759234,1,VSM.InvalidateStatic,0,0
1,260,6695.5759234,1,VSM.ClearPhysicalPages,89856,1
1,260,6695.5759234,1,VSM.StaticCasterCull,67328,1
1,260,6695.5759234,1,VSM.DynamicCasterCull,0,1
1,260,6695.5759234,1,VSM.PageCull,48384,1
1,260,6695.5759234,1,VSM.StaticRaster,3072,1
1,260,6695.5759234,1,VSM.FinalizePages,1792,1
1,260,6695.5759234,1,VSM.DynamicRaster,13568,1
1,260,6695.5759234,1,VSM.UnityCompatibilityRaster,0,0
1,260,6695.5759234,1,VSM.Resolve,6246912,1
1,260,6695.5759234,1,VSM.ResolveTrace,6026240,1
1,260,6695.5759234,1,VSM.FilterHorizontal,63744,1
1,260,6695.5759234,1,VSM.FilterVertical,0,0
1,260,6695.5759234,1,VSM.FilterTemporalVertical,155648,1
2,261,6695.5905620999993,1,VSM.PageOccupancy,59392,1
2,261,6695.5905620999993,1,VSM.LayoutRemap,0,1
2,261,6695.5905620999993,1,VSM.ResetFeedback,0,1
2,261,6695.5905620999993,1,VSM.MarkReceiverPages,567296,1
2,261,6695.5905620999993,1,VSM.Allocate,226560,1
2,261,6695.5905620999993,1,VSM.InvalidateStatic,0,0
2,261,6695.5905620999993,1,VSM.ClearPhysicalPages,91136,1
2,261,6695.5905620999993,1,VSM.StaticCasterCull,224512,1
2,261,6695.5905620999993,1,VSM.DynamicCasterCull,0,1
