case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"baseline256_a","completed_with_warnings","frame_interval_ms",932,932,5.3459538612514734,5.9223002754151821,4.4383998028934,13.251700438559055
0,"baseline256_a","completed_with_warnings","cpu_frame_ms",932,932,5.3587000000000007,6.0177,4.0157,14.0172
0,"baseline256_a","completed_with_warnings","gpu_frame_ms",932,930,5.30432,5.891328,4.415232,6.409984
0,"baseline256_a","completed_with_warnings","cpu_render_thread_ms",932,932,1.92815,2.3506,1.6594,5.9662
0,"baseline256_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",932,932,14551,14753,14551,64273
0,"baseline256_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",932,932,0.001024,0.001024,0.000768,0.36224
0,"baseline256_a","completed_with_warnings","VSM.Allocate_gpu_ms",932,932,0.492288,0.59264,0.453632,0.607488
0,"baseline256_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",932,0,,,,
0,"baseline256_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",932,932,0.033535999999999996,0.040959999999999996,0.032512,0.523264
0,"baseline256_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",932,932,0.17024,0.365056,0.15334399999999998,1.063936
0,"baseline256_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",932,932,0,0.000256,0,0.000256
0,"baseline256_a","completed_with_warnings","VSM.PageCull_gpu_ms",932,932,0.151808,0.161024,0.13568,0.792832
0,"baseline256_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",932,932,0.024832,0.031487999999999995,0.017664,0.623872
0,"baseline256_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",932,932,0.013824,0.016128,0.010752,0.0192
0,"baseline256_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",932,0,,,,
0,"baseline256_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",932,932,0.003328,0.004096,0.001792,0.519936
0,"baseline256_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",932,0,,,,
0,"baseline256_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",932,932,1.4949119999999998,1.943552,1.280768,2.412032
