observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
12881,87.773387705498862,1307362949512,1,5.7884990237653255,5.8861,5.764096,1.7739,14551,0.001024,0.477952,,0.03584,0.175616,0,0.156672,0.024064,0.016128,,0.0025599999999999998,,1.868032,12881,864,0,
12882,87.778572803287972,1307363008373,1,5.1850979216396809,5.2236,5.768192,1.9527,14551,0.001024,0.479744,,0.034816,0.17152,0,0.152576,0.028416,0.013312,,0.003328,,1.598976,12882,865,0,
12883,87.784298306405887,1307363060609,1,5.7255029678344727,5.6367,5.164544,2.0017,14551,0.001024,0.44032,,0.035328,0.17638399999999999,0.000256,0.157696,0.024832,0.014336,,0.003584,,1.599232,12883,866,0,
12884,87.790177303004526,1307363116976,1,5.8789965696632862,6.0216,5.705728,1.7626,14551,0.005376,0.477184,,0.040959999999999996,0.16127999999999998,0.000256,0.142848,0.028672,0.015872,,0.004096,,1.8071039999999998,12884,867,0,
12885,87.795735700113369,1307363177192,1,5.5583971552550793,5.1309,5.913088,2.1918,14551,0.001024,0.44057599999999997,,0.035072,0.17279999999999998,0,0.154368,0.021759999999999998,0.014336,,0.004096,,1.593856,12885,868,0,
12886,87.801294600340128,1307363228501,1,5.5589000694453716,5.7939,5.551616,1.8759,14551,0.0012799999999999999,0.480512,,0.035072,0.161792,0.000256,0.143616,0.029696,0.014336,,0.0038399999999999997,,1.6099839999999999,12886,869,0,
12887,87.807337003968257,1307363286440,1,6.0424036346375942,5.5941,5.466112,2.28,14551,0.001024,0.44288,,0.035072,0.172032,0,0.153088,0.020224,0.015104,,0.002816,,1.80992,12887,870,0,
12888,87.812629301303858,1307363342381,1,5.2922973409295082,5.9053,6.007552,2.0938,14551,0.001024,0.4416,,0.040192,0.172544,0,0.153088,0.024319999999999998,0.015872,,0.004352,,1.82656,12888,871,0,
12889,87.817917800453515,1307363401434,1,5.288498941808939,5.5629,5.2928,1.9199,14746,0.000768,0.476672,,0.033535999999999996,0.168448,0.000256,0.15103999999999998,0.024319999999999998,0.015872,,0.0038399999999999997,,1.4661119999999999,12889,872,0,
12890,87.824043402777775,1307363457063,1,6.1256024055182934,5.9244,5.324288,2.0648,14551,0.001024,0.47769599999999995,,0.034048,0.16153599999999999,0,0.14336,0.027392,0.014336,,0.002816,,1.466368,12890,873,0,
12891,87.829566404478456,1307363516307,1,5.5230017751455307,5.0036,5.93024,2.0505,14753,0.001024,0.44006399999999996,,0.033535999999999996,0.363008,0,0.345088,0.024319999999999998,0.014591999999999999,,0.004096,,1.8542079999999999,12891,874,0,
12892,87.8351380031179,1307363566343,1,5.5715986527502537,5.2551,5.674752,1.9763,14551,0.001024,0.47872,,0.033535999999999996,0.158464,0.000256,0.140544,0.027648,0.015359999999999999,,0.003072,,1.4661119999999999,12892,875,0,
12893,87.840413506235819,1307363618894,1,5.2755032666027546,6.175,5.549568,1.7643,14551,0.001024,0.441088,,0.033791999999999996,0.17612799999999998,0,0.15795199999999998,0.018944,0.015104,,0.003328,,1.988608,12893,876,0,
12894,87.8462954010771,1307363680644,1,5.88189484551549,5.5408,5.196032,1.9572,14551,0.001024,0.479232,,0.035584,0.16153599999999999,0,0.141824,0.033024,0.013312,,0.003328,,1.4661119999999999,12894,877,0,
12895,87.8515919005102,1307363736052,1,5.2964994683861732,6.0248,5.711872,1.8236,14551,0.001024,0.440832,,0.03328,0.170752,0.000256,0.1536,0.022784,0.015616,,0.0038399999999999997,,1.951488,12895,878,0,
12896,87.857388102324265,1307363796300,1,5.79620199277997,5.1218,5.431296,2.0153,14551,0.001024,0.442368,,0.03456,0.171264,0.000256,0.1536,0.021504,0.014079999999999999,,0.004096,,1.7602559999999998,12896,879,0,
12897,87.863291000566889,1307363847518,1,5.9028980322182178,5.6545,5.829376,1.8703,14551,0.001024,0.478464,,0.033535999999999996,0.174592,0,0.156672,0.023552,0.015104,,0.004096,,2.18112,12897,880,0,
12898,87.869164101473913,1307363904063,1,5.8731008321046829,5.3158,5.89696,1.8494,14551,0.001024,0.480512,,0.039936,0.161024,0,0.141568,0.027903999999999998,0.013312,,0.0025599999999999998,,1.95328,12898,881,0,
12899,87.874728004535143,1307363957221,1,5.563903134316206,5.9417,5.856,1.9124,14603,0.000768,0.4416,,0.033535999999999996,0.173568,0,0.155136,0.025599999999999998,0.013824,,0.002048,,2.2684159999999998,12899,882,0,
12900,87.880193700396816,1307364016638,1,5.4656956344842911,5.6309,5.458688,1.7812,14551,0.001024,0.47769599999999995,,0.041728,0.168704,0,0.14848,0.030463999999999998,0.012032,,0.0025599999999999998,,1.8124799999999999,12900,883,0,
12901,87.886168601190477,1307364072947,1,5.974900908768177,5.8829,5.518336,1.7937,14551,0.001024,0.44262399999999996,,0.037888,0.177664,0.000256,0.15795199999999998,0.021504,0.016128,,0.004096,,1.6051199999999999,12901,884,0,
12902,87.8922169005102,1307364131776,1,6.0482993721961975,5.686,5.8920959999999996,2.0349,14551,0.0012799999999999999,0.47897599999999996,,0.035328,0.160512,0,0.14207999999999998,0.028928,0.013056,,0.002304,,2.075136,12902,885,0,
12903,87.897966602891159,1307364188636,1,5.7497024536132813,5.3507,6.089472,1.819,14551,0.001024,0.443136,,0.035328,0.173568,0,0.155136,0.019455999999999998,0.012544,,0.0025599999999999998,,1.828096,12903,886,0,
12904,87.903981001984121,1307364242143,1,6.0143992304801941,6.1957,5.731584,1.7927,14551,0.001024,0.44262399999999996,,0.034816,0.176896,0.000256,0.15795199999999998,0.023039999999999998,0.014591999999999999,,0.003328,,2.0792319999999997,12904,887,0,
12905,87.909961706349208,1307364304100,1,5.9807044453918934,5.8687,5.995264,1.7754,14551,0.001024,0.479232,,0.035584,0.460032,0,0.4416,0.050432,0.013056,,0.004352,,2.4135679999999997,12905,888,0,
12906,87.915519805839,1307364362787,1,5.55809959769249,5.7421,5.886976,1.8396,14551,0.001024,0.48153599999999996,,0.035584,0.17382399999999998,0,0.15564799999999998,0.027136,0.014336,,0.004096,,2.054912,12906,889,0,
12907,87.921063506235825,1307364420208,1,5.54370041936636,6.0998,5.538816,2.3108,14551,0.001024,0.44467199999999996,,0.035072,0.174592,0.000256,0.155904,0.024064,0.014591999999999999,,0.0025599999999999998,,2.09408,12907,890,0,
