case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"baseline256_b","completed_with_warnings","frame_interval_ms",853,853,5.8185020461678505,6.5457979217171669,4.4392007403075695,14.14910051971674
0,"baseline256_b","completed_with_warnings","cpu_frame_ms",853,853,5.8181,6.7743,3.4577,15.1177
0,"baseline256_b","completed_with_warnings","gpu_frame_ms",853,851,5.75744,6.422528,4.774656,7.09504
0,"baseline256_b","completed_with_warnings","cpu_render_thread_ms",853,853,1.9737,2.4386,1.4118,6.7743
0,"baseline256_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",853,853,14551,14753,14551,62270
0,"baseline256_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",853,853,0.001024,0.0012799999999999999,0.000768,0.576256
0,"baseline256_b","completed_with_warnings","VSM.Allocate_gpu_ms",853,853,0.476416,0.518656,0.434944,0.564736
0,"baseline256_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",853,0,,,,
0,"baseline256_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",853,853,0.035328,0.042752,0.032512,0.64102399999999993
0,"baseline256_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",853,853,0.172544,0.568576,0.15334399999999998,1.140736
0,"baseline256_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",853,853,0,0.000256,0,0.002048
0,"baseline256_b","completed_with_warnings","VSM.PageCull_gpu_ms",853,853,0.153856,0.342528,0.135936,1.122304
0,"baseline256_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",853,853,0.025088,0.030976,0.01792,0.22886399999999998
0,"baseline256_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",853,853,0.014079999999999999,0.015872,0.007168,0.39424
0,"baseline256_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",853,0,,,,
0,"baseline256_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",853,853,0.003328,0.004352,0.001792,0.982784
0,"baseline256_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",853,0,,,,
0,"baseline256_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",853,853,1.8142719999999999,2.3452159999999997,1.46176,2.969856
