observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
6069,47.547368806689342,1306960672431,1,6.268402561545372,5.9579,5.884672,1.7368,14551,0.001024,0.425984,,0.068096,0.262656,0.000256,0.243968,0.004096,0.041728,,0.002048,,1.840128,6069,859,0,
6070,47.553135600907027,1306960732010,1,5.7667940855026245,5.9803,5.858048,1.7395,14551,0.001024,0.42496,,0.068352,0.25907199999999997,0,0.239872,0.007936,0.03968,,0.002048,,1.639168,6070,860,0,
6071,47.558907603458046,1306960791813,1,5.7720025070011616,5.9927,5.743616,1.8355,14551,0.001024,0.422656,,0.068096,0.261376,0,0.242944,0.0076799999999999993,0.03712,,0.002816,,1.4190079999999998,6071,861,0,
6072,47.564801204648525,1306960851740,1,5.8936011046171188,6.2136,5.75104,1.7963,14551,0.001024,0.42879999999999996,,0.068352,0.44288,0.000256,0.255488,0.010239999999999999,0.040192,,0.003584,,2.094592,6072,862,0,
6073,47.570630406746027,1306960913876,1,5.8292020112276077,5.8635,5.881344,1.8641,14551,0.001024,0.423936,,0.073984,0.264192,0,0.245248,0.0076799999999999993,0.040192,,0.002816,,1.813248,6073,863,0,
6074,47.576550503117915,1306960972511,1,5.9200963005423546,5.9378,5.801728,2.0884,14746,0.001024,0.427008,,0.068608,0.258304,0,0.239616,0.003328,0.038655999999999996,,0.003328,,1.4092799999999999,6074,864,0,
6075,47.582397505668929,1306961031889,1,5.8470023795962334,5.8354,5.897984,2.0137,14551,0.001024,0.421888,,0.068864,0.25856,0.000256,0.239616,0.007936,0.040192,,0.003072,,1.8158079999999999,6075,865,0,
6076,47.588157901077096,1306961090243,1,5.7603954337537289,5.8279,5.836544,1.9514,14551,0.001024,0.427008,,0.068352,0.25728,0.000256,0.23807999999999999,0.007424,0.036351999999999995,,0.003328,,1.408256,6076,866,0,
6077,47.594215901360542,1306961148522,1,6.05800049379468,5.7645,5.73824,1.8831,14551,0.001024,0.421376,,0.068352,0.25856,0,0.240384,0.0076799999999999993,0.037376,,0.0025599999999999998,,1.407232,6077,867,0,
6078,47.600125800736961,1306961206167,1,5.90989924967289,6.2366,6.03904,2.4451,14551,0.001024,0.54655999999999993,,0.068352,0.261632,0.000256,0.24243199999999998,0.0076799999999999993,0.038655999999999996,,0.003584,,1.7338879999999999,6078,868,0,
6079,47.605739200680269,1306961268533,1,5.6134001351892948,5.3848,5.873152,1.8894,14753,0.001024,0.42624,,0.068096,0.44032,0.000256,0.239616,0.010496,0.043008,,0.003328,,2.28864,6079,869,0,
6080,47.61122630385487,1306961322381,1,5.4871030151844025,6.1329,5.603072,2.0633,14551,0.001024,0.425984,,0.068352,0.262656,0.000256,0.243968,0.0076799999999999993,0.040192,,0.003584,,1.818624,6080,870,0,
6081,47.616915702947843,1306961383710,1,5.689399316906929,5.9941,5.46304,2.182,14551,0.001024,0.42496,,0.070912,0.260096,0,0.24064,0.0076799999999999993,0.044031999999999995,,0.003072,,1.4996479999999999,6081,871,0,
6082,47.622408000283443,1306961443651,1,5.49229746684432,5.7669,5.667328,1.8728,14551,0.001024,0.425216,,0.062208,0.262144,0.000256,0.24371199999999998,0.0076799999999999993,0.041471999999999995,,0.003328,,1.7087999999999999,6082,872,0,
6083,47.627868105158726,1306961501320,1,5.4601049050688744,5.2788,5.472256,1.8716,14551,0.001024,0.41881599999999997,,0.061952,0.255232,0,0.237568,0.007424,0.040959999999999996,,0.003072,,1.6919039999999999,6083,873,0,
6084,47.633662400793646,1306961554108,1,5.7942955754697323,5.7736,5.422848,1.9134,14551,0.001024,0.42009599999999997,,0.061952,0.256256,0,0.238336,0.003328,0.039168,,0.003584,,1.296128,6084,874,0,
6085,47.639781200396826,1306961611844,1,6.1187995597720146,5.4576,5.792768,2.1381,14551,0.001024,0.42547199999999996,,0.073984,0.264192,0,0.245504,0.0076799999999999993,0.040959999999999996,,0.002816,,2.13376,6085,875,0,
6086,47.645585700113379,1306961666420,1,5.8044996112585068,5.552,6.106368,2.1101,14551,0.0012799999999999999,0.548352,,0.27392,0.259328,0.000256,0.24012799999999998,0.0076799999999999993,0.042496,,0.003584,,2.1373439999999997,6086,876,0,
6087,47.651177104591838,1306961721940,1,5.5914046242833138,5.852,5.788928,2.0506,14551,0.001024,0.42368,,0.068608,0.25779199999999997,0,0.239872,0.0076799999999999993,0.039168,,0.004608,,1.409792,6087,877,0,
6088,47.656924503968249,1306961780460,1,5.7473992928862572,6.2193,5.37088,2.0765,14603,0.001024,0.42214399999999996,,0.068608,0.61772799999999994,0.000256,0.24243199999999998,0.0048639999999999994,0.040959999999999996,,0.003072,,1.599232,6088,878,0,
6089,47.663630902777776,1306961842653,1,6.7063989117741585,5.846,5.716992,2.0865,14551,0.001024,0.42547199999999996,,0.07551999999999999,0.260864,0,0.24064,0.003328,0.041728,,0.003072,,1.408,6089,879,0,
6090,47.669086500850341,1306961901113,1,5.45559823513031,5.6175,6.002432,2.0079,14551,0.001024,0.42547199999999996,,0.068352,1.234176,0,0.24192,0.013568,0.037376,,0.004096,,1.6552959999999999,6090,880,0,
6091,47.674578302154195,1306961957288,1,5.49180107191205,5.8351,5.436672,1.8887,14551,0.001024,0.421632,,0.068352,0.262912,0,0.24371199999999998,0.0076799999999999993,0.040959999999999996,,0.003328,,1.41056,6091,881,0,
6092,47.680898703231293,1306962015639,1,6.320401094853878,6.2105,5.45792,1.9822,14551,0.001024,0.42547199999999996,,0.068096,0.260096,0.000256,0.241664,0.0076799999999999993,0.040448,,0.002304,,1.636096,6092,882,0,
6093,47.687042602040812,1306962077744,1,6.1438987031579018,5.5606,6.304,2.0123,14551,0.001024,0.546304,,0.072191999999999992,0.277248,0,0.242688,0.0084479999999999989,0.036864,,0.003328,,1.6634879999999999,6093,883,0,
6094,47.692965100623582,1306962133350,1,5.9224986471235752,5.3275,5.436672,2.0373,14551,0.001024,0.424448,,0.068352,0.26572799999999996,0,0.246528,0.007168,0.040959999999999996,,0.003584,,1.633792,6094,884,0,
6095,47.698808000283442,1306962186625,1,5.8428994379937649,6.3574,5.903616,2.0685,14551,0.001024,0.427776,,0.06784,0.263424,0,0.24473599999999998,0.008192,0.038144,,0.003584,,1.810176,6095,885,0,
6096,47.704496704931969,1306962250199,1,5.6887045502662659,6.0156,5.822208,1.8075,14753,0.001024,0.422656,,0.068352,0.257024,0.000256,0.238592,0.0076799999999999993,0.037888,,0.002816,,1.8542079999999999,6096,886,0,
6097,47.709967502834466,1306962310355,1,5.470797885209322,5.9862,5.664256,1.8037,14551,0.001024,0.428544,,0.068096,0.25856,0,0.239872,0.007424,0.0384,,0.003328,,1.825024,6097,887,0,
6098,47.715854804421767,1306962370217,1,5.88730163872242,6.035,5.456128,1.7782,14551,0.001024,0.42547199999999996,,0.068352,0.258816,0.000256,0.24012799999999998,0.003328,0.0384,,0.003072,,1.4259199999999999,6098,888,0,
6099,47.721578805272109,1306962430567,1,5.7240007445216179,5.3895,5.864448,1.7588,14551,0.001536,0.425984,,0.068096,0.255488,0.000256,0.23679999999999998,0.007936,0.0384,,0.0038399999999999997,,1.4190079999999998,6099,889,0,
6100,47.727080300453515,1306962484462,1,5.5014952085912228,5.6231,5.693696,1.789,14746,0.001024,0.425216,,0.46336,0.288512,0.000256,0.261632,0.007936,0.040192,,0.004352,,1.8424319999999998,6100,890,0,
6101,47.732772300170069,1306962540693,1,5.6919995695352554,5.8177,5.479424,1.7925,14551,0.001024,0.426496,,0.075264,0.25779199999999997,0,0.238592,0.0076799999999999993,0.037888,,0.003328,,1.860096,6101,891,0,
6102,47.738747406462586,1306962598870,1,5.97510626539588,5.7895,5.676032,1.8644,14551,0.001024,0.42751999999999996,,0.068096,0.46438399999999996,0.000256,0.239872,0.009216,0.038655999999999996,,0.003328,,1.847808,6102,892,0,
6103,47.745111805555553,1306962656765,1,6.36439910158515,5.4328,5.952256,1.815,14551,0.001024,0.53990399999999994,,0.076544,0.261632,0.000256,0.241664,0.006912,0.040959999999999996,,0.003328,,1.423104,6103,893,0,
