case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"bounded512005_a","completed_with_warnings","frame_interval_ms",856,856,5.8670989237725735,6.4172972925007343,3.5309027880430222,14.024000614881516
0,"bounded512005_a","completed_with_warnings","cpu_frame_ms",856,856,5.8495,6.5216,3.4364,14.167
0,"bounded512005_a","completed_with_warnings","gpu_frame_ms",856,856,5.835904,6.32448,5.001216,7.235072
0,"bounded512005_a","completed_with_warnings","cpu_render_thread_ms",856,856,1.8881999999999999,2.182,1.5318,6.0217
0,"bounded512005_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",856,856,14551,14753,14551,49693
0,"bounded512005_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",856,856,0.001024,0.0012799999999999999,0.000768,0.629504
0,"bounded512005_a","completed_with_warnings","VSM.Allocate_gpu_ms",856,856,0.42496,0.54579199999999994,0.412416,0.579328
0,"bounded512005_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",856,0,,,,
0,"bounded512005_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",856,856,0.068352,0.26624,0.061439999999999995,0.77235199999999993
0,"bounded512005_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",856,856,0.26111999999999996,0.67532799999999993,0.250112,1.34016
0,"bounded512005_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",856,856,0,0.000256,0,0.002816
0,"bounded512005_a","completed_with_warnings","VSM.PageCull_gpu_ms",856,856,0.24140799999999998,0.61926399999999993,0.23219199999999998,1.22752
0,"bounded512005_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",856,856,0.0076799999999999993,0.010752,0.003072,0.61926399999999993
0,"bounded512005_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",856,856,0.039424,0.042496,0.024319999999999998,0.065536
0,"bounded512005_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",856,0,,,,
0,"bounded512005_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",856,856,0.003328,0.004352,0.002048,0.024576
0,"bounded512005_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",856,0,,,,
0,"bounded512005_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",856,856,1.643776,2.044416,1.289472,2.458368
