observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
7759,57.611828805272104,1307061325413,1,6.1624008230865,5.843,6.152448,2.2368,14898,0.001024,0.42368,,0.06912,0.745216,0,0.24140799999999998,0.009216,0.040959999999999996,,0.002816,,1.9512319999999999,7759,834,0,
7760,57.617468806689338,1307061383843,1,5.6400015018880367,5.8073,6.057472,2.0037,14551,0.001024,0.423936,,0.068352,0.256256,0.000256,0.237312,0.003328,0.039424,,0.002304,,2.352384,7760,835,0,
7761,57.623940603741495,1307061441916,1,6.47179689258337,6.82,5.703168,1.8608,14551,0.001024,0.42419199999999996,,0.076032,0.27161599999999997,0,0.251648,0.0076799999999999993,0.041215999999999996,,0.003072,,1.55776,7761,836,0,
7762,57.630089002267574,1307061510116,1,6.1483983881771564,5.2813,6.449152,2.0337,14551,0.001024,0.552704,,0.068352,0.64025599999999994,0.000256,0.62105599999999994,0.008192,0.039168,,0.0025599999999999998,,2.235136,7762,837,0,
7763,57.63615070153061,1307061562929,1,6.061699241399765,5.6722,6.126336,2.0695,14551,0.001024,0.426496,,0.068352,0.262144,0,0.24345599999999998,0.008192,0.041215999999999996,,0.002304,,1.555456,7763,838,0,
7764,57.642238903061219,1307061619651,1,6.08820142224431,6.5276,5.96992,1.9527,14551,0.001024,0.421888,,0.073216,0.25856,0,0.23936,0.0076799999999999993,0.042496,,0.002816,,1.426688,7764,839,0,
7765,57.64857220096372,1307061684927,1,6.3332980498671532,5.9765,6.139392,2.0983,14551,0.001024,0.41984,,0.439552,0.27699199999999996,0,0.252416,0.0076799999999999993,0.03968,,0.003072,,1.428992,7765,840,0,
7766,57.65479400510204,1307061744692,1,6.2218043021857738,6.0475,6.322176,2.2949,14551,0.001024,0.421376,,0.067583999999999991,0.256768,0,0.23910399999999998,0.007936,0.039168,,0.0038399999999999997,,1.722624,7766,841,0,
7767,57.660921003401356,1307061805167,1,6.126998458057642,5.9294,6.122752,2.32,14551,0.001024,0.428544,,0.068352,0.80819199999999991,0,0.78976,0.0076799999999999993,0.039168,,0.003072,,2.131968,7767,842,0,
7768,57.66654030612245,1307061864461,1,5.6193028576672077,6.3608,6.181888,2.1208,14551,0.001024,0.42547199999999996,,0.075007999999999991,0.26111999999999996,0.000256,0.241664,0.007936,0.038911999999999995,,0.003072,,1.55776,7768,843,0,
7769,57.672262202380949,1307061928069,1,5.7218964211642742,6.6371,5.608448,2.457,14551,0.001024,0.427776,,0.068608,0.262144,0,0.24345599999999998,0.0076799999999999993,0.037376,,0.002304,,1.561088,7769,844,0,
7770,57.678005505952378,1307061994440,1,5.7433038018643856,5.7388,5.692672,1.991,14746,0.001024,0.42624,,0.06297599999999999,0.254208,0,0.23654399999999998,0.007424,0.036608,,0.002816,,1.6535039999999999,7770,845,0,
7771,57.683654499716553,1307062051828,1,5.6489938870072365,5.7379,5.715456,1.9182,14551,0.001024,0.4224,,0.07168,0.258304,0,0.239616,0.008192,0.040448,,0.003328,,1.9225599999999998,7771,846,0,
7772,57.689217502834467,1307062109207,1,5.56300301104784,5.4668,5.565184,1.9189,14551,0.001024,0.421888,,0.067328,0.25728,0,0.239616,0.0076799999999999993,0.039168,,0.003328,,1.888512,7772,847,0,
7773,57.695644805839,1307062163875,1,6.4273029565811157,5.8369,5.610752,1.9788,14551,0.001024,0.42009599999999997,,0.062464,0.25779199999999997,0.000256,0.239616,0.0076799999999999993,0.039168,,0.004096,,1.948416,7773,848,0,
7774,57.701716999716552,1307062222244,1,6.0721938498318195,5.7454,6.335488,2.2499,14551,0.0012799999999999999,0.429056,,0.068864,0.262656,0,0.24371199999999998,0.007936,0.041984,,0.003072,,2.440448,7774,849,0,
7775,57.707732100340131,1307062279698,1,6.0151005163788795,6.2299,6.0608,2.4426,14551,0.001024,0.42624,,0.075264,0.261632,0,0.24192,0.0048639999999999994,0.038655999999999996,,0.003584,,1.766144,7775,850,0,
7776,57.713393700396821,1307062341997,1,5.6616002693772316,5.936,6.051584,2.0158,14753,0.001024,0.42879999999999996,,0.06784,0.260096,0.000256,0.24192,0.0076799999999999993,0.038911999999999995,,0.0038399999999999997,,1.5580159999999998,7776,851,0,
7777,57.719215802154196,1307062401357,1,5.8221016079187393,6.2837,5.64096,2.1186,14551,0.001024,0.428544,,0.068352,0.259328,0,0.240896,0.003328,0.0384,,0.003072,,1.5528959999999998,7777,852,0,
7778,57.725342106009066,1307062464194,1,6.1263036914169788,5.9823,5.811968,2.317,14551,0.001024,0.42342399999999997,,0.454912,0.306944,0,0.281088,0.0076799999999999993,0.040959999999999996,,0.0038399999999999997,,1.779712,7778,853,0,
7779,57.73295910572562,1307062524017,1,7.6169995591044426,5.4633,6.026752,2.2194,14551,0.427008,0.42675199999999996,,0.068352,0.26111999999999996,0.000256,0.241664,0.0084479999999999989,0.03968,,0.0038399999999999997,,1.808384,7779,854,0,
7780,57.738981405895686,1307062578650,1,6.0223001055419445,5.8972,5.635584,3.6479,14551,0.427008,0.42675199999999996,,0.068352,0.26111999999999996,0.000256,0.241664,0.0084479999999999989,0.03968,,0.0038399999999999997,,1.808384,7780,855,0,
7781,57.745234502551021,1307062637622,1,6.2530967406928539,9.1385,5.795584,2.1944,14551,0.001024,0.427776,,0.070144,0.255232,0,0.236288,0.007424,0.03456,,0.0025599999999999998,,1.796352,7781,856,0,
7782,57.751043905895692,1307062729007,1,5.8094034902751446,6.3155,6.224896,2.1885,14551,0.0012799999999999999,0.550144,,0.452352,0.266752,0,0.24192,0.0038399999999999997,0.042752,,0.0025599999999999998,,1.769216,7782,857,0,
7783,57.757309700963717,1307062792162,1,6.2657948583364487,4.4925,5.70496,1.9114,14551,0.0012799999999999999,0.42675199999999996,,0.068352,0.260608,0,0.24243199999999998,0.003328,0.040448,,0.002816,,1.559296,7783,858,0,
7784,57.763492906746031,1307062837087,1,6.1832056380808353,6.484,6.331136,2.141,14551,0.001024,0.426496,,0.076032,0.258048,0,0.238592,0.0076799999999999993,0.03968,,0.002304,,1.775872,7784,859,0,
7785,57.769750106292513,1307062901927,1,6.2571996822953224,5.5325,6.167808,2.0674,14551,0.001024,0.428288,,0.068096,0.26367999999999997,0,0.245248,0.0076799999999999993,0.040704,,0.002304,,1.780992,7785,860,0,
7786,57.775962606292516,1307062957252,1,6.2124999240040779,6.0928,6.159872,2.1929,14551,0.001024,0.42291199999999995,,0.068096,0.26367999999999997,0,0.244992,0.005888,0.03968,,0.002048,,2.23744,7786,861,0,
7787,57.781619600340136,1307063018180,1,5.6569939479231834,6.3335,6.18752,1.973,14551,0.001024,0.426496,,0.068096,0.26367999999999997,0,0.244992,0.0076799999999999993,0.040959999999999996,,0.002304,,2.233088,7787,862,0,
7788,57.787358000283447,1307063081515,1,5.7383999228477478,5.8126,5.723392,2.5392,14551,0.001024,0.427264,,0.068352,0.260096,0.000256,0.24140799999999998,0.0076799999999999993,0.038911999999999995,,0.003328,,1.761024,7788,863,0,
7789,57.79378080357143,1307063139641,1,6.422803271561861,6.3273,5.656064,2.7257,14603,0.001024,0.425216,,0.068864,0.260352,0.000256,0.24192,0.0076799999999999993,0.0384,,0.0038399999999999997,,1.783552,7789,864,0,
7790,57.799472604875284,1307063202914,1,5.6918011978268623,5.5748,6.457856,2.3226,14551,0.001024,0.425984,,0.068864,0.25907199999999997,0,0.24115199999999998,0.007424,0.038911999999999995,,0.003072,,1.5613439999999998,7790,865,0,
7791,57.80534760487528,1307063258662,1,5.8749997988343239,5.7903,5.602048,2.2162,14551,0.001024,0.425984,,0.068096,0.259584,0,0.24115199999999998,0.0076799999999999993,0.038911999999999995,,0.0025599999999999998,,1.9694079999999998,7791,866,0,
