case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"bounded512005_b","completed_with_warnings","frame_interval_ms",834,834,6.0107994358986616,6.5982001833617687,4.9148951657116413,11.849801987409592
0,"bounded512005_b","completed_with_warnings","cpu_frame_ms",834,834,5.9752,6.8331,4.1848,12.0804
0,"bounded512005_b","completed_with_warnings","gpu_frame_ms",834,833,5.972736,6.544384,4.972288,7.049984
0,"bounded512005_b","completed_with_warnings","cpu_render_thread_ms",834,834,2.00265,2.5563,1.3806,5.5722
0,"bounded512005_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",834,834,14551,14753,14551,49693
0,"bounded512005_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",834,834,0.001024,0.0012799999999999999,0.000768,0.593664
0,"bounded512005_b","completed_with_warnings","VSM.Allocate_gpu_ms",834,834,0.42547199999999996,0.542976,0.41753599999999996,0.558592
0,"bounded512005_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",834,0,,,,
0,"bounded512005_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",834,834,0.068352,0.273152,0.061439999999999995,0.93055999999999994
0,"bounded512005_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",834,834,0.260864,0.65664,0.25088,1.313024
0,"bounded512005_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",834,834,0,0.000256,0,0.002048
0,"bounded512005_b","completed_with_warnings","VSM.PageCull_gpu_ms",834,834,0.24192,0.603904,0.23347199999999999,1.294592
0,"bounded512005_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",834,834,0.0076799999999999993,0.010239999999999999,0.003072,0.542208
0,"bounded512005_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",834,834,0.039424,0.04224,0.021504,0.068352
0,"bounded512005_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",834,0,,,,
0,"bounded512005_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",834,834,0.003328,0.004352,0.002048,0.44134399999999996
0,"bounded512005_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",834,0,,,,
0,"bounded512005_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",834,834,1.7873919999999999,2.250496,1.425408,2.6529279999999997
