case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"bounded512020_a","completed_with_warnings","frame_interval_ms",885,885,5.6429989635944366,6.2379040755331516,3.4711025655269623,14.323200099170208
0,"bounded512020_a","completed_with_warnings","cpu_frame_ms",885,885,5.6329,6.3857,3.379,14.0106
0,"bounded512020_a","completed_with_warnings","gpu_frame_ms",885,884,5.61024,6.159616,4.843776,7.375104
0,"bounded512020_a","completed_with_warnings","cpu_render_thread_ms",885,885,1.9381,2.3594,1.5341,6.1549
0,"bounded512020_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",885,885,14551,14753,14551,49693
0,"bounded512020_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",885,885,0.001024,0.001024,0.000768,0.387328
0,"bounded512020_a","completed_with_warnings","VSM.Allocate_gpu_ms",885,885,0.423168,0.542208,0.41420799999999997,0.552704
0,"bounded512020_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",885,0,,,,
0,"bounded512020_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",885,885,0.062208,0.072191999999999992,0.061439999999999995,0.57856
0,"bounded512020_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",885,885,0.25907199999999997,0.628992,0.248576,0.863232
0,"bounded512020_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",885,885,0,0.000256,0,0.0097279999999999988
0,"bounded512020_a","completed_with_warnings","VSM.PageCull_gpu_ms",885,885,0.240896,0.46643199999999996,0.232704,0.75468799999999991
0,"bounded512020_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",885,885,0.0076799999999999993,0.009984,0.003072,0.38246399999999997
0,"bounded512020_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",885,885,0.038911999999999995,0.041984,0.009216,0.06912
0,"bounded512020_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",885,0,,,,
0,"bounded512020_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",885,885,0.003328,0.004096,0.002048,0.69708799999999993
0,"bounded512020_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",885,0,,,,
0,"bounded512020_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",885,885,1.6250879999999999,2.0339199999999997,1.384704,2.427136
