observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
9432,67.670030902777782,1307161899327,1,5.8122025802731514,5.9639,6.22592,1.8816,14551,0.001024,0.40371199999999996,,0.069887999999999992,0.26239999999999997,0.000256,0.24192,0.006144,0.040959999999999996,,0.0038399999999999997,,1.8421759999999998,9432,839,0,
9433,67.676062400793654,1307161958966,1,6.031497847288847,6.1393,5.796096,1.894,14551,0.001024,0.4032,,0.061952,0.258816,0,0.24064,0.0076799999999999993,0.040192,,0.0038399999999999997,,1.6166399999999999,9433,840,0,
9434,67.681835501700675,1307162020359,1,5.7731010019779205,6.3051,6.01856,2.5503,14551,0.001024,0.40371199999999996,,0.069632,0.257024,0,0.23782399999999998,0.007424,0.037632,,0.0025599999999999998,,1.829376,9434,841,0,
9435,67.687985402494334,1307162083410,1,6.1499006114900112,5.943,5.74592,1.8696,14551,0.001024,0.39833599999999997,,0.062208,0.258048,0.000256,0.24012799999999998,0.008192,0.038655999999999996,,0.003328,,1.631232,9435,842,0,
9436,67.6943538052721,1307162142840,1,6.3684028573334217,6.0015,6.12864,1.8666,14551,0.001024,0.40038399999999996,,0.062208,0.45055999999999996,0,0.431872,0.0076799999999999993,0.0384,,0.003584,,1.809664,9436,843,0,
9437,67.700507001133786,1307162202855,1,6.1531956307590008,5.8706,6.343168,1.8691,14551,0.001024,0.402176,,0.068352,0.261376,0,0.242176,0.007424,0.039168,,0.003072,,2.187776,9437,844,0,
9438,67.707119706632653,1307162261561,1,6.6127055324614048,6.0273,6.131456,1.923,14551,0.0012799999999999999,0.403968,,0.068352,0.709376,0.000256,0.690176,0.003328,0.038144,,0.003328,,1.7768959999999998,9438,845,0,
9439,67.712956200396818,1307162321834,1,5.83649380132556,6.5164,6.596608,2.071,14551,0.001024,0.40371199999999996,,0.068352,0.66867199999999993,0.000256,0.244224,0.0076799999999999993,0.039424,,0.004096,,2.004736,9439,846,0,
9440,67.719576799886624,1307162386998,1,6.6205994226038456,6.0508,5.806592,1.9576,14753,0.001024,0.40422399999999997,,0.062208,0.256,0,0.23782399999999998,0.0076799999999999993,0.040448,,0.0038399999999999997,,1.621248,9440,847,0,
9441,67.725262606292517,1307162447506,1,5.6858062744140625,6.6553,6.604288,2.1202,14551,0.001024,0.40422399999999997,,0.638208,0.278784,0,0.252416,0.0076799999999999993,0.039168,,0.0025599999999999998,,1.8158079999999999,9441,848,0,
