case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"bounded512020_b","completed_with_warnings","frame_interval_ms",843,843,5.9380033053457737,6.4602959901094437,4.9008005298674107,10.818403214216232
0,"bounded512020_b","completed_with_warnings","cpu_frame_ms",843,843,5.943,6.6611,4.5782,10.8986
0,"bounded512020_b","completed_with_warnings","gpu_frame_ms",843,842,5.90528,6.405632,4.8768,7.005184
0,"bounded512020_b","completed_with_warnings","cpu_render_thread_ms",843,843,1.9111,2.1683,1.5158,6.4298
0,"bounded512020_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",843,843,14551,14753,14551,49693
0,"bounded512020_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",843,843,0.001024,0.001024,0.000768,0.44851199999999997
0,"bounded512020_b","completed_with_warnings","VSM.Allocate_gpu_ms",843,843,0.40243199999999996,0.48768,0.395264,0.496384
0,"bounded512020_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",843,0,,,,
0,"bounded512020_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",843,843,0.062464,0.081152,0.061439999999999995,0.74905599999999994
0,"bounded512020_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",843,843,0.259328,0.687616,0.25190399999999996,1.5999999999999999
0,"bounded512020_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",843,843,0,0.000256,0,0.0048639999999999994
0,"bounded512020_b","completed_with_warnings","VSM.PageCull_gpu_ms",843,843,0.24064,0.616448,0.23321599999999998,1.581824
0,"bounded512020_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",843,843,0.0076799999999999993,0.010496,0.003072,0.443136
0,"bounded512020_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",843,843,0.039168,0.041728,0.015616,0.46847999999999995
0,"bounded512020_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",843,0,,,,
0,"bounded512020_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",843,843,0.003328,0.004352,0.002048,0.009984
0,"bounded512020_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",843,0,,,,
0,"bounded512020_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",843,843,2.0019199999999997,2.4819199999999997,1.6130559999999998,2.781952
