observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
2537,27.436292701247165,1306759587964,1,5.2439980208873749,6.2415,5.210112,2.1244,14551,0.001024,0.358656,,0.062208,0.23807999999999999,0,0.22067199999999998,0.007424,0.03712,,0.004096,,1.4545919999999999,2537,899,0,
2538,27.44214810090703,1306759650379,1,5.8553996495902538,5.0196,4.938752,1.9324,14551,0.001024,0.42009599999999997,,0.062208,0.23807999999999999,0.000256,0.22016,0.0076799999999999993,0.03712,,0.003328,,1.67424,2538,900,0,
2539,27.44716900510204,1306759700575,1,5.02090435475111,5.3297,5.833984,2.2312,14551,0.001024,0.356352,,0.062464,0.24115199999999998,0.000256,0.223488,0.007936,0.038911999999999995,,0.003584,,1.840128,2539,901,0,
2540,27.452822902494329,1306759753872,1,5.653897300362587,5.1414,4.999424,1.9823,14551,0.001024,0.356608,,0.062208,0.237568,0.000256,0.219392,0.007424,0.038655999999999996,,0.002816,,1.8124799999999999,2540,902,0,
2541,27.458441206065757,1306759805286,1,5.6183035485446453,6.3829,5.63072,1.8466,14551,0.001024,0.353792,,0.064,0.240896,0,0.222464,0.007424,0.0384,,0.004096,,1.839872,2541,903,0,
2542,27.464303302154192,1306759869115,1,5.8620958589017391,4.4112,5.6,2.0992,14551,0.000768,0.355072,,0.061952,0.239872,0,0.22144,0.0076799999999999993,0.039168,,0.0025599999999999998,,1.45152,2542,904,0,
2543,27.470210501700681,1306759913227,1,5.9071993455290794,5.8978,5.846528,1.9563,14551,0.001024,0.3584,,0.256,0.245248,0,0.221184,0.007936,0.03712,,0.003328,,1.8406399999999998,2543,905,0,
2544,27.47621160005669,1306759972205,1,6.0010985471308231,5.7399,5.879808,2.2882,14551,0.001024,0.42214399999999996,,0.061952,0.236032,0,0.217856,0.003072,0.037376,,0.0038399999999999997,,1.450496,2544,906,0,
2545,27.481971605725622,1306760029604,1,5.7600056752562523,6.0349,5.917952,2.1034,14551,0.000768,0.421888,,0.062464,0.24192,0,0.223744,0.007936,0.039168,,0.003072,,1.81504,2545,907,0,
2546,27.487426601473921,1306760089953,1,5.4549956694245338,6.1524,5.737472,1.9909,14551,0.001024,0.3584,,0.062208,0.23679999999999998,0.000256,0.218112,0.0076799999999999993,0.035328,,0.002304,,1.4525439999999998,2546,908,0,
