case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"pool512_a","completed_with_warnings","frame_interval_ms",900,900,5.580799886956811,6.0331989079713821,3.8171058986335993,12.6545000821352
0,"pool512_a","completed_with_warnings","cpu_frame_ms",900,900,5.5446500000000007,6.318,3.1819,12.8927
0,"pool512_a","completed_with_warnings","gpu_frame_ms",900,899,5.53088,5.952768,4.622592,6.435072
0,"pool512_a","completed_with_warnings","cpu_render_thread_ms",900,900,1.8929,2.2002,1.6302,5.7586
0,"pool512_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",900,900,14551,14753,14551,56613
0,"pool512_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",900,900,0.001024,0.001024,0.000768,0.390656
0,"pool512_a","completed_with_warnings","VSM.Allocate_gpu_ms",900,900,0.35712,0.41958399999999996,0.350464,0.426496
0,"pool512_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",900,0,,,,
0,"pool512_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",900,900,0.062208,0.070912,0.061439999999999995,0.543744
0,"pool512_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",900,900,0.241664,0.606208,0.23423999999999998,0.90291199999999994
0,"pool512_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",900,900,0,0.000256,0,0.000256
0,"pool512_a","completed_with_warnings","VSM.PageCull_gpu_ms",900,900,0.22323199999999999,0.423936,0.21606399999999998,0.884992
0,"pool512_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",900,900,0.0076799999999999993,0.010496,0.003072,0.205312
0,"pool512_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",900,900,0.039168,0.041984,0.034048,0.0448
0,"pool512_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",900,0,,,,
0,"pool512_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",900,900,0.003328,0.004096,0.002048,0.20019199999999998
0,"pool512_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",900,0,,,,
0,"pool512_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",900,900,1.6650239999999998,2.142464,1.4464,2.5126399999999998
