observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
11147,77.720260806405889,1307262422158,1,5.3668012842535973,5.9101,5.353984,1.9294,14551,0.001024,0.3776,,0.068352,0.247552,0,0.22912,0.0076799999999999993,0.039168,,0.002816,,1.89312,11147,872,0,
11148,77.7264632015306,1307262481259,1,6.2023950740695,5.5112,5.335552,1.8891,14753,0.001024,0.380416,,0.068096,0.244992,0.000256,0.226816,0.0076799999999999993,0.036351999999999995,,0.003584,,1.469696,11148,873,0,
11149,77.731839902210879,1307262536371,1,5.3767007775604725,5.4275,6.170624,1.8548,14551,0.001024,0.37990399999999996,,0.068096,0.63359999999999994,0,0.229376,0.00896,0.044031999999999995,,0.003072,,1.9043839999999999,11149,874,0,
11150,77.737705201247167,1307262590646,1,5.8652991428971291,5.2468,5.372928,1.8941,14603,0.001024,0.378112,,0.068096,0.24371199999999998,0,0.225792,0.008192,0.039936,,0.0038399999999999997,,1.709824,11150,875,0,
11151,77.743286203231293,1307262643114,1,5.5810022167861462,6.4643,5.850368,2.1196,14551,0.001024,0.3776,,0.068864,0.246528,0,0.228096,0.0076799999999999993,0.0384,,0.003584,,1.6921599999999999,11151,876,0,
11152,77.749014002267572,1307262707757,1,5.7277991436421871,5.3981,5.556736,1.8263,14551,0.001024,0.383744,,0.268544,0.25190399999999996,0.000256,0.23219199999999998,0.0076799999999999993,0.03968,,0.0038399999999999997,,1.883648,11152,877,0,
11153,77.754276906179129,1307262761738,1,5.2629038691520691,5.562,5.700352,1.7614,14551,0.001024,0.47769599999999995,,0.068352,0.243968,0,0.225792,0.0076799999999999993,0.0384,,0.0025599999999999998,,1.433088,11153,878,0,
11154,77.759596201814063,1307262817358,1,5.3192954510450363,5.5424,5.23392,1.8277,14551,0.001024,0.3776,,0.062208,0.24345599999999998,0,0.225792,0.007424,0.038655999999999996,,0.0038399999999999997,,1.351168,11154,879,0,
11155,77.76490130385487,1307262872782,1,5.3051020950078964,5.9625,5.244416,2.002,14551,0.001024,0.380416,,0.061952,0.245504,0.000256,0.22758399999999998,0.007424,0.040448,,0.0038399999999999997,,1.3491199999999999,11155,880,0,
11156,77.7703669005102,1307262932407,1,5.4655964486300945,6.4679,5.358592,1.8319,14551,0.001024,0.381696,,0.06297599999999999,0.24140799999999998,0,0.22323199999999999,0.007424,0.039168,,0.0038399999999999997,,1.913344,11156,881,0,
11157,77.775560402494321,1307262997086,1,5.1935021765530109,4.0048,5.445376,2.1696,14551,0.001024,0.379136,,0.06656,0.24703999999999998,0.000256,0.22758399999999998,0.003328,0.040959999999999996,,0.002304,,1.349632,11157,882,0,
11158,77.780962202380948,1307263037134,1,5.40179992094636,5.8996,5.171712,2.0095,14551,0.000768,0.37734399999999996,,0.062464,0.246528,0,0.22886399999999998,0.010496,0.038655999999999996,,0.004096,,1.565184,11158,883,0,
11159,77.786767800453518,1307263096130,1,5.8055981062352657,4.7587,5.368064,1.8363,14551,0.001024,0.3776,,0.06272,0.24678399999999998,0,0.229376,0.0076799999999999993,0.040192,,0.003072,,1.741312,11159,884,0,
11160,77.792991801303856,1307263143717,1,6.2240008264780045,5.1224,5.791744,1.8033,14551,0.001024,0.382208,,0.062464,0.623104,0,0.228096,0.00896,0.040448,,0.0025599999999999998,,1.76,11160,885,0,
11161,77.799165802154192,1307263194941,1,6.1740009114146233,5.416,6.192128,1.7377,14551,0.001024,0.380672,,0.075264,0.246272,0.000256,0.22655999999999998,0.0076799999999999993,0.039168,,0.004096,,1.8572799999999998,11161,886,0,
11162,77.805165199829929,1307263249101,1,5.999397486448288,5.7995,6.166528,1.8899,14551,0.001024,0.37888,,0.07424,0.24703999999999998,0.000256,0.22860799999999998,0.0076799999999999993,0.040704,,0.002816,,1.870336,11162,887,0,
11163,77.810514406179138,1307263307096,1,5.3492062725126743,6.2477,5.970432,1.8878,14551,0.001024,0.379392,,0.068352,0.628992,0,0.225536,0.0048639999999999994,0.043264,,0.0038399999999999997,,1.895424,11163,888,0,
11164,77.816292106009072,1307263369573,1,5.7776998728513718,6.2954,5.32736,2.0441,14551,0.0012799999999999999,0.381696,,0.070912,0.249856,0,0.230144,0.007936,0.040959999999999996,,0.003328,,1.4691839999999998,11164,889,0,
11165,77.822210600907027,1307263432527,1,5.9184948913753033,6.2512,5.755392,1.9215,14753,0.001024,0.381696,,0.461312,0.26828799999999997,0.000256,0.24703999999999998,0.007936,0.040959999999999996,,0.004096,,1.46816,11165,890,0,
11166,77.827647604875281,1307263495039,1,5.4370039142668247,5.4725,5.894144,2.0172,14551,0.001024,0.47564799999999996,,0.47231999999999996,0.28415999999999997,0,0.258048,0.009472,0.036864,,0.004352,,1.8959359999999998,11166,891,0,
11167,77.833054804421764,1307263549764,1,5.40719972923398,5.5633,5.42464,2.1205,14551,0.001024,0.380416,,0.07424,0.245248,0.000256,0.227328,0.0076799999999999993,0.040448,,0.0025599999999999998,,1.894656,11167,892,0,
11168,77.839342403628109,1307263605397,1,6.2875989824533463,6.1243,5.390848,2.1711,14551,0.001024,0.382976,,0.068864,0.250624,0,0.231936,0.007424,0.040192,,0.0025599999999999998,,1.862912,11168,893,0,
11169,77.845148306405889,1307263666640,1,5.805902648717165,5.6395,6.255872,2.2542,14551,0.001024,0.380416,,0.074495999999999993,0.70297599999999993,0,0.278784,0.008192,0.038911999999999995,,0.003584,,1.896704,11169,894,0,
11170,77.851518204365078,1307263723035,1,6.3698980957269669,4.9562,5.787648,2.4705,14551,0.001024,0.379392,,0.075007999999999991,0.25190399999999996,0,0.231936,0.004096,0.041471999999999995,,0.0038399999999999997,,1.467392,11170,895,0,
11171,77.857223604024938,1307263772597,1,5.7053994387388229,6.4421,6.262784,1.8722,14551,0.0012799999999999999,0.38272,,0.068096,0.251648,0,0.23347199999999999,0.011776,0.041728,,0.003328,,1.7121279999999999,11171,896,0,
11172,77.862870705782314,1307263837018,1,5.6471019051969051,5.5666,5.770496,2.0044,14551,0.001024,0.38323199999999996,,0.068608,0.635904,0,0.233984,0.00896,0.040959999999999996,,0.003328,,1.694464,11172,897,0,
11173,77.868417602040807,1307263892684,1,5.5468962527811527,6.2872,5.62048,2.0259,14746,0.001024,0.38323199999999996,,0.068608,0.24908799999999998,0,0.23091199999999998,0.007936,0.038655999999999996,,0.0038399999999999997,,1.705728,11173,898,0,
11174,77.873777203798184,1307263955556,1,5.3596016950905323,6.4553,5.522176,1.9003,14551,0.001024,0.38016,,0.075264,0.248576,0.000256,0.22886399999999998,0.007424,0.041471999999999995,,0.003584,,1.7054719999999999,11174,899,0,
