case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"pool512_b","completed_with_warnings","frame_interval_ms",870,870,5.7667482178658247,6.3131945207715034,4.8111039213836193,12.540199793875217
0,"pool512_b","completed_with_warnings","cpu_frame_ms",870,870,5.7531,6.4709,3.5946,12.6947
0,"pool512_b","completed_with_warnings","gpu_frame_ms",870,868,5.724672,6.244096,4.788992,7.040512
0,"pool512_b","completed_with_warnings","cpu_render_thread_ms",870,870,1.9712,2.4705,1.4612,6.1902
0,"pool512_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",870,870,14551,14753,14551,49693
0,"pool512_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",870,870,0.001024,0.0012799999999999999,0.000768,0.401408
0,"pool512_b","completed_with_warnings","VSM.Allocate_gpu_ms",870,870,0.380928,0.471808,0.370176,0.48
0,"pool512_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",870,0,,,,
0,"pool512_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",870,870,0.068352,0.26700799999999997,0.061695999999999994,0.762624
0,"pool512_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",870,870,0.247808,0.63769599999999993,0.237056,1.097472
0,"pool512_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",870,870,0,0.000256,0,0.000256
0,"pool512_b","completed_with_warnings","VSM.PageCull_gpu_ms",870,870,0.22860799999999998,0.434944,0.219136,1.0795519999999998
0,"pool512_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",870,870,0.0076799999999999993,0.010239999999999999,0.003072,0.541696
0,"pool512_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",870,870,0.039424,0.042752,0.032256,0.058879999999999995
0,"pool512_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",870,0,,,,
0,"pool512_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",870,870,0.003328,0.004352,0.002048,0.025599999999999998
0,"pool512_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",870,0,,,,
0,"pool512_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",870,870,1.71328,2.2878719999999997,1.343232,2.7243519999999997
