observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
680,18.119789002267574,1309764094466,1,5.4250000976026058,6.382,5.744896,2.3023,14551,0.001024,0.455424,,0.03328,0.158208,0,0.13952,0.022784,0.014591999999999999,,0.002048,,2.01344,680,678,0,
681,18.125462599206347,1309764158286,1,5.6735971011221409,5.0274,5.389312,2.0992,14551,0.001024,0.49356799999999995,,0.033535999999999996,0.17177599999999998,0,0.153088,0.023808,0.015359999999999999,,0.002304,,1.707264,681,679,0,
682,18.130590504535146,1309764208560,1,5.1279054023325443,5.8378,5.653504,2.4075,14551,0.001024,0.49279999999999996,,0.033791999999999996,0.162816,0.000256,0.14464,0.027136,0.013824,,0.002304,,1.501952,682,680,0,
683,18.136457100340134,1309764266938,1,5.8665960095822811,5.9071,5.108736,2.1099,14551,0.000768,0.45721599999999996,,0.033535999999999996,0.167936,0.000256,0.149504,0.024832,0.014591999999999999,,0.001792,,1.7958399999999999,683,681,0,
684,18.141848604024943,1309764326009,1,5.3915036842226982,5.0137,5.286656,1.892,14753,0.001024,0.49356799999999995,,0.035072,0.17049599999999998,0,0.151808,0.028928,0.015359999999999999,,0.002304,,1.858048,684,682,0,
685,18.147454102891157,1309764376146,1,5.6054987944662571,5.502,5.3568,2.253,14551,0.001024,0.454912,,0.033024,0.173312,0.000256,0.155136,0.019712,0.015104,,0.002048,,1.9627519999999998,685,683,0,
686,18.153348001700678,1309764431166,1,5.8938986621797085,5.7638,5.586176,1.9715,14551,0.001024,0.49407999999999996,,0.033024,0.15744,0,0.139008,0.027903999999999998,0.013824,,0.002304,,1.787648,686,684,0,
687,18.158463300736962,1309764488804,1,5.1152990199625492,5.3428,5.87008,1.9957,14551,0.001024,0.548864,,0.033791999999999996,0.172032,0,0.154112,0.018944,0.016128,,0.002048,,1.3055999999999999,687,685,0,
688,18.165192701247165,1309764542232,1,6.7294007167220116,5.5581,5.092864,2.3779,14551,0.001024,0.456192,,0.03328,0.15744,0,0.139264,0.023295999999999997,0.016384,,0.002048,,1.5045119999999998,688,686,0,
689,18.171093601190474,1309764597813,1,5.90089987963438,5.8944,6.706688,2.062,14551,0.001024,0.49535999999999997,,0.039936,0.186112,0,0.15001599999999998,0.026112,0.012288,,0.002816,,1.541888,689,687,0,
690,18.176762400793649,1309764656757,1,5.6687993928790092,5.0934,5.8920959999999996,2.0247,14746,0.001024,0.49203199999999997,,0.03328,0.17177599999999998,0.000256,0.1536,0.026368,0.014079999999999999,,0.002048,,1.311488,690,688,0,
691,18.18242689909297,1309764707691,1,5.6644980795681477,6.8352,5.651456,2.1246,14551,0.001024,0.460032,,0.033024,0.166656,0,0.14899199999999999,0.023808,0.013824,,0.002048,,1.5211519999999998,691,689,0,
692,18.188218105158729,1309764776043,1,5.7912059128284454,6.031,5.63584,2.0499,14551,0.001024,0.493056,,0.033791999999999996,0.16819199999999998,0,0.149248,0.029696,0.014848,,0.002048,,1.3086719999999998,692,690,0,
693,18.19415960175737,1309764836353,1,5.9414966963231564,5.5139,5.776896,2.6429,14551,0.001024,0.458752,,0.033024,0.17152,0,0.153088,0.018175999999999998,0.015872,,0.002304,,1.6532479999999998,693,691,0,
694,18.199468303571429,1309764891492,1,5.3087016567587852,5.9792,5.924864,2.1346,14551,0.001024,0.492288,,0.034048,0.15616,0,0.13824,0.028416,0.014079999999999999,,0.002048,,1.63968,694,692,0,
695,18.204909403344672,1309764951284,1,5.4410998709499836,5.3491,5.049856,2.0356,14551,0.001024,0.46054399999999995,,0.033535999999999996,0.17152,0.000256,0.153088,0.019968,0.013312,,0.002048,,1.649664,695,693,0,
696,18.210476899092971,1309765004775,1,5.5674957111477852,5.9583,5.41952,2.1122,14603,0.001024,0.453632,,0.034048,0.163328,0,0.14464,0.023039999999999998,0.013824,,0.002304,,1.773312,696,694,0,
697,18.21627100340136,1309765064358,1,5.7941041886806488,5.4991,5.535232,2.0592,14551,0.001024,0.493312,,0.033791999999999996,0.172032,0,0.1536,0.023808,0.014079999999999999,,0.002048,,1.3104639999999999,697,695,0,
698,18.22197570153061,1309765119349,1,5.7046981528401375,5.7437,5.779456,2.2948,14551,0.001024,0.494592,,0.034048,0.173056,0,0.155136,0.026879999999999998,0.014336,,0.001792,,1.8155519999999998,698,696,0,
699,18.227660204081634,1309765176786,1,5.6845024228096008,5.7319,5.70112,2.1504,14551,0.001024,0.457472,,0.039168,0.16896,0,0.15001599999999998,0.027392,0.015359999999999999,,0.002304,,1.800192,699,697,0,
700,18.23366429988662,1309765234105,1,6.0040960088372231,5.5542,5.659904,2.3471,14551,0.000768,0.49612799999999996,,0.033535999999999996,0.16614399999999999,0,0.147456,0.029696,0.015872,,0.002048,,1.851904,700,698,0,
701,18.239745401077098,1309765289647,1,6.081101018935442,5.8843,5.978624,1.9696,14753,0.000768,0.45696,,0.03328,0.170752,0,0.152576,0.017664,0.015104,,0.002048,,1.309952,701,699,0,
702,18.245679400510202,1309765348490,1,5.9339995495975018,5.5454,6.066432,2.1445,14551,0.001024,0.49075199999999997,,0.033791999999999996,0.155136,0.000256,0.136192,0.028159999999999998,0.014591999999999999,,0.002048,,1.3104639999999999,702,700,0,
703,18.251594005102039,1309765403944,1,5.9146047569811344,5.5798,5.903104,1.9881,14551,0.001024,0.46105599999999997,,0.033535999999999996,0.16896,0.000256,0.150528,0.523008,0.015616,,0.0025599999999999998,,1.507072,703,701,0,
704,18.257359899376418,1309765459742,1,5.765894427895546,6.5098,5.890816,2.1853,61427,0.001024,0.45849599999999996,,0.038655999999999996,0.17279999999999998,0,0.15462399999999998,0.023808,0.012032,,0.0025599999999999998,,1.750784,704,702,0,
705,18.263482298752834,1309765524840,1,6.1223995871841908,6.07,5.743872,2.7485,14935,0.001024,0.492288,,0.034048,0.17638399999999999,0,0.157184,0.025088,0.016895999999999998,,0.001792,,1.5060479999999998,705,703,0,
706,18.26920179988662,1309765585540,1,5.7195010595023632,6.0837,6.108672,2.4687,23261,0.001024,0.493824,,0.038911999999999995,0.167936,0,0.147456,0.028416,0.012032,,0.0025599999999999998,,1.7018879999999998,706,704,0,
707,18.275226601473921,1309765646377,1,6.0248016379773617,5.6658,5.694976,2.4418,14551,0.001024,0.45516799999999996,,0.033535999999999996,0.17279999999999998,0.000256,0.154112,0.024064,0.014848,,0.002048,,1.900032,707,705,0,
708,18.281348604024942,1309765703035,1,6.1220023781061172,5.9878,5.992704,2.5105,14551,0.001024,0.495616,,0.033535999999999996,0.652032,0.000256,0.1472,0.037888,0.0192,,0.002304,,2.296576,708,706,0,
709,18.287071201814058,1309765762913,1,5.72259770706296,5.2538,6.101504,2.209,14551,0.001024,0.45644799999999996,,0.033024,0.17382399999999998,0,0.15462399999999998,0.020735999999999997,0.013056,,0.002048,,1.955328,709,707,0,
710,18.293066900510205,1309765815451,1,5.9956987388432026,6.3522,5.702656,1.8436,14551,0.001024,0.495872,,0.033535999999999996,0.1536,0,0.135424,0.027648,0.015359999999999999,,0.002304,,1.811712,710,708,0,
711,18.298949000850339,1309765878973,1,5.8821002021431923,5.6629,5.97248,2.3987,14551,0.001024,0.4608,,0.032768,0.172032,0,0.153856,0.020479999999999998,0.015104,,0.002048,,2.351616,711,709,0,
712,18.304698299319728,1309765935602,1,5.7492982596158981,5.811,5.87136,2.0711,14551,0.001024,0.460288,,0.03328,0.17177599999999998,0,0.153088,0.024064,0.015359999999999999,,0.001792,,1.739264,712,710,0,
713,18.310795202664398,1309765993712,1,6.09690323472023,6.1876,5.726464,1.9312,14551,0.001024,0.493824,,0.032768,0.17792,0.000256,0.15923199999999998,0.023808,0.014591999999999999,,0.002304,,1.314816,713,711,0,
714,18.316609800170067,1309766055588,1,5.8145974762737751,5.65,6.08256,1.9901,14551,0.001024,0.49279999999999996,,0.03328,0.16127999999999998,0,0.142592,0.026368,0.015104,,0.002048,,1.822976,714,712,0,
715,18.32234690334467,1309766112088,1,5.7371030561625957,5.7975,5.786112,2.1503,14551,0.001024,0.454912,,0.033791999999999996,0.172032,0.000256,0.153856,0.022015999999999997,0.014848,,0.002048,,1.7989119999999998,715,713,0,
716,18.328018501984126,1309766170063,1,5.6715984828770161,6.5977,5.71392,2.0947,14746,0.001024,0.49407999999999996,,0.038911999999999995,0.17024,0,0.152064,0.029183999999999998,0.015359999999999999,,0.002048,,2.321152,716,714,0,
717,18.333944401927436,1309766236040,1,5.9258998371660709,5.8452,5.65504,2.5616,14551,0.001024,0.458752,,0.034048,0.17049599999999998,0.000256,0.152576,0.019455999999999998,0.014336,,0.002304,,2.292224,717,715,0,
718,18.339703798185941,1309766294492,1,5.7593961246311665,5.3801,5.818112,2.0216,14753,0.001024,0.496384,,0.033535999999999996,0.155136,0,0.136192,0.028159999999999998,0.013568,,0.002304,,2.308096,718,716,0,
719,18.345553401360544,1309766348293,1,5.8496030978858471,5.8383,5.822976,2.1914,14551,0.001024,0.45849599999999996,,0.034304,0.167936,0,0.14976,0.019968,0.017408,,0.001792,,2.465024,719,717,0,
720,18.350927799036281,1309766406676,1,5.3743976168334484,5.8648,5.82272,2.3478,18643,0.001024,0.45900799999999997,,0.032768,0.49203199999999997,0,0.47436799999999996,0.027136,0.013312,,0.002304,,2.35776,720,718,0,
721,18.356646400226758,1309766465324,1,5.7186014018952847,6.3047,5.361152,1.9587,14551,0.001024,0.496896,,0.038911999999999995,0.167936,0,0.14899199999999999,0.024319999999999998,0.014079999999999999,,0.002048,,1.813504,721,719,0,
722,18.362100800736961,1309766528371,1,5.4544005542993546,5.1577,5.696,2.2739,14551,0.001024,0.603648,,0.041984,0.164096,0,0.14464,0.027392,0.012799999999999999,,0.0025599999999999998,,1.6650239999999998,722,720,0,
723,18.367844104308389,1309766579948,1,5.7433038018643856,5.3703,5.43232,2.4621,20961,0.001024,0.460032,,0.039168,0.17382399999999998,0,0.154368,0.024576,0.012288,,0.0025599999999999998,,1.3122559999999999,723,721,0,
724,18.373232001133786,1309766633651,1,5.3878966718912125,5.788,5.723136,1.8043,14551,0.001024,0.495104,,0.033791999999999996,0.57728,0,0.55833599999999994,0.029696,0.016128,,0.002304,,1.472256,724,722,0,
725,18.37864109977324,1309766691531,1,5.4090986959636211,5.1785,5.364992,2.147,14551,0.001024,0.45849599999999996,,0.033024,0.17382399999999998,0,0.15616,0.019968,0.015616,,0.002048,,1.3086719999999998,725,723,0,
726,18.384318700396825,1309766743316,1,5.6776003912091255,6.4003,5.407232,2.4098,14551,0.001024,0.49151999999999996,,0.033024,0.157184,0,0.138752,0.027648,0.016895999999999998,,0.002048,,1.72288,726,724,0,
727,18.389862599206349,1309766807319,1,5.5438987910747528,4.8396,5.640704,1.9719,14551,0.001024,0.460032,,0.038911999999999995,0.17536,0,0.156416,0.0192,0.014591999999999999,,0.002304,,1.953536,727,725,0,
