case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"baseline256_c","completed_with_warnings","frame_interval_ms",879,879,5.6964000687003136,6.3744969666004181,4.4287983328104019,8.0390023067593575
0,"baseline256_c","completed_with_warnings","cpu_frame_ms",879,879,5.6701,6.6055,4.0678,8.363
0,"baseline256_c","completed_with_warnings","gpu_frame_ms",879,878,5.648384,6.287104,4.434688,7.17696
0,"baseline256_c","completed_with_warnings","cpu_render_thread_ms",879,879,2.1197,2.683,1.7084,5.8396
0,"baseline256_c","completed_with_warnings","gc_allocated_in_editor_frame_bytes",879,879,14551,14948,14551,79893
0,"baseline256_c","completed_with_warnings","VSM.LayoutRemap_gpu_ms",879,879,0.001024,0.001024,0.000768,0.401152
0,"baseline256_c","completed_with_warnings","VSM.Allocate_gpu_ms",879,879,0.491776,0.560384,0.452352,0.60595199999999994
0,"baseline256_c","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",879,0,,,,
0,"baseline256_c","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",879,879,0.033535999999999996,0.041984,0.032512,0.766208
0,"baseline256_c","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",879,879,0.17049599999999998,0.49203199999999997,0.15103999999999998,1.207808
0,"baseline256_c","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",879,879,0,0.000256,0,0.006912
0,"baseline256_c","completed_with_warnings","VSM.PageCull_gpu_ms",879,879,0.15129599999999999,0.161024,0.12415999999999999,0.765184
0,"baseline256_c","completed_with_warnings","VSM.StaticRaster_gpu_ms",879,879,0.024576,0.032256,0.017408,0.523008
0,"baseline256_c","completed_with_warnings","VSM.DynamicRaster_gpu_ms",879,879,0.014591999999999999,0.016895999999999998,0.000512,0.044031999999999995
0,"baseline256_c","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",879,0,,,,
0,"baseline256_c","completed_with_warnings","VSM.FinalizePages_gpu_ms",879,879,0.002048,0.002816,0.001792,0.79155199999999992
0,"baseline256_c","completed_with_warnings","VSM.ResetFeedback_gpu_ms",879,0,,,,
0,"baseline256_c","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",879,879,1.6299519999999998,2.193152,1.3053439999999998,2.871296
