observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
4144,50.334257901077095,1310086257219,1,5.7988022454082966,4.1935,5.72544,1.6911,14551,0.001024,0.45952,,0.034816,0.163328,0,0.14464,0.022528,0.013056,,0.002048,,1.2572159999999999,4144,267,0,
4145,50.340361203231289,1310086299154,1,6.1033023521304131,5.2892,5.779712,2.4302,14551,0.001024,0.489216,,0.033535999999999996,0.557312,0.000256,0.155904,0.025599999999999998,0.014848,,0.0025599999999999998,,1.75744,4145,268,0,
4146,50.348244905045348,1310086352046,1,7.8837014734745026,5.9946,6.082304,3.2514,14551,0.001024,0.48895999999999995,,0.033535999999999996,0.173056,0,0.15462399999999998,0.025599999999999998,0.014848,,0.001792,,1.265664,4146,269,0,
4147,50.35378350340136,1310086411992,1,5.5385981686413288,7.269,5.553152,3.8061,14551,0.001024,0.45772799999999997,,0.033791999999999996,0.173312,0.000256,0.154368,0.025088,0.011519999999999999,,0.002304,,1.810176,4147,270,0,
4148,50.3598079010771,1310086484682,1,6.0243974439799786,7.4381,5.675776,2.4614,14746,0.001024,0.50688,,0.03456,0.17536,0,0.156416,0.028416,0.011776,,0.002304,,1.473792,4148,271,0,
4149,50.366205498866208,1310086559063,1,6.3975979574024677,6.3774,5.413376,2.7668,14551,0.001024,0.472832,,0.034816,0.168448,0,0.149248,0.021504,0.011519999999999999,,0.002048,,1.467136,4149,272,0,
4150,50.371705102040814,1310086622837,1,5.4996032267808914,4.88,5.690112,2.5977,14551,0.001024,0.493824,,0.033024,0.158464,0,0.13952,0.028672,0.015359999999999999,,0.002048,,1.267712,4150,273,0,
4151,50.377687599206347,1310086671637,1,5.9824972413480282,7.6942,5.306624,2.8044,14551,0.001024,0.465408,,0.034304,0.173568,0,0.15488,0.021248,0.012544,,0.002304,,1.480704,4151,274,0,
4152,50.383341404478458,1310086748579,1,5.6538050994277,5.0637,5.77792,2.3719,14551,0.000768,0.457984,,0.034048,0.161792,0,0.14336,0.024319999999999998,0.011776,,0.002304,,1.4643199999999998,4152,275,0,
4153,50.388785104875282,1310086799216,1,5.4437005892395973,5.3141,5.524736,2.2887,14753,0.001024,0.493312,,0.033024,0.17382399999999998,0,0.15488,0.027648,0.014591999999999999,,0.002048,,1.49248,4153,276,0,
4154,50.394725999149657,1310086852357,1,5.94089413061738,6.1269,5.536768,2.0619,14551,0.001024,0.49356799999999995,,0.032768,0.17177599999999998,0,0.153088,0.026624,0.012288,,0.001792,,1.2544,4154,277,0,
4155,50.400644905045347,1310086913626,1,5.918906070291996,5.4955,5.847552,2.0049,14551,0.001024,0.452864,,0.033024,0.171008,0.000256,0.152576,0.023808,0.014079999999999999,,0.002048,,1.589248,4155,278,0,
4156,50.406288803854871,1310086968581,1,5.6438986212015152,4.5047,5.9008,1.8797,14551,0.001024,0.49203199999999997,,0.033024,0.530432,0.000256,0.511744,0.027648,0.014336,,0.0025599999999999998,,1.603584,4156,279,0,
4157,50.411953103741496,1310087013628,1,5.6642997078597546,5.6801,5.677312,2.1237,14603,0.001024,0.460032,,0.033024,0.176896,0,0.15795199999999998,0.020479999999999998,0.015104,,0.002048,,1.2569599999999999,4157,280,0,
4158,50.417906001984122,1310087070429,1,5.9528984129428864,6.4531,5.651712,1.8011,14551,0.001024,0.496896,,0.033024,0.306176,0,0.141568,0.030463999999999998,0.015104,,0.0025599999999999998,,1.6332799999999998,4158,281,0,
4159,50.423624100056685,1310087134960,1,5.718098022043705,5.3456,5.74336,1.9942,14551,0.001024,0.461312,,0.03328,0.170752,0.000256,0.152064,0.020735999999999997,0.011264,,0.002048,,1.257728,4159,282,0,
4160,50.429449900793649,1310087188416,1,5.825800821185112,5.598,5.540352,2.4214,14551,0.001024,0.457472,,0.032768,0.17536,0,0.156416,0.024319999999999998,0.015359999999999999,,0.002048,,2.133248,4160,283,0,
