case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"baseline256_d","completed_with_warnings","frame_interval_ms",823,823,5.910700187087059,7.0261973887681961,4.6212016604840755,30.908100306987762
0,"baseline256_d","completed_with_warnings","cpu_frame_ms",823,823,5.8876,7.3687,3.6394,26.0908
0,"baseline256_d","completed_with_warnings","gpu_frame_ms",823,821,5.78688,6.473216,0.006912,7.213312
0,"baseline256_d","completed_with_warnings","cpu_render_thread_ms",823,823,2.2617,3.033,0.1269,6.4148
0,"baseline256_d","completed_with_warnings","gc_allocated_in_editor_frame_bytes",823,823,14551,14898,14551,146543
0,"baseline256_d","completed_with_warnings","VSM.LayoutRemap_gpu_ms",823,823,0.001024,0.0012799999999999999,0.000768,0.37529599999999996
0,"baseline256_d","completed_with_warnings","VSM.Allocate_gpu_ms",823,823,0.493056,0.56166399999999994,0.45055999999999996,0.609792
0,"baseline256_d","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",823,0,,,,
0,"baseline256_d","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",823,823,0.033535999999999996,0.041215999999999996,0.032256,0.82816
0,"baseline256_d","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",823,823,0.17152,0.551168,0.150528,1.2270079999999999
0,"baseline256_d","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",823,823,0,0.000256,0,0.002048
0,"baseline256_d","completed_with_warnings","VSM.PageCull_gpu_ms",823,823,0.152064,0.162304,0.132352,1.136128
0,"baseline256_d","completed_with_warnings","VSM.StaticRaster_gpu_ms",823,823,0.024576,0.030976,0.018175999999999998,0.491776
0,"baseline256_d","completed_with_warnings","VSM.DynamicRaster_gpu_ms",823,823,0.013824,0.01664,0.005632,0.345856
0,"baseline256_d","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",823,0,,,,
0,"baseline256_d","completed_with_warnings","VSM.FinalizePages_gpu_ms",823,823,0.0025599999999999998,0.004096,0.001792,0.889088
0,"baseline256_d","completed_with_warnings","VSM.ResetFeedback_gpu_ms",823,0,,,,
0,"baseline256_d","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",823,823,1.5999999999999999,2.273536,1.252352,2.916352
