observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
2297,28.189819600340137,1309864756691,1,7.0303995162248611,5.7196,6.265856,2.0546,14551,0.001024,0.726784,,0.047872,0.22655999999999998,0,0.20864,0.037888,0.024832,,0.002816,,1.892096,2297,738,0,
2298,28.19669990079365,1309864813887,1,6.880300585180521,7.2697,6.871808,2.2952,14551,0.001024,0.91008,,0.047616,0.557312,0,0.53888,0.043775999999999995,0.029439999999999997,,0.003328,,1.9023359999999998,2298,739,0,
2299,28.204041801303855,1309864886584,1,7.3419003747403622,6.8814,7.00928,1.8632,14551,0.001024,0.783872,,0.057856,0.216576,0,0.18431999999999998,0.063744,0.022528,,0.0025599999999999998,,1.897216,2299,740,0,
2300,28.211186500850339,1309864955398,1,7.1446993388235569,6.5723,7.306752,1.927,14551,0.000768,0.724992,,0.048128,0.216576,0,0.198656,0.040959999999999996,0.025088,,0.59264,,2.246912,2300,741,0,
2301,28.21751030328798,1309865021121,1,6.3238022848963737,6.9031,7.148032,2.1204,14551,0.001024,0.726528,,0.051199999999999996,0.219392,0,0.199936,0.049152,0.022272,,0.003584,,2.267648,2301,742,0,
2302,28.224013704648524,1309865090152,1,6.5034013241529465,7.6782,6.208768,1.8588,14551,0.001024,0.785408,,0.047616,0.204544,0,0.185856,0.047104,0.028159999999999998,,0.003072,,1.892096,2302,743,0,
2303,28.231216801303855,1309865166934,1,7.2030965238809586,6.7639,6.573824,1.8975,14551,0.001024,0.732416,,0.047616,0.21171199999999998,0,0.19353599999999999,0.035328,0.027903999999999998,,0.003328,,2.370304,2303,744,0,
2304,28.237551303854875,1309865234573,1,6.3345027156174183,6.5181,7.1744,1.8432,14551,0.001024,0.67609599999999992,,0.050943999999999996,0.20479999999999998,0,0.186112,0.035072,0.023808,,0.002816,,2.4189439999999998,2304,745,0,
2305,28.244089399092971,1309865299754,1,6.53809541836381,6.0855,6.321152,1.8025,14753,0.000768,0.72704,,0.047616,0.20096,0,0.182528,0.035584,0.025344,,0.003072,,2.29248,2305,746,0,
2306,28.251294203514739,1309865360609,1,7.2048045694828033,7.3694,6.51648,1.8346,14551,0.001024,0.91366399999999992,,0.04736,0.198144,0,0.180992,0.042752,0.025856,,0.002816,,2.103296,2306,747,0,
2307,28.258224199263037,1309865434303,1,6.9299959577620029,6.1752,7.18592,1.8051,14551,0.001024,0.780032,,0.057088,0.20812799999999998,0.000256,0.18944,0.081152,0.026112,,0.005376,,2.289152,2307,748,0,
2308,28.264574900793651,1309865496055,1,6.3507016748189926,6.8739,6.906368,2.4176,14551,0.001024,0.731904,,0.047616,0.65766399999999992,0.000256,0.639232,0.036864,0.023808,,0.0025599999999999998,,2.1009919999999997,2308,749,0,
2309,28.271587804705213,1309865564794,1,7.0129036903381348,6.9034,6.327808,1.8884,14551,0.001024,0.731136,,0.047104,0.214272,0.000256,0.196352,0.046335999999999995,0.027392,,0.003584,,2.305536,2309,750,0,
2310,28.278198398526076,1309865633828,1,6.6105937585234642,7.369,6.98752,1.963,14551,0.001024,0.78310399999999991,,0.055296,0.202752,0,0.184064,0.04992,0.022784,,0.0038399999999999997,,2.706432,2310,751,0,
2311,28.284653401360544,1309865707518,1,6.4550028182566166,5.976,6.593792,2.1056,14551,0.000768,0.731648,,0.047616,0.205056,0,0.18688,0.035328,0.024832,,0.0025599999999999998,,2.334208,2311,752,0,
2312,28.291216404478458,1309865767278,1,6.5630031749606133,7.3415,6.167808,1.9069,14551,0.001024,0.674304,,0.050688,0.20377599999999998,0,0.186112,0.026879999999999998,0.028159999999999998,,0.003328,,2.2945279999999997,2312,753,0,
2313,28.297443105158727,1309865840693,1,6.2267007306218147,6.2663,6.52928,1.881,14746,0.001024,0.73395199999999994,,0.047616,0.201728,0,0.183552,0.034304,0.029696,,0.20249599999999998,,2.359552,2313,754,0,
2314,28.304343105158729,1309865903356,1,6.8999999202787876,6.6139,6.195968,2.0647,14551,0.001024,0.726528,,0.04736,0.212224,0,0.194304,0.041984,0.026624,,0.0025599999999999998,,2.116608,2314,755,0,
2315,28.311127799036282,1309865969495,1,6.78469380363822,6.4889,6.890496,1.8238,14551,0.001024,0.97664,,0.05248,0.196096,0,0.178176,0.063744,0.024832,,0.0038399999999999997,,2.437632,2315,756,0,
2316,28.31754119897959,1309866034384,1,6.4134001731872559,6.2173,6.550016,1.8404,14551,0.001024,0.72550399999999993,,0.04736,0.204544,0.000256,0.186112,0.034304,0.026112,,0.003072,,1.900032,2316,757,0,
2317,28.323982001133786,1309866096557,1,6.44080201163888,6.9793,6.294272,1.849,14551,0.001024,0.72806399999999993,,0.047616,0.217088,0,0.19891199999999998,0.046335999999999995,0.028159999999999998,,0.003072,,1.9007999999999998,2317,758,0,
2318,28.331067602040815,1309866166350,1,7.08560086786747,6.8695,6.51008,1.9121,14551,0.001024,0.78336,,0.06272,0.20249599999999998,0.000256,0.182528,0.048639999999999996,0.026879999999999998,,0.004096,,1.89824,2318,759,0,
2319,28.337314299886621,1309866235045,1,6.246697623282671,6.2395,6.190592,1.7598,14551,0.001024,0.726528,,0.047616,0.20121599999999998,0,0.182784,0.035328,0.028159999999999998,,0.002816,,2.0928,2319,760,0,
2320,28.34379410430839,1309866297440,1,6.4798044040799141,6.9239,6.216192,2.201,14551,0.001024,0.841984,,0.04736,0.21606399999999998,0,0.198144,0.026879999999999998,0.028672,,0.003328,,2.1027839999999998,2320,761,0,
2321,28.350692304421766,1309866366679,1,6.8982001394033432,6.4263,6.4768,2.1435,14753,0.001024,0.73395199999999994,,0.052992,0.20096,0,0.183552,0.035328,0.027392,,0.003072,,2.294784,2321,762,0,
2322,28.357332702664397,1309866430942,1,6.6403984092175961,6.3664,6.875392,1.7414,14603,0.001024,0.733184,,0.04736,0.20249599999999998,0,0.184832,0.041728,0.028159999999999998,,0.436224,,2.670336,2322,763,0,
2323,28.363652501417231,1309866494606,1,6.3197985291481018,6.3315,6.619904,1.7634,14551,0.001024,0.779264,,0.047616,0.214784,0,0.19712,0.061439999999999995,0.028159999999999998,,0.004352,,2.1009919999999997,2323,764,0,
2324,28.369880102040817,1309866557921,1,6.2276008538901806,7.1296,5.920512,1.8638,14551,0.001024,0.72883199999999992,,0.047104,0.197632,0,0.179456,0.034816,0.028416,,0.003584,,2.304,2324,765,0,
2325,28.376025999149658,1309866629217,1,6.1458973214030266,6.559,6.209792,2.0219,14551,0.001024,0.728576,,0.047104,0.21631999999999998,0.000256,0.198656,0.046848,0.027648,,0.0038399999999999997,,2.099968,2325,766,0,
2326,28.3829,1309866694807,1,6.8740006536245346,6.3857,6.122752,1.7978,18643,0.001024,0.78208,,0.04736,0.201984,0,0.18431999999999998,0.046079999999999996,0.026368,,0.004352,,2.093056,2326,767,0,
