case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"bounded384005_a","completed_with_warnings","frame_interval_ms",750,750,6.6717509180307388,7.2092050686478615,5.6806975044310093,11.085402220487595
0,"bounded384005_a","completed_with_warnings","cpu_frame_ms",750,750,6.6645,7.4635,5.3445,11.1126
0,"bounded384005_a","completed_with_warnings","gpu_frame_ms",750,749,6.617344,7.17568,5.650944,7.838208
0,"bounded384005_a","completed_with_warnings","cpu_render_thread_ms",750,750,1.92935,2.3092,1.4431,6.9276
0,"bounded384005_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",750,750,14551,15309,14551,66373
0,"bounded384005_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",750,750,0.001024,0.001024,0.000768,0.798464
0,"bounded384005_a","completed_with_warnings","VSM.Allocate_gpu_ms",750,750,0.736,0.91904,0.671488,0.985088
0,"bounded384005_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",750,0,,,,
0,"bounded384005_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",750,750,0.047616,0.059648,0.046848,0.673792
0,"bounded384005_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",750,750,0.20915199999999998,0.589568,0.19225599999999998,1.105408
0,"bounded384005_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",750,750,0,0.000256,0,0.005376
0,"bounded384005_a","completed_with_warnings","VSM.PageCull_gpu_ms",750,750,0.189696,0.387584,0.172544,1.087232
0,"bounded384005_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",750,750,0.041728,0.064,0.025856,0.55398399999999992
0,"bounded384005_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",750,750,0.026624,0.029696,0.008704,0.061695999999999994
0,"bounded384005_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",750,0,,,,
0,"bounded384005_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",750,750,0.003072,0.004352,0.002048,0.81024
0,"bounded384005_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",750,0,,,,
0,"bounded384005_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",750,750,2.2821119999999997,2.7217919999999998,1.8828799999999999,2.950656
