observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
3605,40.274353401360543,1309985632398,1,6.1780968680977821,6.2625,6.518528,2.5697,14551,0.000768,0.722688,,0.048639999999999996,0.20940799999999998,0,0.191488,0.047616,0.022528,,0.002048,,1.2016639999999998,3605,558,0,
3606,40.280525,1309985695023,1,6.1715985648334026,5.4232,6.157056,3.2957,14551,0.000768,0.773888,,0.056575999999999994,0.201984,0,0.182784,0.048895999999999995,0.022784,,0.002304,,1.58592,3606,559,0,
3607,40.286043402777779,1309985749255,1,5.5184029042720795,7.617,5.549056,2.0284,14551,0.001024,0.72217599999999993,,0.048895999999999995,0.19686399999999998,0.000256,0.1792,0.036608,0.023039999999999998,,0.001792,,1.197312,3607,560,0,
3608,40.292208503401362,1309985825425,1,6.16510072723031,4.9184,5.488384,1.8932,14551,0.001024,0.669952,,0.047616,0.206592,0,0.18892799999999998,0.027903999999999998,0.026879999999999998,,0.002048,,1.194496,3608,561,0,
3609,40.2979281037415,1309985874609,1,5.71960024535656,5.6638,6.146816,1.9609,14551,0.001024,0.89523199999999992,,0.048639999999999996,0.196352,0.000256,0.1792,0.036864,0.022784,,0.002048,,1.5882239999999999,3609,562,0,
3610,40.304219302721087,1309985931247,1,6.2911990098655224,6.9692,5.703424,2.1419,14551,0.001024,0.7232,,0.048128,0.19891199999999998,0,0.181248,0.041728,0.022784,,0.002304,,1.201152,3610,563,0,
3611,40.310778599773244,1309986000939,1,6.559296976774931,4.4125,6.245376,2.8514,14551,0.001024,0.77491199999999993,,0.050176,0.210176,0,0.192512,0.061439999999999995,0.023295999999999997,,0.002304,,1.5265279999999999,3611,564,0,
3612,40.316932702664396,1309986045064,1,6.1541027389466763,6.9637,6.55744,3.0631,14551,0.001024,0.723968,,0.047872,0.210944,0.000256,0.193024,0.035072,0.023295999999999997,,0.002048,,2.075392,3612,565,0,
3613,40.3228126984127,1309986114701,1,5.8799958787858486,6.2983,6.136832,2.4905,14753,0.001024,0.723968,,0.054015999999999995,0.21888,0,0.20096,0.046591999999999995,0.022272,,0.002816,,1.76256,3613,566,0,
3614,40.328908304988659,1309986177684,1,6.095606368035078,5.7957,5.854464,2.5228,14551,0.001024,0.777984,,0.048639999999999996,0.20224,0,0.18431999999999998,0.047104,0.027903999999999998,,0.002048,,1.198848,3614,567,0,
3615,40.334883503401358,1309986235641,1,5.9751984663307667,6.3875,6.016,2.279,14551,0.001024,0.72294399999999992,,0.049408,0.199936,0,0.181504,0.036095999999999996,0.027648,,0.0025599999999999998,,1.9714559999999999,3615,568,0,
3616,40.340764703798186,1309986299516,1,5.8812005445361137,6.1438,5.994752,2.1254,14551,0.001024,0.675584,,0.047616,0.20249599999999998,0,0.184064,0.028416,0.024064,,0.002048,,1.6115199999999998,3616,569,0,
3617,40.34723939909297,1309986360954,1,6.4746951684355736,6.084,5.862144,2.5154,14551,0.001024,0.726784,,0.059135999999999994,0.20121599999999998,0,0.182272,0.03584,0.022272,,0.002304,,1.412096,3617,570,0,
3618,40.353722498582762,1309986421794,1,6.4830994233489037,5.7285,6.46784,2.0962,14551,0.001024,0.720896,,0.048895999999999995,0.20736,0,0.18944,0.045824,0.024064,,0.002304,,1.202688,3618,571,0,
3619,40.3597670989229,1309986479079,1,6.0446001589298248,5.317,6.446848,2.6166,14551,0.001024,0.77491199999999993,,0.056063999999999996,0.20249599999999998,0,0.183808,0.061439999999999995,0.027392,,0.002304,,1.414656,3619,572,0,
3620,40.366369798752835,1309986532249,1,6.6026998683810234,6.9583,6.022656,1.9889,14551,0.001024,0.886272,,0.048383999999999996,0.20121599999999998,0,0.18303999999999998,0.034816,0.024832,,0.003072,,1.196032,3620,573,0,
3621,40.372491801303852,1309986601832,1,6.1220023781061172,6.0554,6.59328,2.5961,14551,0.001024,0.71884799999999993,,0.055296,0.212992,0,0.19455999999999998,0.047872,0.028672,,0.0025599999999999998,,2.285056,3621,574,0,
3622,40.378740100623581,1309986662386,1,6.24829949811101,6.221,6.0992,2.2999,14551,0.001024,0.77696,,0.04736,0.19891199999999998,0,0.181248,0.046079999999999996,0.025344,,0.002048,,1.197824,3622,575,0,
3623,40.3844876984127,1309986724596,1,5.74759766459465,6.7921,6.045952,2.3019,14746,0.001024,0.724224,,0.047616,0.454912,0,0.436992,0.037632,0.027392,,0.002304,,2.082048,3623,576,0,
3624,40.390497498582768,1309986792517,1,6.0098003596067429,6.1564,5.688064,2.1517,14551,0.000768,0.665856,,0.047872,0.210176,0,0.191488,0.028672,0.028416,,0.0038399999999999997,,1.196544,3624,577,0,
3625,40.396291999716553,1309986854081,1,5.794500932097435,6.1734,6.024704,2.15,14551,0.001024,0.723712,,0.36096,0.20915199999999998,0,0.18816,0.035328,0.027392,,0.003328,,1.9947519999999999,3625,578,0,
3626,40.401733404195006,1309986915815,1,5.4414044134318829,5.6643,5.38496,2.1068,14551,0.001024,0.72473599999999994,,0.047616,0.211968,0,0.19455999999999998,0.046591999999999995,0.020992,,0.0025599999999999998,,1.199616,3626,579,0,
3627,40.407665001417229,1309986972458,1,5.9315972030162811,5.6688,5.435648,2.3371,14551,0.001024,0.77696,,0.04736,0.205056,0,0.187392,0.062464,0.025344,,0.0038399999999999997,,1.39776,3627,580,0,
3628,40.413358198696145,1309987029146,1,5.6931972503662109,6.5052,5.902848,2.5765,14551,0.001024,0.723712,,0.048639999999999996,0.212992,0,0.194304,0.035584,0.026368,,0.004096,,1.196544,3628,581,0,
3629,40.41950870181406,1309987094198,1,6.1505031771957874,4.6924,5.67424,2.8275,14551,0.001024,0.723968,,0.050943999999999996,0.214784,0,0.196352,0.054784,0.023808,,0.004096,,1.4192639999999999,3629,582,0,
