case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"bounded384005_b","completed_with_warnings","frame_interval_ms",273,273,6.0560018755495548,7.8753046691417694,5.2803996950387955,3285.7513427734375
0,"bounded384005_b","completed_with_warnings","cpu_frame_ms",273,273,6.0831,8.1606,4.2296,3302.2849
0,"bounded384005_b","completed_with_warnings","gpu_frame_ms",273,271,5.90336,6.65856,4.852224,3285.334272
0,"bounded384005_b","completed_with_warnings","cpu_render_thread_ms",273,273,2.4214,3.5862,1.3012,10.686
0,"bounded384005_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",273,273,14551,14753,14551,340637
0,"bounded384005_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",273,273,0.001024,0.001024,0,0.004096
0,"bounded384005_b","completed_with_warnings","VSM.Allocate_gpu_ms",273,273,0.727808,0.89523199999999992,0.030208,0.96
0,"bounded384005_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",273,0,,,,
0,"bounded384005_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",273,273,0.048639999999999996,0.060927999999999996,0.047104,1.3073919999999999
0,"bounded384005_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",273,273,0.207616,0.632832,0.142848,1.089536
0,"bounded384005_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",273,273,0,0.000256,0,0.018944
0,"bounded384005_b","completed_with_warnings","VSM.PageCull_gpu_ms",273,273,0.188416,0.37068799999999996,0.1216,0.99584
0,"bounded384005_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",273,273,0.041984,0.062464,0.026368,0.73395199999999994
0,"bounded384005_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",273,273,0.025856,0.029696,0,0.45644799999999996
0,"bounded384005_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",273,0,,,,
0,"bounded384005_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",273,273,0.0025599999999999998,0.004096,0.001792,0.57984
0,"bounded384005_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",273,0,,,,
0,"bounded384005_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",273,273,1.39776,2.075392,0.046848,4.115968
