observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
13968,131.11300880102041,76501199549,1,6.1129038222134113,5.9447,6.845696,2.3781,18203,0.001024,0.438272,,0.045824,0.171264,0.000256,0.15103999999999998,0.024319999999999998,0.011776,,0.002816,,2.5259519999999998,13968,725,0,
13969,131.11891799886621,76501258996,1,5.9091979637742043,6.5716,6.09408,2.3509,15883,0.001024,0.47359999999999997,,0.036095999999999996,0.177152,0,0.157696,0.022272,0.014591999999999999,,0.002048,,1.901312,13969,726,0,
13970,131.12589929846939,76501324712,1,6.9812997244298458,6.7218,5.888512,2.4647,18203,0.000768,0.47027199999999997,,0.035072,0.16512,0,0.14592,0.026624,0.010752,,0.0025599999999999998,,1.67296,13970,727,0,
13971,131.13211209608843,76501391930,1,6.2127974815666676,5.8588,6.977792,2.1753,16110,0.001024,0.434944,,0.035584,0.181504,0,0.16153599999999999,0.024064,0.011519999999999999,,0.002304,,1.891328,13971,728,0,
13972,131.13805279903627,76501450518,1,5.9407027438282967,5.8381,6.18496,2.4206,18203,0.001024,0.469248,,0.033024,0.163328,0,0.144896,0.025344,0.015104,,0.001792,,1.6734719999999998,13972,729,0,
13973,131.14432909580498,76501508899,1,6.2762969173491,7.5049,5.929984,2.4042,15763,0.001024,0.505856,,0.032768,0.174848,0,0.156416,0.016384,0.015104,,0.002048,,1.8690559999999998,13973,730,0,
13974,131.15061099773243,76501583948,1,6.2819020822644234,6.2374,6.267392,2.2754,18203,0.000768,0.47103999999999996,,0.03328,0.158208,0.000256,0.13952,0.025599999999999998,0.014336,,0.002048,,1.67296,13974,731,0,
13975,131.15703779761904,76501646322,1,6.4268000423908234,5.7661,6.2592,2.7731,15763,0.001024,0.43545599999999995,,0.033024,0.173568,0.000256,0.15488,0.017408,0.015104,,0.002048,,1.6719359999999999,13975,732,0,
13976,131.16358869756235,76501703983,1,6.5509001724421978,6.4224,6.403072,2.5106,18203,0.001024,0.502528,,0.03968,0.167936,0,0.147968,0.020992,0.011264,,0.0025599999999999998,,2.199808,13976,733,0,
13977,131.16954599631518,76501768207,1,5.9572989121079445,6.5173,6.537216,2.1449,21547,0.001024,0.54143999999999992,,0.032768,0.168704,0,0.150784,0.022272,0.015359999999999999,,0.002048,,2.0441599999999998,13977,734,0,
13978,131.17594139739228,76501833380,1,6.39540096744895,5.6604,5.9392,2.3879,18203,0.001024,0.47436799999999996,,0.03328,0.16486399999999998,0.000256,0.146432,0.023808,0.014591999999999999,,0.002048,,1.6801279999999998,13978,735,0,
13979,131.18267879818595,76501889984,1,6.7374007776379585,7.0875,6.391552,2.7346,15763,0.001024,0.436992,,0.03712,0.33510399999999996,0,0.31590399999999996,0.021759999999999998,0.014079999999999999,,0.002304,,1.8990079999999998,13979,736,0,
13980,131.18875279903628,76501960859,1,6.0740010812878609,5.5914,6.719488,2.3318,18203,0.001024,0.544256,,0.035328,0.182272,0,0.162048,0.0384,0.015104,,0.002304,,2.162176,13980,737,0,
13981,131.19463979591836,76502016773,1,5.8869970962405205,6.607,6.043648,2.1169,15763,0.001024,0.434944,,0.033024,0.1792,0,0.160512,0.018432,0.016384,,0.002048,,1.67552,13981,738,0,
