observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
1911,50.589703798185937,75695975535,1,6.548101082444191,6.2691,6.350336,2.2409,18203,0.001024,0.402176,,0.096,0.274688,0.000256,0.256,0.0076799999999999993,0.067328,,0.0025599999999999998,,2.028032,1911,770,0,
1912,50.596390795068025,75696038226,1,6.6869966685771942,5.7311,6.536448,3.253,15965,0.001024,0.405248,,0.091648,0.273408,0,0.255232,0.007936,0.063488,,0.002304,,2.310912,1912,771,0,
1913,50.602706894841269,75696095537,1,6.3160997815430164,7.418,6.294784,2.5643,18203,0.001024,0.41881599999999997,,0.09267199999999999,0.274176,0,0.25574399999999997,0.003328,0.065536,,0.002304,,1.933824,1913,772,0,
1914,50.608973497732421,75696169717,1,6.2666027806699276,5.5901,6.292224,2.8065,15763,0.000768,0.406016,,0.091392,0.277504,0,0.259584,0.010496,0.063488,,0.002304,,1.940736,1914,773,0,
1915,50.615167396541949,75696225618,1,6.193898618221283,6.7043,6.253312,2.7257,18203,0.001024,0.408064,,0.09856,0.28415999999999997,0,0.265216,0.0076799999999999993,0.068864,,0.002816,,1.741312,1915,774,0,
1916,50.6214544005102,75696292661,1,6.287003867328167,6.451,6.170368,2.1707,15763,0.001024,0.40422399999999997,,0.091392,0.278528,0,0.260608,0.008192,0.068096,,0.002048,,1.55776,1916,775,0,
1917,50.628071697845805,75696357171,1,6.6172974184155464,5.4118,6.274304,2.0914,18203,0.001024,0.40422399999999997,,0.262144,0.281088,0,0.26239999999999997,0.007168,0.06272,,0.002048,,1.9412479999999999,1917,776,0,
1918,50.634137195294784,75696411289,1,6.0654976405203342,6.2715,6.587136,2.173,15763,0.001024,0.404736,,0.091904,0.279296,0,0.261632,0.007936,0.063488,,0.002048,,2.221056,1918,777,0,
1919,50.64068939909297,75696474004,1,6.5522040240466595,6.0893,6.055168,2.2891,18203,0.001024,0.407296,,0.091392,0.279808,0,0.26239999999999997,0.008192,0.065536,,0.002304,,2.245376,1919,778,0,
1920,50.6467375,75696534897,1,6.0481010004878044,7.0719,6.535936,2.4944,15763,0.001024,0.40627199999999997,,0.094975999999999991,0.28287999999999996,0,0.263936,0.0076799999999999993,0.065792,,0.0025599999999999998,,1.908736,1920,779,0,
