case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"base768_a","completed_with_warnings","frame_interval_ms",784,784,6.3479486852884293,6.9488026201725006,5.3424034267663956,10.715405456721783
0,"base768_a","completed_with_warnings","cpu_frame_ms",784,784,6.32535,7.3714,4.3107,11.3583
0,"base768_a","completed_with_warnings","gpu_frame_ms",784,783,6.30144,6.864896,5.1328,7.438592
0,"base768_a","completed_with_warnings","cpu_render_thread_ms",784,784,2.19295,2.8943,1.5494,6.0957
0,"base768_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",784,784,18203,21691,15763,88487
0,"base768_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",784,784,0.001024,0.001024,0.000768,0.386304
0,"base768_a","completed_with_warnings","VSM.Allocate_gpu_ms",784,784,0.40959999999999996,0.497664,0.401408,0.512512
0,"base768_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",784,0,,,,
0,"base768_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",784,784,0.091904,0.25344,0.09088,0.88371199999999994
0,"base768_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",784,784,0.28159999999999996,0.66022399999999992,0.267776,1.3291519999999999
0,"base768_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",784,784,0,0.000256,0,0.000256
0,"base768_a","completed_with_warnings","VSM.PageCull_gpu_ms",784,784,0.26239999999999997,0.457472,0.206592,1.311232
0,"base768_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",784,784,0.0076799999999999993,0.011007999999999999,0.003072,0.38655999999999996
0,"base768_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",784,784,0.064767999999999992,0.069887999999999992,0.054528,0.21888
0,"base768_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",784,0,,,,
0,"base768_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",784,784,0.002304,0.002816,0.001792,0.284928
0,"base768_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",784,0,,,,
0,"base768_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",784,784,1.9310079999999998,2.458112,1.555712,2.93632
