case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"base768_b","completed_with_warnings","frame_interval_ms",804,804,6.1665531247854233,6.8849064409732819,4.8669003881514072,20.728806033730507
0,"base768_b","completed_with_warnings","cpu_frame_ms",804,804,6.1569,7.4511,4.2323,22.4066
0,"base768_b","completed_with_warnings","gpu_frame_ms",804,803,6.102784,6.734592,4.999424,7.504384
0,"base768_b","completed_with_warnings","cpu_render_thread_ms",804,804,2.3902,3.1759,1.5689,6.3604
0,"base768_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",804,804,18203,21692,15763,73407
0,"base768_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",804,804,0.001024,0.0012799999999999999,0.000768,0.48947199999999996
0,"base768_b","completed_with_warnings","VSM.Allocate_gpu_ms",804,804,0.411776,0.50380799999999992,0.400128,0.51635199999999992
0,"base768_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",804,0,,,,
0,"base768_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",804,804,0.100864,0.289024,0.091136,1.05728
0,"base768_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",804,804,0.285696,0.674048,0.273408,1.296128
0,"base768_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",804,804,0,0.000256,0,0.000256
0,"base768_b","completed_with_warnings","VSM.PageCull_gpu_ms",804,804,0.265984,0.46975999999999996,0.221184,1.041408
0,"base768_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",804,804,0.0076799999999999993,0.011264,0.003072,0.38118399999999997
0,"base768_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",804,804,0.065536,0.069632,0.057088,0.09267199999999999
0,"base768_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",804,0,,,,
0,"base768_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",804,804,0.002304,0.002816,0.001792,0.009472
0,"base768_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",804,0,,,,
0,"base768_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",804,804,1.66848,2.125056,1.3053439999999998,2.631424
