case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"view1024005_a","completed_with_warnings","frame_interval_ms",700,700,6.7125000059604645,9.5031959936022758,5.1767998374998569,30.117800459265709
0,"view1024005_a","completed_with_warnings","cpu_frame_ms",700,700,6.7984500000000008,9.8083,4.1922,29.4003
0,"view1024005_a","completed_with_warnings","gpu_frame_ms",700,699,6.419456,6.954496,5.451264,7.567104
0,"view1024005_a","completed_with_warnings","cpu_render_thread_ms",700,700,3.0080999999999998,3.7655,1.8731,5.4133
0,"view1024005_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",700,700,18203,21812,15763,88487
0,"view1024005_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",700,700,0.001024,0.001024,0.000768,0.205056
0,"view1024005_a","completed_with_warnings","VSM.Allocate_gpu_ms",700,700,0.507136,0.62105599999999994,0.498432,0.636672
0,"view1024005_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",700,0,,,,
0,"view1024005_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",700,700,0.122112,0.13516799999999998,0.12006399999999999,0.88064
0,"view1024005_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",700,700,0.357632,0.707584,0.34099199999999996,1.154048
0,"view1024005_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",700,700,0,0.000256,0,0.000256
0,"view1024005_a","completed_with_warnings","VSM.PageCull_gpu_ms",700,700,0.338432,0.535552,0.261888,1.1366399999999999
0,"view1024005_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",700,700,0.0076799999999999993,0.011007999999999999,0.003072,0.38988799999999996
0,"view1024005_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",700,700,0.09036799999999999,0.09548799999999999,0.080639999999999989,0.28953599999999996
0,"view1024005_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",700,0,,,,
0,"view1024005_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",700,700,0.002304,0.002816,0.001792,0.177664
0,"view1024005_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",700,0,,,,
0,"view1024005_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",700,700,1.906432,2.275584,1.6686079999999999,2.876928
