observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
7928,90.850685196995457,76098572451,1,6.9843963719904423,6.8555,6.541824,2.5125,15763,0.000768,0.506624,,0.12723199999999998,0.35148799999999997,0,0.333312,0.0076799999999999993,0.08448,,0.002048,,2.018304,7928,750,0,
7929,90.857639994331066,76098641006,1,6.9547975435853004,5.47,6.944256,2.4884,18203,0.001024,0.6208,,0.457984,0.390656,0.000256,0.371712,0.0076799999999999993,0.0896,,0.0025599999999999998,,2.0605439999999997,7929,751,0,
7930,90.86406070011337,76098695706,1,6.420705933123827,6.9593,6.667776,2.1505,15763,0.001024,0.50969599999999993,,0.12057599999999999,0.68377599999999994,0.000256,0.6656,0.007936,0.097024,,0.0025599999999999998,,2.035968,7930,752,0,
7931,90.872712294501127,76098765299,1,8.6515946313738823,6.8878,6.688,3.0178,18203,0.001024,0.504832,,0.120832,0.547072,0,0.33561599999999997,0.013312,0.09036799999999999,,0.002048,,2.074624,7931,753,0,
7932,90.87946070011337,76098834177,1,6.7484057508409023,7.9774,6.486272,2.9397,18203,0.001024,0.516096,,0.12287999999999999,0.349184,0.000256,0.33152,0.007936,0.090112,,0.002048,,1.67296,7932,754,0,
7933,90.8866095946712,76098913951,1,7.1488944813609123,5.3591,6.479872,3.2063,15763,0.001024,0.50559999999999994,,0.130304,0.35942399999999997,0,0.34048,0.006656,0.09036799999999999,,0.0025599999999999998,,2.028544,7933,755,0,
7934,90.895290398242622,76098967542,1,8.6808037012815475,10.4918,6.566912,2.6501,18323,0.001024,0.517888,,0.122624,0.358912,0,0.341248,0.0038399999999999997,0.089088,,0.002304,,1.904896,7934,756,0,
7935,90.902445698696141,76099072460,1,7.1553005836904049,6.2011,6.573056,3.1296,16134,0.001024,0.507648,,0.121344,0.355072,0,0.337152,0.010239999999999999,0.087296,,0.002304,,2.436352,7935,757,0,
7936,90.909185196995466,76099134471,1,6.7394981160759926,9.5298,6.409216,2.6883,18203,0.001024,0.509952,,0.122112,0.35353599999999996,0,0.336128,0.008192,0.09036799999999999,,0.002048,,2.018048,7936,758,0,
7937,90.916052494331069,76099229769,1,6.86729745939374,5.8881,6.718464,3.2129,15763,0.001024,0.505344,,0.316416,0.355072,0,0.336128,0.007936,0.09088,,0.002304,,2.0810239999999998,7937,759,0,
7938,90.922465100623583,76099288650,1,6.4126062206923962,7.3196,6.788608,2.174,18203,0.001024,0.511232,,0.12236799999999999,0.355584,0,0.338688,0.0051199999999999996,0.094208,,0.002048,,1.673984,7938,760,0,
7939,90.9295310941043,76099361846,1,7.0659932680428028,5.7136,6.37184,2.9058,15763,0.001024,0.500992,,0.130048,0.350976,0,0.33177599999999996,0.0076799999999999993,0.09088,,0.002304,,1.933312,7939,761,0,
7940,90.936520393990932,76099418982,1,6.9892997853457928,7.5773,7.03744,2.8331,18203,0.001024,0.61772799999999994,,0.130048,0.35225599999999996,0,0.333824,0.0076799999999999993,0.089855999999999991,,0.0025599999999999998,,1.846784,7940,762,0,
7941,90.9432887967687,76099494755,1,6.7684026435017586,6.0733,6.979328,3.011,16110,0.001024,0.504576,,0.121088,0.595712,0.000256,0.337152,0.004608,0.097536,,0.002816,,2.0423679999999997,7941,763,0,
7942,90.95001989795918,76099555488,1,6.7311013117432594,7.8542,6.747904,2.0263,18203,0.001024,0.504576,,0.121088,0.595712,0.000256,0.337152,0.004608,0.097536,,0.002816,,2.0423679999999997,7942,764,0,
7943,90.956251998299322,76099634030,1,6.2321005389094353,5.7505,6.342912,2.7629,15763,0.000768,0.507136,,0.120832,0.348416,0,0.330752,0.007936,0.086784,,0.002048,,2.16064,7943,765,0,
7944,90.962920599489792,76099691535,1,6.6686011850833893,7.9719,6.21312,2.6354,18203,0.001024,0.504576,,0.12185599999999999,0.35456,0,0.33638399999999996,0.010752,0.095232,,0.002304,,1.672704,7944,766,0,
7945,90.969750099206351,76099771254,1,6.8294997327029705,5.9028,6.644992,3.1411,15763,0.001024,0.508416,,0.131072,0.35456,0,0.33561599999999997,0.007936,0.088832,,0.002816,,1.901824,7945,767,0,
7946,90.976624496882081,76099830282,1,6.8743978627026081,6.4791,6.801664,2.9389,18203,0.001024,0.508416,,0.131072,0.35456,0,0.33561599999999997,0.007936,0.088832,,0.002816,,1.901824,7946,768,0,
7947,90.983623200113371,76099895073,1,6.9987033493816853,7.133,6.548736,3.2471,15763,0.001024,0.505088,,0.121088,0.55065599999999992,0,0.532736,0.007424,0.090624,,0.002304,,2.0454399999999997,7947,769,0,
7948,90.990261996882083,76099966403,1,6.6387970000505447,6.7484,6.522368,2.5716,18203,0.001024,0.508416,,0.122112,0.358656,0,0.34048,0.007936,0.09088,,0.002304,,2.08128,7948,770,0,
7949,90.997395996315191,76100033887,1,7.1339993737638,5.8096,6.701056,3.3044,15763,0.001024,0.502016,,0.121088,0.35609599999999997,0,0.33792,0.003328,0.093952,,0.002304,,2.212608,7949,771,0,
7950,91.004259495464851,76100091983,1,6.8634990602731705,8.9065,6.404096,3.1423,18255,0.001024,0.507392,,0.12236799999999999,0.355072,0,0.33792,0.0084479999999999989,0.09088,,0.002304,,2.043904,7950,772,0,
7951,91.01029990079364,76100181048,1,6.0404054820537567,6.0689,6.839808,2.5912,15763,0.000768,0.50816,,0.12953599999999998,0.358656,0,0.339968,0.0048639999999999994,0.09036799999999999,,0.0025599999999999998,,1.67552,7951,773,0,
7952,91.018458397108844,76100241737,1,8.158496581017971,5.6847,5.945344,2.9777,18203,0.001024,0.6208,,0.12236799999999999,0.361216,0.000256,0.344064,0.008704,0.092159999999999992,,0.002304,,2.2551039999999998,7952,774,0,
7953,91.0249095946712,76100298584,1,6.4511974342167377,8.3274,6.725632,3.1895,15763,0.001024,0.6208,,0.12236799999999999,0.361216,0.000256,0.344064,0.008704,0.092159999999999992,,0.002304,,2.2551039999999998,7953,775,0,
7954,91.031503195861674,76100381858,1,6.5936013124883175,7.8979,6.249472,2.5003,18203,0.001024,0.507136,,0.122112,0.353792,0,0.33561599999999997,0.0076799999999999993,0.081664,,0.002304,,2.247168,7954,776,0,
7955,91.038614399092964,76100460837,1,7.1112033911049366,6.9223,6.57408,2.2442,15965,0.001024,0.510464,,0.124416,0.62464,0,0.333568,0.0048639999999999994,0.08832,,0.002816,,2.037248,7955,777,0,
7956,91.045208297902491,76100530060,1,6.5938988700509071,5.0157,6.607872,2.7618,18203,0.001024,0.50432,,0.12287999999999999,0.355584,0.000256,0.337408,0.003584,0.089855999999999991,,0.002304,,1.891584,7956,778,0,
7957,91.0516808956916,76100580217,1,6.4725978299975395,7.5125,6.576128,2.3914,15883,0.001024,0.506112,,0.121344,0.760064,0.000256,0.401408,0.0076799999999999993,0.092159999999999992,,0.002304,,1.8327039999999999,7957,779,0,
7958,91.05818149801587,76100655342,1,6.50060223415494,5.5595,6.462464,2.4002,18203,0.001024,0.61772799999999994,,0.121344,0.53811199999999992,0,0.520704,0.0076799999999999993,0.090624,,0.002304,,2.0392959999999998,7958,780,0,
7959,91.065212294501137,76100710937,1,7.0307962596416473,7.8303,6.518272,2.4749,15763,0.003072,0.508416,,0.121344,0.363776,0.000256,0.346112,0.008192,0.090624,,0.002048,,2.066432,7959,781,0,
7960,91.072149794501129,76100789240,1,6.9375000894069672,5.6597,7.022848,2.6667,18203,0.000768,0.612352,,0.120832,0.36096,0.000256,0.342784,0.007936,0.093183999999999989,,0.002048,,2.03136,7960,782,0,
7961,91.078357497165527,76100845837,1,6.2077026814222336,6.8804,6.928896,2.5573,18855,0.001024,0.507392,,0.127744,0.357888,0,0.33971199999999996,0.0076799999999999993,0.089088,,0.002304,,2.08128,7961,783,0,
7962,91.085265695861679,76100914641,1,6.908198818564415,6.4511,6.171904,2.7886,18203,0.000768,0.505088,,0.121344,0.361216,0,0.343808,0.007936,0.090624,,0.002048,,1.675776,7962,784,0,
7963,91.091888499149661,76100979152,1,6.6228033974766731,7.3581,6.885376,2.3641,15763,0.001024,0.508672,,0.126976,0.352512,0.000256,0.333568,0.007936,0.090624,,0.0025599999999999998,,2.3784959999999997,7963,785,0,
7964,91.0988924957483,76101052733,1,7.0039965212345123,5.5089,6.616832,3.4147,18203,0.001024,0.50432,,0.121088,0.55065599999999992,0.000256,0.532736,0.0076799999999999993,0.091136,,0.002304,,2.033408,7964,786,0,
7965,91.105480300453507,76101107822,1,6.5878047607839108,8.5014,6.140928,2.9881,15763,0.001024,0.508672,,0.121344,0.3584,0.000256,0.340736,0.012288,0.09472,,0.002304,,1.671168,7965,787,0,
7966,91.111575396825387,76101192836,1,6.0950964689254761,5.7732,6.56384,2.4554,18203,0.001024,0.507904,,0.130048,0.36070399999999997,0,0.341504,0.007936,0.09036799999999999,,0.0025599999999999998,,1.967104,7966,788,0,
7967,91.118716695011329,76101250568,1,7.1412981487810612,7.3628,6.07616,2.2939,15763,0.001024,0.50944,,0.121088,0.353792,0,0.335872,0.007424,0.09548799999999999,,0.002304,,1.885184,7967,789,0,
7968,91.125415199829931,76101324196,1,6.6985050216317177,5.5691,7.130624,3.2452,18203,0.001024,0.61926399999999993,,0.126464,0.360448,0,0.342784,0.007936,0.08832,,0.002304,,2.119424,7968,790,0,
7969,91.131913895975046,76101379887,1,6.4986962825059891,7.4541,6.677248,2.8374,15763,0.001024,0.506624,,0.12185599999999999,0.349952,0,0.332032,0.003328,0.08524799999999999,,0.002048,,2.039552,7969,791,0,
7970,91.138513194444442,76101454428,1,6.5992986783385277,6.4571,6.483456,2.3807,18405,0.001024,0.50559999999999994,,0.121344,0.353024,0,0.33510399999999996,0.22297599999999998,0.09344,,0.002304,,2.447616,7970,792,0,
7971,91.145156398809519,76101518999,1,6.6432044841349125,6.7864,6.579456,2.3475,15763,0.001024,0.61926399999999993,,0.28159999999999996,0.361984,0,0.342784,0.012032,0.097024,,0.002304,,2.474752,7971,793,0,
7972,91.151783397108844,76101586863,1,6.6269980743527412,6.0349,6.616064,2.5902,18203,0.001024,0.50636799999999993,,0.129024,0.35814399999999996,0,0.339968,0.007936,0.09036799999999999,,0.002304,,1.670912,7972,794,0,
7973,91.158480598072558,76101647212,1,6.697201170027256,6.7844,6.61248,2.7399,15763,0.001024,0.507136,,0.1216,0.36147199999999996,0.000256,0.343296,0.0076799999999999993,0.091648,,0.002048,,2.039808,7973,795,0,
7974,91.16479349489795,76101715056,1,6.3128969632089138,6.2126,6.67136,2.2673,18203,0.001024,0.508416,,0.121344,0.367616,0.000256,0.34944,0.008192,0.0896,,0.002304,,2.097664,7974,796,0,
7975,91.1714794005102,76101777182,1,6.6859056241810322,6.651,6.30272,2.2355,15763,0.001024,0.506112,,0.12057599999999999,0.356608,0,0.338688,0.007936,0.091136,,0.002048,,1.6732159999999998,7975,797,0,
7976,91.177883000283444,76101843692,1,6.4035998657345772,6.2317,6.617088,2.4887,18203,0.001024,0.508672,,0.126464,0.36352,0,0.34559999999999996,0.005888,0.094975999999999991,,0.002048,,2.450688,7976,798,0,
7977,91.184430194161,76101906009,1,6.5471939742565155,7.1441,6.428416,1.9941,15763,0.001024,0.50892799999999994,,0.12057599999999999,0.715008,0.000256,0.342016,0.004608,0.09267199999999999,,0.002816,,1.672448,7977,799,0,
7978,91.191263598356,76101977450,1,6.8334043025970459,5.9489,6.52032,2.2072,18203,0.001024,0.505088,,0.481792,0.854016,0,0.38707199999999997,0.016384,0.090624,,0.004608,,1.688064,7978,800,0,
7979,91.198300396825388,76102036939,1,7.0367986336350441,6.4185,6.816768,3.5504,15763,0.001024,0.507904,,0.128768,0.363264,0,0.34431999999999996,0.008704,0.090624,,0.0025599999999999998,,2.053632,7979,801,0,
7980,91.204942998866215,76102101124,1,6.6426019184291363,6.644,7.022592,3.0633,18375,0.001024,0.617984,,0.121344,0.36070399999999997,0.000256,0.342528,0.0076799999999999993,0.08832,,0.002048,,2.448128,7980,802,0,
7981,91.2113841978458,76102167564,1,6.441198755055666,7.3338,6.45504,2.6176,15763,0.001024,0.506624,,0.121344,0.353024,0.000256,0.33536,0.008192,0.092159999999999992,,0.002048,,2.002176,7981,803,0,
7982,91.21837629676871,76102240902,1,6.9920988753438,8.8366,6.054912,2.2847,18203,0.002304,0.50969599999999993,,0.121088,0.363008,0.000256,0.34483199999999997,0.007936,0.091904,,0.002048,,1.8823679999999998,7982,804,0,
7983,91.224822498582768,76102329268,1,6.4462018199265,4.4194,6.970368,3.0874,15763,0.001024,0.50636799999999993,,0.124928,0.353792,0,0.33510399999999996,0.0076799999999999993,0.089855999999999991,,0.002816,,1.8941439999999998,7983,805,0,
7984,91.231295195578227,76102373462,1,6.4726970158517361,8.07,6.422528,2.2428,18203,0.003072,0.515328,,0.1216,0.352,0,0.333824,0.007424,0.088576,,0.002304,,1.673984,7984,806,0,
7985,91.237829095804983,76102454162,1,6.5339002758264542,5.5134,6.456576,1.9743,15763,0.001024,0.61926399999999993,,0.120832,0.353792,0.000256,0.336128,0.0076799999999999993,0.082431999999999991,,0.002304,,2.368,7985,807,0,
7986,91.2447387967687,76102509296,1,6.90970104187727,6.3934,6.497024,1.8967,18405,0.001024,0.622336,,0.120832,0.35584,0,0.338176,0.0048639999999999994,0.098304,,0.002048,,2.344448,7986,808,0,
7987,91.251249900793653,76102573230,1,6.5111038275063038,6.0251,6.91072,2.7752,15763,0.001024,0.506112,,0.120832,0.70041599999999993,0.000256,0.682496,0.008192,0.09267199999999999,,0.0025599999999999998,,2.038528,7987,809,0,
7988,91.257361295351473,76102633481,1,6.1113946139812469,7.0537,6.47296,2.2573,18203,0.001024,0.506112,,0.12287999999999999,0.36019199999999996,0.000256,0.34227199999999997,0.0076799999999999993,0.091392,,0.002304,,1.6716799999999998,7988,810,0,
7989,91.263777600623584,76102704018,1,6.4163054339587688,6.5225,6.027776,2.2521,15763,0.001024,0.50559999999999994,,0.12287999999999999,0.36403199999999997,0,0.336128,0.003584,0.09344,,0.002048,,1.920512,7989,811,0,
7990,91.270726594387753,76102769243,1,6.9489935413002968,6.9483,6.482176,2.3085,18203,0.001024,0.61849599999999993,,0.126464,0.35737599999999997,0,0.33971199999999996,0.0076799999999999993,0.090112,,0.002304,,1.85856,7990,812,0,
7991,91.277533099489787,76102838726,1,6.806504912674427,7.0109,6.92736,2.2068,15763,0.001024,0.509184,,0.121344,0.77567999999999993,0,0.75776,0.003328,0.092159999999999992,,0.0025599999999999998,,2.052864,7991,813,0,
7992,91.283857695578234,76102908835,1,6.3245962373912334,5.3481,,2.1778,20929,0.001024,0.509184,,0.121344,0.77567999999999993,0,0.75776,0.003328,0.092159999999999992,,0.0025599999999999998,,2.052864,7992,814,0,
7993,91.296455300453516,76102962316,1,12.597604654729366,7.3285,6.329856,7.3285,15763,0.001024,0.505344,,0.120832,0.35942399999999997,0,0.341248,0.0076799999999999993,0.091136,,0.002304,,2.00832,7993,815,0,
7994,91.302805796485259,76103035601,1,6.3504958525300026,7.3775,6.094848,1.705,18203,0.001024,0.51814399999999994,,0.122112,0.355072,0,0.337152,0.007936,0.0896,,0.002304,,1.673984,7994,816,0,
7995,91.3094045989229,76103109376,1,6.5988022834062576,5.5275,6.327552,2.4266,15763,0.001024,0.505344,,0.1216,0.361984,0,0.344064,0.0051199999999999996,0.091136,,0.002304,,2.171648,7995,817,0,
7996,91.316234700963719,76103164651,1,6.8301018327474594,13.0627,6.583296,2.1633,18203,0.001024,0.508416,,0.121344,0.551424,0,0.533504,0.007424,0.0896,,0.002048,,2.019072,7996,818,0,
7997,91.322842899659861,76103295278,1,6.6081988625228405,5.9131,6.814464,2.4215,15763,0.001024,0.50559999999999994,,0.120832,0.84582399999999991,0.000256,0.33664,0.00896,0.090112,,0.0025599999999999998,,2.05056,7997,819,0,
7998,91.329156696428569,76103354409,1,6.3137966208159924,7.8707,6.217984,3.4576,18203,0.001024,0.507136,,0.121344,0.35225599999999996,0,0.334848,0.007936,0.089855999999999991,,0.002048,,1.8496,7998,820,0,
7999,91.336145500283436,76103433116,1,6.98880385607481,5.9425,6.254336,2.6098,15763,0.001024,0.61952,,0.12185599999999999,0.349696,0.000256,0.33177599999999996,0.007936,0.089088,,0.002048,,2.061312,7999,821,0,
8000,91.3427797973356,76103492541,1,6.6342968493700027,5.8111,6.967552,3.0991,18405,0.001024,0.503552,,0.12032,0.348672,0,0.331264,0.008192,0.086784,,0.002048,,2.323968,8000,822,0,
8001,91.3504205994898,76103550652,1,7.640802301466465,6.8468,6.61632,3.2004,15763,0.001024,0.50227199999999994,,0.123136,0.353792,0,0.33561599999999997,0.008192,0.089343999999999993,,0.0025599999999999998,,2.268672,8001,823,0,
8002,91.356688697562348,76103619120,1,6.2680980190634727,7.8037,6.088192,3.0931,18323,0.0012799999999999999,0.507136,,0.121344,0.35609599999999997,0,0.338176,0.007936,0.093952,,0.002048,,1.8828799999999999,8002,824,0,
8003,91.363218098072565,76103697157,1,6.5294005908071995,8.3739,6.026496,2.5901,15763,0.001024,0.51072,,0.122624,0.62003199999999992,0,0.33510399999999996,0.0097279999999999988,0.091392,,0.002304,,1.693184,8003,825,0,
8004,91.369901197562356,76103780896,1,6.6830995492637157,6.4852,6.341888,2.3178,18203,0.001024,0.510208,,0.122624,0.344064,0.000256,0.32639999999999997,0.008192,0.091904,,0.041984,,1.6716799999999998,8004,826,0,
8005,91.3762841978458,76103845748,1,6.3830004073679447,5.9336,6.706432,2.8718,15763,0.001024,0.50688,,0.1216,0.80486399999999991,0,0.336896,0.008704,0.092928,,0.002816,,1.901312,8005,827,0,
8006,91.382704896541952,76103905084,1,6.42069848254323,6.9586,6.293504,2.2115,18203,0.001024,0.510208,,0.12236799999999999,0.355584,0,0.33766399999999996,0.0051199999999999996,0.088832,,0.002304,,1.692672,8006,828,0,
8007,91.389487599206348,76103974670,1,6.7827026359736919,5.8129,6.507008,2.5587,15763,0.001024,0.505856,,0.128,0.360448,0,0.342784,0.0076799999999999993,0.091392,,0.002304,,2.514176,8007,829,0,
8008,91.395967899659865,76104032799,1,6.4803003333508968,6.3355,6.762496,2.076,18203,0.000768,0.50969599999999993,,0.121344,0.384,0.000256,0.366336,0.008704,0.09036799999999999,,0.002048,,1.679104,8008,830,0,
8009,91.402599999999993,76104096154,1,6.6321003250777721,6.283,6.461696,2.4829,16134,0.001024,0.50892799999999994,,0.12032,0.35942399999999997,0,0.34176,0.003328,0.094208,,0.002304,,1.67296,8009,831,0,
8010,91.408998497732426,76104158984,1,6.3984976150095463,6.801,6.60992,2.3378,18255,0.001024,0.507648,,0.12287999999999999,0.35456,0.000256,0.33638399999999996,0.0076799999999999993,0.091904,,0.002304,,1.9279359999999999,8010,832,0,
8011,91.415519699546479,76104226994,1,6.5212016925215721,6.9362,6.311424,2.7412,15763,0.001024,0.507648,,0.32179199999999997,0.34815999999999997,0,0.32844799999999996,0.007936,0.089855999999999991,,0.002048,,2.1094399999999998,8011,833,0,
8012,91.42243740079364,76104296356,1,6.9177011027932167,5.2269,6.577664,3.2599,18203,0.001024,0.621312,,0.121088,0.5184,0.000256,0.329216,0.011519999999999999,0.097279999999999991,,0.002048,,2.345728,8012,834,0,
8013,91.429790199829924,76104348625,1,7.3527991771698,8.7352,6.050816,2.7399,15763,0.001024,0.517376,,0.12185599999999999,0.351744,0,0.333568,0.007936,0.092416,,0.002304,,1.672192,8013,835,0,
