observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
3407,60.650447696995464,75796555333,1,6.4730015583336353,7.9274,6.501632,2.8251,18323,0.001024,0.9152,,0.06656,0.253952,0,0.235264,0.036095999999999996,0.043264,,0.0025599999999999998,,2.0157439999999998,3407,712,0,
3408,60.656855895691606,75796634607,1,6.4081987366080284,5.8771,6.406144,2.5489,15763,0.001024,0.84224,,0.067583999999999991,0.24575999999999998,0.000256,0.227328,0.028159999999999998,0.03968,,0.002048,,1.6686079999999999,3408,713,0,
3409,60.663722300170065,75796693378,1,6.8664043210446835,7.7666,6.428928,2.0867,18203,0.001024,1.175296,,0.071168,0.280064,0,0.261376,0.037888,0.03712,,0.0025599999999999998,,1.686528,3409,714,0,
3410,60.670205598072563,75796771044,1,6.4832977950572968,5.7568,6.857216,2.4785,15763,0.001024,0.91392,,0.067583999999999991,0.246272,0,0.22758399999999998,0.041984,0.038144,,0.0025599999999999998,,2.415104,3410,715,0,
3411,60.676922200963716,75796828612,1,6.716602947562933,6.9521,6.454528,2.1081,18255,0.000768,0.988416,,0.06272,0.24345599999999998,0,0.22527999999999998,0.065536,0.040192,,0.002048,,2.040064,3411,716,0,
3412,60.683464795918368,75796898133,1,6.5425951033830643,6.0049,6.697216,2.197,21692,0.001024,0.914176,,0.073216,0.25344,0,0.23321599999999998,0.036864,0.040448,,0.002304,,1.686528,3412,717,0,
3413,60.690736600056688,75796958182,1,7.2718039155006409,6.0817,6.52928,2.0366,18203,0.000768,0.91110399999999991,,0.074495999999999993,0.254208,0,0.233984,0.043008,0.0384,,0.002304,,1.686272,3413,718,0,
3414,60.697526197562354,75797018999,1,6.7895976826548576,6.8009,7.245312,2.2183,15763,0.001024,1.289728,,0.073472,0.246528,0,0.226048,0.048895999999999995,0.038911999999999995,,0.0025599999999999998,,2.038272,3414,719,0,
3415,60.703704499716551,75797087008,1,6.1783022247254848,6.4801,6.787072,2.9157,18550,0.001024,0.91622399999999993,,0.061695999999999994,0.248576,0,0.2304,0.03584,0.037888,,0.002048,,2.2013439999999997,3415,720,0,
3416,60.710329797335596,75797151809,1,6.6252974793314934,7.5074,6.153472,2.2186,15763,0.001024,0.844032,,0.061695999999999994,0.646656,0,0.225792,0.0384,0.039424,,0.002816,,1.884928,3416,721,0,
