case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"view768005_b","completed_with_warnings","frame_interval_ms",771,771,6.370004266500473,7.3785004206001759,3.911302424967289,23.484395816922188
0,"view768005_b","completed_with_warnings","cpu_frame_ms",771,771,6.3553,7.9943,3.6739,21.5114
0,"view768005_b","completed_with_warnings","gpu_frame_ms",771,770,6.193408,6.958592,5.197568,8.239872
0,"view768005_b","completed_with_warnings","cpu_render_thread_ms",771,771,2.5071,3.4567,1.826,9.7527
0,"view768005_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",771,771,18203,23987,15763,90607
0,"view768005_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",771,771,0.001024,0.0012799999999999999,0.000768,0.711168
0,"view768005_b","completed_with_warnings","VSM.Allocate_gpu_ms",771,771,0.482048,0.594432,0.471808,0.61260799999999993
0,"view768005_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",771,0,,,,
0,"view768005_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",771,771,0.096,0.255488,0.090624,0.95564799999999994
0,"view768005_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",771,771,0.32179199999999997,0.69964799999999994,0.30259199999999997,1.5444479999999998
0,"view768005_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",771,771,0,0.000256,0,0.000256
0,"view768005_b","completed_with_warnings","VSM.PageCull_gpu_ms",771,771,0.302336,0.56166399999999994,0.24371199999999998,1.06752
0,"view768005_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",771,771,0.0063999999999999994,0.011007999999999999,0.003072,0.4224
0,"view768005_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",771,771,0.064512,0.06912,0.054272,0.587264
0,"view768005_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",771,0,,,,
0,"view768005_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",771,771,0.002304,0.002816,0.001792,0.010752
0,"view768005_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",771,0,,,,
0,"view768005_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",771,771,1.727744,2.242048,1.394688,2.658816
