step,receivers,reads,rays,pcf_fallback,failed_footprints,missing,replay_over_1e3,replay_max,replay_abs_sum,unavailable,requested,overflow,new_pages
0,124499,12102444.0,607464.0,0,41,0,0,0.0004786252975463867,0.05047500133514404,0,667,0,0
4,124508,11183357.0,562640.0,0,22,0,0,0.0004744529724121094,0.03567337989807129,0,667,0,4
8,124539,10683472.0,538148.0,0,9,0,0,0.00043278932571411133,0.025172054767608643,0,668,0,15
12,124559,10767221.0,540612.0,0,15,0,0,0.00048655271530151367,0.027255594730377197,0,668,0,6
16,124593,10750367.0,538612.0,0,4,0,0,0.00043594837188720703,0.02452319860458374,0,671,0,2
20,124598,10728469.0,537380.0,0,11,0,0,0.0004779696464538574,0.024433255195617676,0,665,0,3
24,124616,10719096.0,537052.0,0,5,0,0,0.0004723072052001953,0.023560047149658203,0,662,0,1
28,124597,10741196.0,537556.0,0,7,0,0,0.0004775524139404297,0.023343801498413086,0,671,0,0
32,124592,10728071.0,538276.0,0,5,0,0,0.00048679113388061523,0.023766934871673584,0,675,0,0
36,124552,10683655.0,536684.0,0,6,0,0,0.00047469139099121094,0.024818599224090576,0,667,0,0
40,124540,10699235.0,538132.0,0,12,0,0,0.00048279762268066406,0.03271430730819702,0,668,0,0
44,124503,11256331.0,564112.0,0,16,0,0,0.00045311450958251953,0.042100727558135986,0,668,0,0
48,124500,12077524.0,606816.0,0,42,0,0,0.00047701597213745117,0.05527937412261963,0,666,0,16
52,124459,12161506.0,606712.0,0,54,0,0,0.00048655271530151367,0.06478869915008545,0,656,0,3
56,124474,10774979.0,540248.0,0,6,0,0,0.0004671812057495117,0.02917689085006714,0,653,0,5
60,124460,10765931.0,537600.0,0,15,0,0,0.0004832744598388672,0.025245606899261475,0,652,0,9
64,124468,10741369.0,538128.0,0,6,0,0,0.00044220685958862305,0.026629507541656494,0,644,0,0
68,124455,10755190.0,538228.0,0,8,0,0,0.0004794597625732422,0.028145909309387207,0,640,0,1
72,124462,10784879.0,537124.0,0,7,0,0,0.0004761815071105957,0.02814352512359619,0,644,0,1
76,124456,10755192.0,536784.0,0,11,0,0,0.00047707557678222656,0.02862417697906494,0,642,0,0
80,124471,10703568.0,536584.0,0,7,0,0,0.00048655271530151367,0.024601519107818604,0,642,0,0
84,124453,10744346.0,538676.0,0,10,0,0,0.0004200935363769531,0.02734208106994629,0,652,0,1
88,124471,10734450.0,539264.0,0,9,0,0,0.00044715404510498047,0.026937544345855713,0,650,0,10
92,124466,10678463.0,540416.0,0,7,0,0,0.000483095645904541,0.02789682149887085,0,650,0,1
96,124499,12098727.0,607464.0,0,41,0,0,0.00048154592514038086,0.055394649505615234,0,667,0,0
100,124487,12073171.0,607300.0,0,41,0,0,0.0004850029945373535,0.05409395694732666,0,667,0,0
104,124499,12102621.0,607464.0,0,41,0,0,0.00048363208770751953,0.06156092882156372,0,667,0,0
108,124487,12104094.0,607300.0,0,41,0,0,0.00048476457595825195,0.059565722942352295,0,667,0,0
112,124499,12112851.0,607464.0,0,41,0,0,0.00048536062240600586,0.06454569101333618,0,667,0,0
116,124487,12106400.0,607300.0,0,41,0,0,0.00048607587814331055,0.062164902687072754,0,667,0,0
120,124499,12120166.0,607464.0,0,41,0,0,0.0004845857620239258,0.060782551765441895,0,667,0,0
124,124487,12115868.0,607300.0,0,41,0,0,0.00048232078552246094,0.058156371116638184,0,667,0,0
127,124484,12092726.0,607564.0,0,32,0,0,0.0004805326461791992,0.05384659767150879,0,661,0,0
