step,receivers,reads,rays,pcf_fallback,failed_footprints,missing,replay_over_1e3,replay_max,replay_abs_sum,unavailable,requested,overflow,new_pages
0,124499,12102444.0,607464.0,0,41,0,1,0.25,0.30270904302597046,0,667,0,0
1,124488,12060976.0,607592.0,0,37,0,0,0.0004875063896179199,0.05677872896194458,0,667,0,0
2,124483,12112786.0,607412.0,0,35,0,0,0.000459134578704834,0.06147104501724243,0,665,0,0
3,124494,12082617.0,607596.0,0,38,0,0,0.0004711747169494629,0.049337565898895264,0,668,0,0
4,124487,12069624.0,607300.0,0,41,0,0,0.00046384334564208984,0.05918210744857788,0,667,0,0
5,124475,12073691.0,607360.0,0,41,0,0,0.0009211301803588867,0.055816650390625,0,663,0,0
6,124493,12087587.0,607452.0,0,36,0,0,0.00046896934509277344,0.06280362606048584,0,667,0,0
7,124484,12081530.0,607564.0,0,32,0,0,0.0004851818084716797,0.05836266279220581,0,661,0,0
8,124499,12097248.0,607464.0,0,41,0,0,0.00048279762268066406,0.057789742946624756,0,667,0,0
9,124488,12073988.0,607592.0,0,37,0,0,0.0004723668098449707,0.05825871229171753,0,667,0,0
10,124483,12096996.0,607412.0,0,35,0,0,0.00048047304153442383,0.056593477725982666,0,665,0,0
11,124494,12102945.0,607596.0,0,38,0,0,0.00048679113388061523,0.05715888738632202,0,668,0,0
12,124487,12115475.0,607300.0,0,41,0,0,0.0004583597183227539,0.055102527141571045,0,667,0,0
13,124475,12085491.0,607360.0,0,41,0,0,0.00048065185546875,0.06578981876373291,0,663,0,0
14,124493,12100451.0,607452.0,0,36,0,0,0.00048810243606567383,0.06010735034942627,0,667,0,0
15,124484,12085088.0,607564.0,0,32,0,0,0.000484466552734375,0.058620452880859375,0,661,0,0
16,124499,12100898.0,607464.0,0,41,0,0,0.00048488378524780273,0.06296402215957642,0,667,0,0
17,124488,12050886.0,607592.0,0,37,0,0,0.0004875063896179199,0.05910372734069824,0,667,0,0
18,124483,12100107.0,607412.0,0,35,0,0,0.00048339366912841797,0.057315945625305176,0,665,0,0
19,124494,12073158.0,607596.0,0,38,0,0,0.0004871487617492676,0.05773055553436279,0,668,0,0
20,124487,12104481.0,607300.0,0,41,0,0,0.0004763603210449219,0.05982488393783569,0,667,0,0
21,124475,12064032.0,607360.0,0,41,0,0,0.00048673152923583984,0.059069812297821045,0,663,0,0
22,124493,12110569.0,607452.0,0,36,0,0,0.00048345327377319336,0.05641806125640869,0,667,0,0
23,124484,12087168.0,607564.0,0,32,0,0,0.0004857778549194336,0.06246739625930786,0,661,0,0
24,124499,12109496.0,607464.0,0,41,0,0,0.0004836916923522949,0.05483168363571167,0,667,0,0
25,124488,12090259.0,607592.0,0,37,0,0,0.0004875063896179199,0.05370408296585083,0,667,0,0
26,124483,12122210.0,607412.0,0,35,0,0,0.0004837512969970703,0.06301242113113403,0,665,0,0
27,124494,12095619.0,607596.0,0,38,0,0,0.0004876852035522461,0.061540424823760986,0,668,0,0
28,124487,12114246.0,607300.0,0,41,0,0,0.0004742145538330078,0.05896198749542236,0,667,0,0
29,124475,12090522.0,607360.0,0,41,0,0,0.0004482865333557129,0.06012672185897827,0,663,0,0
30,124493,12078670.0,607452.0,0,36,0,0,0.00047707557678222656,0.05810511112213135,0,667,0,0
31,124484,12088245.0,607564.0,0,32,0,0,0.0004851818084716797,0.061786949634552,0,661,0,0
