observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
18,18.2256545989229,0,1,49.479600042104721,,,,2032282,0,2.772736,0.620288,0.126208,0.120832,0.325888,0,0.30591999999999997,36.530176,0.087551999999999991,,0.00896,0,3.060224,18,16,0,
19,18.275649695294785,0,1,49.995094537734985,,,,1983935,0,2.5728,0.62976,0.12723199999999998,0.121344,0.322304,0,0.301824,36.98432,0.089088,,0.008192,0,2.763264,19,17,0,
20,18.325665695861677,0,1,50.016000866889954,,,,2383211,0,2.577664,0.62208,0.126464,0.12032,0.323328,0,0.303872,37.02016,0.086272,,0.011519999999999999,0,2.754048,20,18,0,
21,18.376148497732427,0,1,50.482802093029022,,,,941303,0,2.81472,0.628992,0.125696,0.12057599999999999,0.325632,0.000256,0.305664,36.549887999999996,0.088832,,0.009472,0,3.0965759999999998,21,19,0,
22,18.425645897108843,0,1,49.497399479150772,,,,1891869,0,2.5827839999999997,0.626944,0.12467199999999999,0.12006399999999999,0.318208,0,0.29798399999999997,36.924416,0.091648,,0.008704,0,3.00032,22,20,0,
23,18.4761795989229,0,1,50.533700734376907,,,,941052,0,2.592,0.64511999999999992,0.12595199999999998,0.12032,0.32307199999999997,0.000256,0.30259199999999997,36.958976,0.089088,,0.0097279999999999988,0,2.7284479999999998,23,21,0,
24,18.526210196995464,0,1,50.030596554279327,,,,1654555,0,2.786816,0.62771199999999994,0.124928,0.12006399999999999,0.32972799999999997,0,0.308992,36.664832,0.086784,,0.009216,0,3.095296,24,22,0,
25,18.576275396825395,0,1,50.06520077586174,,,,1000777,0,2.594816,0.636672,0.125696,0.120832,0.324608,0,0.30463999999999997,37.002496,0.089088,,0.008704,0,2.757888,25,23,0,
26,18.626404598922903,0,1,50.129201263189316,,,,1921045,0,2.583552,0.622848,0.124928,0.12006399999999999,0.325376,0,0.305664,37.091072,0.087296,,0.012288,0,2.75584,26,24,0,
27,18.6764875,0,1,50.082899630069733,,,,663404,0,2.771712,0.629504,0.12723199999999998,0.1216,0.322048,0,0.301824,36.734719999999996,0.089088,,0.00896,0,3.066112,27,25,0,
28,18.726282901077095,0,1,49.795400351285934,,,,940051,0,2.76224,0.62924799999999992,0.125696,0.12185599999999999,0.748544,0,0.72729599999999994,36.629504,0.093952,,0.00896,0,2.75584,28,26,0,
