case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_a","completed_with_warnings","frame_interval_ms",156,156,13.357146177440882,50.581101328134537,12.215298600494862,52.087295800447464
0,"length10_a","completed_with_warnings","cpu_frame_ms",156,0,,,,
0,"length10_a","completed_with_warnings","gpu_frame_ms",156,0,,,,
0,"length10_a","completed_with_warnings","cpu_render_thread_ms",156,0,,,,
0,"length10_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",156,156,18359,1887240,15843,2383211
0,"length10_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",156,156,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",156,156,2.803072,3.30496,2.360832,3.50976
0,"length10_a","completed_with_warnings","VSM.Allocate_gpu_ms",156,156,0.642304,0.667648,0.620288,0.688128
0,"length10_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",156,55,0.126208,0.12723199999999998,0.12467199999999999,0.144128
0,"length10_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",156,156,0.132096,0.133888,0.119808,0.59904
0,"length10_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",156,156,0.365568,0.779264,0.313344,0.96639999999999993
0,"length10_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",156,156,0,0.000256,0,0.000256
0,"length10_a","completed_with_warnings","VSM.PageCull_gpu_ms",156,156,0.34265599999999996,0.72729599999999994,0.283648,0.94617599999999991
0,"length10_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",156,156,0.0076799999999999993,36.958976,0.003072,37.453568
0,"length10_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",156,156,0.087039999999999992,0.094975999999999991,0.077568,0.577792
0,"length10_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",156,0,,,,
0,"length10_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",156,156,0.0025599999999999998,0.009472,0.002048,0.012288
0,"length10_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",156,156,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.Resolve_gpu_ms",156,156,2.826112,3.163904,2.2968319999999998,3.352576
