observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
1655,42.627742998866211,131695454473,1,13.050098903477192,11.9968,12.751616,1.9341,88591,0,2.8021759999999998,0.535552,,0.132352,0.74496,0.000256,0.723968,0.006912,0.086272,,0.002816,0,2.99904,1655,319,0,
1656,42.640461295351471,131695574441,1,12.718296609818935,12.726,13.048064,2.0823,103509,0,2.960384,0.55321599999999993,,0.132352,0.36607999999999996,0,0.345344,0.007168,0.084735999999999992,,0.0025599999999999998,0,2.529792,1656,320,0,
1657,42.653359700963719,131695701701,1,12.898406013846397,12.7872,12.686848,2.0493,18509,0,2.57408,0.534528,,0.132096,0.36403199999999997,0,0.34355199999999997,0.008192,0.08524799999999999,,0.0025599999999999998,0,2.571776,1657,321,0,
1658,42.665908595521543,131695829573,1,12.548894621431828,12.8945,12.88704,1.9702,18307,0,2.80192,0.527616,,0.1344,0.366592,0,0.34559999999999996,0.003072,0.092159999999999992,,0.002816,0,2.587136,1658,322,0,
1659,42.678824397675733,131695958518,1,12.91580218821764,13.637,12.534016,1.9856,18526,0,2.978048,0.54143999999999992,,0.132096,0.367616,0.000256,0.347392,0.006912,0.30335999999999996,,0.0025599999999999998,0,2.742784,1659,323,0,
1660,42.691522696995463,131696094888,1,12.698299251496792,11.9874,12.896512,1.881,18307,0,2.578432,0.531968,,0.13183999999999998,0.366848,0,0.346368,0.007424,0.30924799999999997,,0.002304,0,2.564864,1660,324,0,
1661,42.704126799886616,131696214762,1,12.604102492332458,12.5838,12.682496,2.0574,18307,0,3.133952,0.540928,,0.132096,0.36070399999999997,0.000256,0.34048,0.006912,0.091648,,0.0025599999999999998,0,2.720512,1661,325,0,
1662,42.716599000850337,131696340600,1,12.472201138734818,13.0846,12.589824,2.2022,18307,0,2.575104,0.552704,,0.132608,0.36479999999999996,0.000256,0.34483199999999997,0.006912,0.090112,,0.0025599999999999998,0,2.7279359999999997,1662,326,0,
1663,42.729991298185936,131696471446,1,13.392297551035881,12.8934,12.45312,1.9047,18307,0,2.5712639999999998,0.53248,,0.13183999999999998,0.363264,0.000256,0.343296,0.007168,0.086016,,0.0025599999999999998,0,2.734336,1663,327,0,
1664,42.743157100340134,131696600380,1,13.165801763534546,12.1383,13.000192,1.9713,18307,0,3.219712,0.54911999999999994,,0.132096,0.362496,0,0.342016,0.005632,0.085504,,0.002304,0,2.7617279999999997,1664,328,0,
1665,42.756119196428571,131696721763,1,12.962096370756626,12.5213,13.138688,2.3283,18561,0,2.785024,0.536064,,0.133376,0.37324799999999997,0.000256,0.35225599999999996,0.0038399999999999997,0.08524799999999999,,0.0025599999999999998,0,2.315776,1665,329,0,
1666,42.768818395691611,131696846976,1,12.69919890910387,14.3599,12.951552,2.029,18307,0,2.7950079999999997,0.5504,,0.13312,0.36147199999999996,0.000256,0.341504,0.008192,0.09344,,0.002304,0,2.688256,1666,330,0,
1667,42.781410700113376,131696990575,1,12.59230449795723,12.6675,12.69248,2.0362,18307,0,3.033344,0.539648,,0.132608,0.366336,0.000256,0.345856,0.003328,0.087296,,0.002816,0,2.314496,1667,331,0,
1668,42.793790299036282,131697117250,1,12.379598803818226,12.6441,12.575488,2.0737,18307,0,2.8032,0.551168,,0.487936,0.374272,0,0.34764799999999996,0.007168,0.088832,,0.0025599999999999998,0,2.320128,1668,332,0,
1669,42.806536996882087,131697243691,1,12.746698223054409,12.5736,12.353024,1.9589,18307,0,2.809856,0.532992,,0.132608,0.371456,0,0.350464,0.003328,0.086528,,0.0025599999999999998,0,2.320128,1669,333,0,
1670,42.819588095238096,131697369427,1,13.051098212599754,12.5862,12.729088,1.9014,18307,0,2.8119039999999997,0.53811199999999992,,0.13183999999999998,0.364288,0,0.344064,0.007168,0.089088,,0.002816,0,2.31936,1670,334,0,
1671,42.8322297973356,131697495289,1,12.641701847314835,12.2984,13.036032,1.8985,18526,0,3.035136,0.532736,,0.13183999999999998,0.37068799999999996,0,0.349696,0.006912,0.090112,,0.0025599999999999998,0,2.3216639999999997,1671,335,0,
1672,42.845178897392287,131697618273,1,12.949099764227867,12.7394,12.620032,1.8913,18509,0,2.79936,0.55424,,0.132352,0.372992,0.000256,0.35276799999999997,0.004096,0.09036799999999999,,0.0025599999999999998,0,2.313984,1672,336,0,
1673,42.858802295918366,131697745667,1,13.62339872866869,13.2521,12.934656,2.3773,18307,0,2.789888,0.53811199999999992,,0.132608,0.36403199999999997,0,0.34431999999999996,0.007936,0.087039999999999992,,0.002304,0,3.372032,1673,337,0,
1674,42.871691794217682,131697878188,1,12.8894979134202,12.9673,13.604608,2.3084,18307,0,2.804992,0.550912,,0.484352,0.37248,0,0.345856,0.0076799999999999993,0.086272,,0.0025599999999999998,0,2.578176,1674,338,0,
1675,42.884441198979587,131698007861,1,12.749404646456242,13.0382,12.873728,2.0758,18307,0,2.980096,0.550912,,0.132352,0.360448,0,0.34048,0.010239999999999999,0.08524799999999999,,0.002304,0,3.124224,1675,339,0,
1676,42.897181597222222,131698138243,1,12.740397825837135,13.3224,12.731392,1.8825,18307,0,2.806272,0.53478399999999993,,0.132352,0.365056,0.000256,0.34483199999999997,0.003072,0.09267199999999999,,0.002304,0,2.5640959999999997,1676,340,0,
1677,42.910196598639452,131698271467,1,13.015001080930233,12.7763,12.718336,1.9743,18307,0,2.961408,0.551424,,0.13183999999999998,0.360448,0,0.339968,0.006912,0.09088,,0.002304,0.000256,3.0259199999999997,1677,341,0,
1678,42.923126998299317,131698399230,1,12.930399738252163,12.5137,13.00608,1.9279,18307,0,2.9568,0.538624,,0.132608,0.372224,0,0.35072,0.007936,0.092416,,0.002304,0,2.82496,1678,342,0,
1679,42.935679195011339,131698524367,1,12.552197091281414,13.1199,12.908288,2.1641,18307,0,3.315712,0.542464,,0.132352,0.363776,0.000256,0.34355199999999997,0.009984,0.084992,,0.0025599999999999998,0,2.742272,1679,343,0,
1680,42.948911500850336,131698655566,1,13.232305645942688,13.0197,12.53248,1.9949,18509,0,2.579712,0.53401599999999994,,0.13286399999999998,0.36607999999999996,0,0.344576,0.007168,0.085504,,0.002304,0,2.76992,1680,344,0,
1681,42.961988499149655,131698785763,1,13.076998293399811,12.7487,13.222144,2.0441,18359,0,3.298816,0.543744,,0.132096,0.364544,0.000256,0.344064,0.011264,0.087808,,0.002304,0,2.717952,1681,345,0,
1682,42.97472779903628,131698913250,1,12.739299796521664,12.451,13.061888,2.4228,18307,0,3.3699839999999996,0.55168,,0.13286399999999998,0.361728,0.000256,0.341248,0.007936,0.085504,,0.0025599999999999998,0,2.704128,1682,346,0,
1683,42.987626998299319,131699037760,1,12.89919950067997,13.446,12.72064,2.1507,18526,0,3.408896,0.543744,,0.132352,0.372992,0,0.352512,0.006912,0.091904,,0.0025599999999999998,0,2.316032,1683,347,0,
1684,43.000235097789115,131699172220,1,12.608099728822708,12.8613,12.882688,2.0281,18307,0,2.784,0.53248,,0.13286399999999998,0.70016,0,0.333568,0.017408,0.09548799999999999,,0.0025599999999999998,0,2.57536,1684,348,0,
1685,43.012775694444443,131699300833,1,12.540596537292004,12.6708,12.599296,1.9758,18307,0,2.807808,0.5376,,0.13286399999999998,0.36735999999999996,0,0.346624,0.007168,0.091648,,0.0025599999999999998,0,2.320384,1685,349,0,
1686,43.026217800453516,131699427541,1,13.442105613648891,13.1131,12.523264,1.9509,18307,0,2.802432,0.535296,,0.132096,0.368384,0.000256,0.34815999999999997,0.007168,0.088832,,0.003072,0,2.319616,1686,350,0,
1687,43.040710799319726,131699558672,1,14.492998830974102,12.4273,12.748544,2.0685,18307,0,2.800128,0.5376,,0.132608,0.365824,0.000256,0.34431999999999996,0.007168,0.088832,,0.002304,0,2.7584,1687,351,0,
1688,43.054186699263035,131699682945,1,13.475899584591389,12.7905,12.326912,3.5025,16045,0,2.889728,0.53478399999999993,,0.13183999999999998,0.369152,0,0.349184,0.007424,0.087551999999999991,,0.0025599999999999998,0,2.31552,1688,352,0,
1689,43.067617396541948,131699810850,1,13.430696912109852,23.6954,12.899072,3.1055,18307,0,3.0192639999999997,0.538624,,0.13183999999999998,0.37248,0,0.352,0.007168,0.092416,,0.0025599999999999998,0,3.0476799999999997,1689,353,0,
1690,43.080464498299321,131700047804,1,12.84710131585598,5.6779,13.400576,3.3266,18307,0,2.576896,0.64358399999999993,,0.132096,0.375808,0.000256,0.35481599999999996,0.0076799999999999993,0.086784,,0.0025599999999999998,0,2.729216,1690,354,0,
1691,43.093524900793646,131700104583,1,13.060402125120163,13.62,12.836096,2.7797,18307,0,2.797056,0.532224,,0.131584,0.361728,0.000256,0.34099199999999996,0.006656,0.085504,,0.002304,0,2.685184,1691,355,0,
1692,43.106567800453512,131700240783,1,13.042899779975414,13.4292,13.044736,2.8852,18307,0,2.8021759999999998,0.63846399999999992,,0.132096,0.37068799999999996,0,0.34944,0.007168,0.08832,,0.003072,0,2.313728,1692,356,0,
1693,43.119224298469383,131700375075,1,12.656497769057751,13.0899,13.018368,2.5988,24125,0,2.8021759999999998,0.63846399999999992,,0.132096,0.37068799999999996,0,0.34944,0.007168,0.08832,,0.003072,0,2.313728,1693,357,0,
1694,43.13234379960317,131700505974,1,13.119501061737537,12.8432,12.62848,2.5786,18307,0,3.1848959999999997,0.640512,,0.132096,0.380416,0.000256,0.358656,0.007168,0.089855999999999991,,0.002304,0,2.3283199999999997,1694,358,0,
1695,43.144580796485258,131700634406,1,12.236996553838253,13.3082,13.11744,2.544,18526,0,3.037696,0.53324799999999994,,0.13183999999999998,0.367104,0.000256,0.346112,0.009472,0.077311999999999992,,0.012544,0,2.3150079999999997,1695,359,0,
1696,43.157078295068025,131700767488,1,12.497498653829098,12.1762,12.222464,2.2334,18509,0,3.0241279999999997,0.559616,,0.13312,0.37734399999999996,0,0.356608,0.007936,0.087808,,0.0025599999999999998,0,2.3104,1696,360,0,
1697,43.169533694727889,131700889250,1,12.455400079488754,12.0953,12.46976,2.1175,18359,0,2.795264,0.552192,,0.132608,0.369664,0.000256,0.348416,0.004096,0.08806399999999999,,0.002304,0,2.31168,1697,361,0,
1698,43.1828380952381,131701010203,1,13.304400257766247,12.098,12.25728,4.0174,18307,0,2.817024,0.53376,,0.132096,0.368384,0,0.34764799999999996,0.007424,0.087296,,0.002304,0,2.309376,1698,362,0,
1699,43.195636699263034,131701131183,1,12.798603624105453,15.6459,13.287936,2.7253,18307,0,2.8101119999999997,0.533504,,0.132096,0.367872,0,0.347904,0.421376,0.091392,,0.002304,0,2.577152,1699,363,0,
1700,43.20847130102041,131701287642,1,12.834602035582066,10.927,12.78592,2.5636,18307,0,2.989312,0.536064,,0.132096,0.374272,0,0.35353599999999996,0.007168,0.0896,,0.002304,0,2.587392,1700,364,0,
1701,43.221526700680272,131701396912,1,13.055399991571903,13.3134,12.813312,2.3665,18307,0,2.9619199999999997,0.53632,,0.132352,0.374272,0,0.353792,0.0051199999999999996,0.08832,,0.0025599999999999998,0,2.592,1701,365,0,
1702,43.234239994331062,131701530046,1,12.713293544948101,12.3974,13.042176,2.1818,18307,0,2.9401599999999997,0.548864,,0.13286399999999998,0.362496,0,0.34227199999999997,0.007936,0.084992,,0.002816,0,2.580224,1702,366,0,
1703,43.247066298185942,131701654020,1,12.826303951442242,11.7421,12.683264,2.1597,18509,0,2.930688,0.557568,,0.132096,0.366848,0,0.34304,0.0076799999999999993,0.08448,,0.002816,0,2.5320959999999997,1703,367,0,
1704,43.2595625,131701771441,1,12.496202252805233,13.0383,12.817664,2.5357,18307,0,2.949888,0.537856,,0.132096,0.367104,0.000256,0.346368,0.007424,0.08524799999999999,,0.002304,0,2.69184,1704,368,0,
1705,43.272105300453511,131701901824,1,12.542800046503544,13.2602,12.473856,2.0858,18307,0,2.964736,0.54784,,0.13286399999999998,0.37068799999999996,0,0.349952,0.007936,0.091904,,0.002304,0,2.93632,1705,369,0,
1706,43.285098100907028,131702034426,1,12.992800213396549,12.1148,12.53504,2.0954,18307,0,2.923264,0.55244799999999994,,0.132096,0.367872,0,0.346112,0.012288,0.089088,,0.002816,0,3.03488,1706,370,0,
1707,43.297672796201809,131702155574,1,12.5746950507164,12.6458,12.959232,2.0696,18526,0,2.962944,0.54732799999999993,,0.13286399999999998,0.37068799999999996,0,0.349952,0.007424,0.09088,,0.002304,0,2.92992,1707,371,0,
