case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_a","completed_with_warnings","frame_interval_ms",291,291,13.735700398683548,14.433000236749649,13.048497959971428,15.385700389742851
0,"length50_a","completed_with_warnings","cpu_frame_ms",291,291,13.7376,14.6388,12.5968,16.8584
0,"length50_a","completed_with_warnings","gpu_frame_ms",291,291,13.712896,14.411776,13.033728,15.62752
0,"length50_a","completed_with_warnings","cpu_render_thread_ms",291,291,2.0838,2.5422,1.7925,3.3088
0,"length50_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",291,291,18307,24125,18307,88643
0,"length50_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",291,291,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",291,291,3.44832,3.838208,3.104256,4.082432
0,"length50_a","completed_with_warnings","VSM.Allocate_gpu_ms",291,291,0.53990399999999994,0.553728,0.53068799999999994,0.8128
0,"length50_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",291,0,,,,
0,"length50_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",291,291,0.132096,0.331264,0.131584,0.41958399999999996
0,"length50_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",291,291,0.366336,0.63846399999999992,0.358656,0.68966399999999994
0,"length50_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",291,291,0,0.000256,0,0.000256
0,"length50_a","completed_with_warnings","VSM.PageCull_gpu_ms",291,291,0.34559999999999996,0.542976,0.267776,0.642048
0,"length50_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",291,291,0.007168,0.011007999999999999,0.003072,0.214528
0,"length50_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",291,291,0.087808,0.094463999999999992,0.081664,0.387584
0,"length50_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",291,0,,,,
0,"length50_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",291,291,0.0025599999999999998,0.002816,0.002048,0.003584
0,"length50_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",291,291,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.Resolve_gpu_ms",291,291,2.843648,3.1795199999999997,2.546432,3.522048
