observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
18,35.0108339994331,0,1,48.102699220180511,,,,2039482,0,0.851968,0.623872,0.124928,0.12057599999999999,0.542208,0,0.148736,36.063488,0.0896,,0.009472,0,3.503872,18,16,0,
19,35.05792469529478,0,1,47.090694308280945,,,,2324421,0,0.851968,0.623872,0.124928,0.12057599999999999,0.542208,0,0.148736,36.063488,0.0896,,0.009472,0,3.503872,19,17,0,
20,35.105704195011334,0,1,47.779500484466553,,,,2029364,0,0.850432,0.617984,0.12415999999999999,0.119808,0.165376,0,0.146432,35.950592,0.27648,,0.007936,0,2.8838399999999997,20,18,0,
21,35.153576799886622,0,1,47.872606664896011,,,,1820693,0,0.848128,0.62105599999999994,0.123904,0.135936,0.45696,0,0.137984,36.157952,0.33100799999999997,,0.009472,0,2.878208,21,19,0,
22,35.201770698696144,0,1,48.193898051977158,,,,1248289,0,0.85427199999999992,0.62464,0.125184,0.119808,0.17049599999999998,0.000256,0.152064,36.673792,0.26624,,0.005376,0,2.9944319999999998,22,20,0,
23,35.248545500283448,0,1,46.77480086684227,,,,1538189,0,0.85350399999999993,0.61849599999999993,0.136704,0.122624,0.162048,0,0.142336,36.068864,0.424448,,0.010239999999999999,0,2.9135359999999997,23,21,0,
24,35.296247696995465,0,1,47.70219698548317,,,,1451229,0,0.853248,0.628992,0.125184,0.12006399999999999,0.818944,0,0.152064,36.187903999999996,0.28953599999999996,,0.010239999999999999,0,1.6314879999999998,24,22,0,
25,35.342651899092971,0,1,46.404201537370682,,,,1569059,0,0.84684799999999993,0.63180799999999993,0.125696,0.120832,0.169216,0,0.149504,36.46208,0.41984,,0.005632,0,1.96224,25,23,0,
26,35.390235196995462,0,1,47.583296895027161,,,,1301764,0,1.14688,0.623616,0.120832,0.1216,0.171008,0,0.151808,36.361472,0.260864,,0.010496,0,1.6281599999999998,26,24,0,
27,35.437343494897959,0,1,47.108296304941177,,,,1296524,0,0.872192,0.630528,0.120832,0.122112,0.16768,0,0.14771199999999998,36.186879999999995,0.4352,,0.010239999999999999,0,1.9612159999999998,27,25,0,
28,35.484637996031744,0,1,47.2945012152195,,,,1546518,0,1.23776,0.624896,0.120832,0.1216,0.16768,0,0.14771199999999998,36.335104,0.287744,,0.006656,0,1.833472,28,26,0,
29,35.53129239654195,0,1,46.654399484395981,,,,1480191,0,1.016832,0.62515199999999993,0.140288,0.12415999999999999,0.179456,0,0.15923199999999998,36.363264,0.435712,,0.005376,0,2.085376,29,27,0,
30,35.578273596938772,0,1,46.981200575828552,,,,1517940,0,1.025024,0.630528,0.121088,0.12236799999999999,0.164352,0,0.145152,35.959296,0.090112,,0.18431999999999998,0,1.9527679999999998,30,28,0,
31,35.624719196428572,0,1,46.445600688457489,,,,1549731,0,1.170688,0.643328,0.1216,0.122112,0.16588799999999998,0,0.146176,36.152319999999996,0.40294399999999997,,0.010239999999999999,0,1.9491839999999998,31,29,0,
32,35.670460395408163,0,1,45.74120044708252,,,,1353189,0,1.020416,0.63103999999999993,0.12185599999999999,0.12339199999999999,0.165376,0,0.145664,36.028416,0.267264,,0.009472,0,1.9527679999999998,32,30,0,
33,35.717411500850339,0,1,46.951103955507278,,,,1351490,0,1.096704,0.63180799999999993,0.121088,0.12236799999999999,0.169216,0,0.149504,35.865344,0.262656,,0.006912,0,1.628928,33,31,0,
34,35.763824397675734,0,1,46.412896364927292,,,,1273796,0,0.85376,0.621312,0.123136,0.12339199999999999,0.165376,0,0.14336,36.047872,0.341504,,0.006144,0,1.955584,34,32,0,
35,35.810283801020404,0,1,46.45940288901329,,,,1086875,0,1.057536,0.520448,0.12032,0.1216,0.153856,0,0.135424,36.121856,0.266752,,0.010239999999999999,0,1.934848,35,33,0,
36,35.855056398809523,0,1,44.772598892450333,,,,1463809,0,1.1248639999999999,0.52403199999999994,0.12415999999999999,0.12236799999999999,0.16768,0,0.143616,36.045311999999996,0.364544,,0.006912,0,2.0677119999999998,36,34,0,
37,35.902634998582762,0,1,47.5785993039608,,,,1390214,0,1.005568,0.52479999999999993,0.121088,0.12287999999999999,0.155392,0,0.13414399999999999,36.007424,0.345344,,0.009472,0,1.956864,37,35,0,
38,35.947651700680268,0,1,45.016702264547348,,,,1486115,0,0.86604799999999993,0.525056,0.121344,0.12236799999999999,0.491776,0.000256,0.47231999999999996,36.497408,0.26496,,0.011519999999999999,0,1.9530239999999999,38,36,0,
39,35.994265596655325,0,1,46.613894402980804,,,,1488105,0,1.127424,0.522496,0.12236799999999999,0.12415999999999999,0.16947199999999998,0,0.148224,36.271616,0.26752,,0.0097279999999999988,0,1.630464,39,37,0,
40,36.040805796485259,0,1,46.540200710296631,,,,1522665,0,1.3591039999999999,0.547584,0.121088,0.12287999999999999,0.15923199999999998,0,0.139264,36.093184,0.41625599999999996,,0.009472,0,1.9678719999999998,40,38,0,
41,36.085770897108844,0,1,44.965099543333054,,,,1727013,0,0.84992,0.525056,0.122624,0.122624,0.162816,0,0.142848,36.370688,0.263424,,0.00896,0,1.952,41,39,0,
42,36.132779698129248,0,1,47.008801251649857,,,,1290217,0,1.175296,0.55168,0.122112,0.12287999999999999,0.159744,0,0.140288,35.782655999999996,0.25779199999999997,,0.0097279999999999988,0,2.322688,42,40,0,
43,36.179426197562357,0,1,46.646498143672943,,,,1522777,0,0.86758399999999991,0.518656,0.121088,0.122624,0.156672,0,0.13824,36.681216,0.352512,,0.010239999999999999,0,1.9397119999999999,43,41,0,
44,36.22417769982993,0,1,44.751502573490143,,,,1534632,0,0.855552,0.525824,0.122112,0.122112,0.154368,0,0.135424,36.204032,0.26624,,0.0048639999999999994,0,1.9696639999999999,44,42,0,
45,36.270524695294782,0,1,46.3469959795475,,,,1522982,0,1.1197439999999999,0.525056,0.122624,0.12236799999999999,0.161024,0.000256,0.141824,35.902463999999995,0.260864,,0.011264,0,1.959168,45,43,0,
46,36.31593329790249,0,1,45.408602803945541,,,,1109765,0,0.84992,0.524288,0.121088,0.12185599999999999,0.334592,0,0.31488,36.066303999999995,0.262912,,0.0097279999999999988,0,1.6350719999999999,46,44,0,
47,36.362909495464848,0,1,46.976197510957718,,,,1497105,0,0.852224,0.520448,0.141824,0.124928,0.16,0,0.140288,36.075776,0.35737599999999997,,0.010752,0,1.957376,47,45,0,
48,36.409313399943308,0,1,46.403903514146805,,,,943184,0,0.85683199999999993,0.52352,0.122112,0.123136,0.35968,0.000256,0.339968,36.153088,0.28032,,0.006912,0,1.947136,48,46,0,
49,36.454221598639457,0,1,44.908199459314346,,,,945647,0,1.141248,0.517888,0.12057599999999999,0.12185599999999999,0.163328,0,0.144128,35.942144,0.273408,,0.006656,0,1.9612159999999998,49,47,0,
50,36.501460097789113,0,1,47.23849892616272,,,,786571,0,1.046784,0.515328,0.120832,0.12928,0.16588799999999998,0,0.143872,36.043008,0.359168,,0.009472,0,1.968896,50,48,0,
51,36.547871797052153,0,1,46.411700546741486,,,,934851,0,0.875776,0.525312,0.121088,0.12236799999999999,0.35968,0,0.135936,35.994879999999995,0.35609599999999997,,0.010496,0,2.08256,51,49,0,
52,36.592941298185941,0,1,45.069500803947449,,,,784855,0,1.135872,0.516096,0.138752,0.12339199999999999,0.17024,0.000256,0.150272,35.840256,0.258816,,0.009472,0,1.960448,52,50,0,
53,36.639322498582764,0,1,46.381201595067978,,,,778420,0,1.0368,0.522496,0.12467199999999999,0.12236799999999999,0.16255999999999998,0.000256,0.142848,36.047872,0.087551999999999991,,0.27008,0,1.963776,53,51,0,
54,36.684563300736961,0,1,45.240800827741623,,,,936917,0,0.85273599999999994,0.51814399999999994,0.139264,0.12339199999999999,0.180224,0,0.16025599999999998,36.009215999999995,0.357632,,0.0097279999999999988,0,1.9578879999999999,54,52,0,
55,36.731847498582766,0,1,47.284197062253952,,,,920303,0,1.021952,0.520192,0.120832,0.1216,0.17279999999999998,0,0.154368,36.494336,0.232448,,0.007936,0,2.034432,55,53,0,
56,36.77779019982993,0,1,45.942701399326324,,,,924422,0,0.854016,0.52556799999999992,0.122624,0.123136,0.523776,0,0.140544,36.141568,0.275456,,0.006144,0,1.8388479999999998,56,54,0,
57,36.823204698129253,0,1,45.414499938488007,,,,937897,0,0.84992,0.52147199999999994,0.12006399999999999,0.13414399999999999,0.165376,0.000256,0.145664,36.781056,0.28672,,0.0097279999999999988,0,1.9391999999999998,57,55,0,
58,36.870752196712019,0,1,47.547496855258942,,,,931973,0,0.84992,0.52147199999999994,0.12006399999999999,0.13414399999999999,0.165376,0.000256,0.145664,36.781056,0.28672,,0.0097279999999999988,0,1.9391999999999998,58,56,0,
59,36.917413095238096,0,1,46.6609001159668,,,,920935,0,0.85888,0.51968,0.120832,0.122112,0.48,0,0.140288,36.491008,0.25907199999999997,,0.007936,0,1.8406399999999998,59,57,0,
60,36.962502196712016,0,1,45.089103281497955,,,,921286,0,1.014784,0.522496,0.122624,0.12339199999999999,0.161024,0.000256,0.141312,36.103424,0.48153599999999996,,0.005376,0,1.9581439999999999,60,58,0,
61,37.009734700963719,0,1,47.232504934072495,,,,837548,0,1.014784,0.522752,0.120832,0.12287999999999999,0.155904,0,0.13568,36.232192,0.284928,,0.011007999999999999,0,1.938944,61,59,0,
62,37.054849100056686,0,1,45.114398002624512,,,,960367,0,0.853248,0.5184,0.120832,0.1216,0.164096,0,0.145152,36.55168,0.29414399999999996,,0.007936,0,1.8526719999999999,62,60,0,
63,37.102734297052152,0,1,47.885198146104813,,,,43569,0,1.030144,0.519168,0.12032,0.1216,0.16025599999999998,0,0.141312,36.180735999999996,0.42547199999999996,,0.011007999999999999,0.000256,1.979136,63,61,0,
64,37.149328295068024,0,1,46.593997627496719,,,,19326,0,0.8512,0.523264,0.12057599999999999,0.121088,0.34099199999999996,0,0.12672,36.563967999999996,0.268032,,0.006144,0,1.9276799999999998,64,62,0,
65,37.194314895124712,0,1,44.986601918935776,,,,36196,0,1.157888,0.53734399999999993,0.12057599999999999,0.120832,0.16588799999999998,0,0.146432,36.402944,0.395264,,0.009216,0,1.971712,65,63,0,
66,37.241241397392287,0,1,46.926502138376236,,,,33561,0,1.043968,0.525056,0.1216,0.12236799999999999,0.164096,0.000256,0.145152,36.201727999999996,0.28159999999999996,,0.0097279999999999988,0,1.9765759999999999,66,64,0,
67,37.287048398526075,0,1,45.807000249624252,,,,18625,0,1.040128,0.520192,0.13849599999999998,0.124416,0.159744,0,0.13977599999999998,36.320512,0.27161599999999997,,0.006656,0,1.9312639999999999,67,65,0,
68,37.332417495748295,0,1,45.369096100330353,,,,19326,0,1.1133439999999999,0.515072,0.12057599999999999,0.120832,0.158208,0,0.13977599999999998,36.051711999999995,0.27033599999999997,,0.011007999999999999,0,1.6256,68,66,0,
69,37.379261394557822,0,1,46.843897551298141,,,,71298,0,0.86681599999999992,0.52556799999999992,0.121344,0.122112,0.16,0,0.140288,36.066815999999996,0.355584,,0.012032,0,1.9584,69,67,0,
70,37.423963300736958,0,1,44.701907783746719,,,,88198,0,0.853248,0.525056,0.121088,0.122624,0.34687999999999997,0,0.32767999999999997,35.981823999999996,0.287232,,0.006656,0,1.957376,70,68,0,
71,37.470372200963716,0,1,46.408899128437042,,,,65298,0,1.168896,0.541952,0.121344,0.12287999999999999,0.162048,0.000256,0.14207999999999998,36.352768,0.083456,,0.006912,0,1.627392,71,69,0,
72,37.517619897959179,0,1,47.247696667909622,,,,44338,0,1.168896,0.541952,0.121344,0.12287999999999999,0.162048,0.000256,0.14207999999999998,36.352768,0.083456,,0.006912,0,1.627392,72,70,0,
73,37.562244699546483,0,1,44.624801725149155,,,,18932,0,0.850688,0.526592,0.121344,0.122112,0.158976,0,0.13977599999999998,36.202239999999996,0.09088,,0.38451199999999996,0,1.950208,73,71,0,
74,37.609353295068026,0,1,47.108594328165054,,,,18307,0,1.044992,0.520192,0.120832,0.121344,0.16,0.000256,0.141312,35.85792,0.273152,,0.010752,0,1.935104,74,72,0,
75,37.656018601190475,0,1,46.665307134389877,,,,18509,0,0.85171199999999991,0.525312,0.12236799999999999,0.1216,0.507392,0,0.48768,36.09088,0.27136,,0.0051199999999999996,0,1.6281599999999998,75,73,0,
