case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_a","completed_with_warnings","frame_interval_ms",199,199,10.074100457131863,47.2945012152195,8.2120038568973541,48.193898051977158
0,"length10_a","completed_with_warnings","cpu_frame_ms",199,50,9.6308,11.4342,7.7112,11.5736
0,"length10_a","completed_with_warnings","gpu_frame_ms",199,50,9.6704,10.76992,8.240896,11.370496
0,"length10_a","completed_with_warnings","cpu_render_thread_ms",199,50,2.2607999999999997,2.8595,1.9099,8.4832
0,"length10_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",199,199,18307,1534632,15843,2324421
0,"length10_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",199,199,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",199,199,0.95206399999999991,1.3457919999999999,0.84684799999999993,1.551104
0,"length10_a","completed_with_warnings","VSM.Allocate_gpu_ms",199,199,0.530944,0.635648,0.515072,0.64435199999999992
0,"length10_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",199,59,0.121344,0.139264,0.12006399999999999,0.141824
0,"length10_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",199,199,0.130048,0.135936,0.119808,0.427008
0,"length10_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",199,199,0.196352,0.495616,0.153856,0.892416
0,"length10_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",199,199,0,0.000256,0,0.005888
0,"length10_a","completed_with_warnings","VSM.PageCull_gpu_ms",199,199,0.174592,0.1856,0.12672,0.48768
0,"length10_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",199,199,0.0076799999999999993,36.46208,0.003328,36.781056
0,"length10_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",199,199,0.09088,0.395264,0.0832,0.4864
0,"length10_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",199,0,,,,
0,"length10_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",199,199,0.0038399999999999997,0.010752,0.002304,0.38451199999999996
0,"length10_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",199,199,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.Resolve_gpu_ms",199,199,1.9563519999999999,2.695168,1.6256,3.503872
