observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
1969,59.370532298752835,143487080842,1,15.683602541685104,18.3663,15.610368,2.5412,18509,0,0.92211199999999993,0.54784,,0.13183999999999998,0.69248,0,0.175872,0.0097279999999999988,0.089855999999999991,,0.003072,0,3.6008959999999997,1969,250,0,
1970,59.386143098072559,143487264505,1,15.610799193382263,15.3582,15.676672,2.7926,18307,0,0.92620799999999992,0.527872,,0.130048,0.210688,0,0.191488,0.007168,2.258688,,0.004096,0,1.6634879999999999,1970,251,0,
1971,59.403188399943311,143487418087,1,17.04530231654644,15.434,15.57504,2.3839,18307,0,3.0784,0.565248,,0.530176,0.214784,0.000256,0.18662399999999998,0.007168,0.088832,,0.004096,0,1.8928639999999999,1971,252,0,
1972,59.418124496882086,143487572427,1,14.936096966266632,15.5212,13.770752,2.75,18526,0,0.923392,0.542464,,0.129792,0.37196799999999997,0.000256,0.16947199999999998,0.010239999999999999,0.086272,,0.0025599999999999998,0,4.221184,1972,253,0,
1973,59.432852395124712,143487727639,1,14.727897942066193,15.9077,14.919168,2.4725,35878,0,0.923392,0.542464,,0.129792,0.37196799999999997,0.000256,0.16947199999999998,0.010239999999999999,0.086272,,0.0025599999999999998,0,4.221184,1973,254,0,
1974,59.450415398242626,143487886716,1,17.563004046678543,16.8515,14.70976,2.7763,69954,0,2.7194879999999997,0.551424,,0.131072,0.38911999999999997,0,0.36863999999999997,0.0063999999999999994,0.084224,,0.004096,0,1.650688,1974,255,0,
1975,59.465748299319728,143488055231,1,15.332900919020176,15.146,17.53984,2.7219,48455,0,0.922368,0.52864,,0.13849599999999998,0.20838399999999999,0,0.187904,0.0076799999999999993,0.087551999999999991,,0.003072,0,3.84128,1975,256,0,
1976,59.481927997448977,143488206691,1,16.179697588086128,14.7738,15.31776,3.4795,18509,0,0.93363199999999991,0.532992,,2.31424,0.20812799999999998,0,0.180224,0.007168,0.087551999999999991,,0.003072,0,4.138496,1976,257,0,
1977,59.500449397675737,143488354429,1,18.521400168538094,19.0237,16.168192,2.4432,35878,0,0.9369599999999999,0.530432,,0.130304,0.19891199999999998,0.000256,0.17843199999999998,0.007424,0.091392,,0.0038399999999999997,0,5.503488,1977,258,0,
1978,59.519037195294786,143488544666,1,18.587797880172729,13.6305,18.498048,2.2802,32744,0,4.060928,0.548864,,2.225664,0.216576,0,0.18892799999999998,0.0076799999999999993,0.088832,,0.003072,0,1.896704,1978,259,0,
