case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_b","completed_with_warnings","frame_interval_ms",244,244,17.138549126684666,19.908100366592407,9.0723996981978416,23.721102625131607
0,"length10_b","completed_with_warnings","cpu_frame_ms",244,244,16.9635,20.5591,8.4049,25.2647
0,"length10_b","completed_with_warnings","gpu_frame_ms",244,244,17.032704000000003,19.625472,9.060608,23.693056
0,"length10_b","completed_with_warnings","cpu_render_thread_ms",244,244,3.0136000000000003,4.6313,2.2373,9.8486
0,"length10_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",244,244,18307,36208,15843,71020
0,"length10_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",244,244,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",244,244,0.937472,5.70496,0.91955199999999992,6.584064
0,"length10_b","completed_with_warnings","VSM.Allocate_gpu_ms",244,244,0.533504,0.557312,0.52556799999999992,0.64691199999999993
0,"length10_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",244,0,,,,
0,"length10_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",244,244,0.132224,2.292736,0.128512,5.591552
0,"length10_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",244,244,0.20416,2.364672,0.191488,5.665792
0,"length10_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",244,244,0,0.000256,0,0.006144
0,"length10_b","completed_with_warnings","VSM.PageCull_gpu_ms",244,244,0.178176,0.203008,0.132608,5.4469119999999993
0,"length10_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",244,244,0.007424,0.01792,0.003072,0.10419199999999999
0,"length10_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",244,244,0.088832,0.097024,0.077311999999999992,5.6353279999999994
0,"length10_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",244,0,,,,
0,"length10_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",244,244,0.003584,0.004352,0.002304,0.26905599999999996
0,"length10_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",244,244,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.Resolve_gpu_ms",244,244,2.747776,7.145728,1.64224,10.110719999999999
