case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_a","completed_with_warnings","frame_interval_ms",330,330,11.489799711853266,14.220195822417736,4.3771965429186821,67.293897271156311
0,"length50_a","completed_with_warnings","cpu_frame_ms",330,330,11.52375,14.2727,3.8463,67.2067
0,"length50_a","completed_with_warnings","gpu_frame_ms",330,327,11.458304,13.962752,0.007424,15.780864
0,"length50_a","completed_with_warnings","cpu_render_thread_ms",330,330,2.2748999999999997,3.7477,0.1426,42.2022
0,"length50_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",330,330,18307,36353,15843,144154
0,"length50_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",330,330,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",330,330,0.99327999999999994,1.42208,0.889088,3.069952
0,"length50_a","completed_with_warnings","VSM.Allocate_gpu_ms",330,330,0.532992,0.63744,0.517888,1.20448
0,"length50_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",330,0,,,,
0,"length50_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",330,330,0.130304,0.32716799999999996,0.11903999999999999,1.853184
0,"length50_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",330,330,0.198784,0.47948799999999997,0.188416,0.958208
0,"length50_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",330,330,0,0.000256,0,0.0048639999999999994
0,"length50_a","completed_with_warnings","VSM.PageCull_gpu_ms",330,330,0.176896,0.184576,0.135936,0.34944
0,"length50_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",330,330,0.007424,0.012032,0.003328,0.371712
0,"length50_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",330,330,0.088832,0.09548799999999999,0.000256,0.4416
0,"length50_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",330,0,,,,
0,"length50_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",330,330,0.003328,0.004352,0.002048,0.10009599999999999
0,"length50_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",330,330,0,0,0,0
0,"length50_a","completed_with_warnings","VSM.Resolve_gpu_ms",330,330,2.93952,3.552768,2.55104,5.9630079999999994
