case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_a","completed_with_warnings","frame_interval_ms",403,403,9.87709779292345,10.456901974976063,9.4786994159221649,12.150701135396957
0,"length10_a","completed_with_warnings","cpu_frame_ms",403,0,,,,
0,"length10_a","completed_with_warnings","gpu_frame_ms",403,0,,,,
0,"length10_a","completed_with_warnings","cpu_render_thread_ms",403,0,,,,
0,"length10_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",403,403,18307,18654,15843,113603
0,"length10_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",403,403,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",403,403,0.963584,1.189888,0.879616,1.4796799999999999
0,"length10_a","completed_with_warnings","VSM.Allocate_gpu_ms",403,403,0.52889599999999992,0.53478399999999993,0.519424,0.7488
0,"length10_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",403,0,,,,
0,"length10_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",403,403,0.13183999999999998,0.132352,0.119808,0.54399999999999993
0,"length10_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",403,403,0.205056,0.22092799999999999,0.193024,0.594432
0,"length10_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",403,403,0,0.000256,0,0.002048
0,"length10_a","completed_with_warnings","VSM.PageCull_gpu_ms",403,403,0.185088,0.19097599999999998,0.158464,0.39577599999999996
0,"length10_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",403,403,0.0076799999999999993,0.010239999999999999,0.003328,0.20864
0,"length10_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",403,403,0.088832,0.09267199999999999,0.063744,0.36991999999999997
0,"length10_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",403,0,,,,
0,"length10_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",403,403,0.004352,0.005376,0.003072,0.214528
0,"length10_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",403,403,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.Resolve_gpu_ms",403,403,2.536192,2.803968,2.299648,3.494656
